Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,65535632.1839,86775510.2041,77796842.1053,70858849.0771,85404358.3535,96943603.8514
Short-term investments,14451724.1379,4669867.9472,5541052.6316,3394136.8078,1211864.4068,876203.5763
Cash and short-term investments,79987356.3218,91445378.1513,83337894.7369,74252985.8849,86616222.7603,97819807.4277
Receivables,302093103.4483,281240096.0384,200529473.6842,186887079.2617,241508474.5763,271833562.586
Inventories,211067816.092,191277310.9244,120369473.6842,114127035.8306,151692493.9467,169423658.8721
Total current assets,661286206.8966,626780312.1248,435488421.0526,406831704.6688,524297820.8232,613445667.1252
Property Plant & Equipment Net,555786206.8966,554776710.6843,408133684.2105,418953311.6178,433675544.7942,458671251.7194
Goodwill and Intangible Assets,173322988.5057,154744297.7191,133153684.2105,155608034.7448,193055690.0726,242077028.8858
Long-term investments,9258620.6897,10983193.2773,653151578.9474,714970684.0391,824185230.0242,748932599.7249
Tax assets,88203448.2759,66607442.9772,119174736.8421,112981541.8024,135520581.1138,135955983.4938
Total non-current assets,801957471.2644,771018007.2029,329905263.1579,409044516.8295,419248184.0194,611393397.5241
Total assets,1463243678.1609,1397798319.3277,765393684.2105,815876221.4984,943546004.8426,1224839064.6492
Payables,188028735.6322,203630252.1008,129382105.2632,102294245.3855,127208232.4455,136878954.608
Short-term debt,47149425.2874,7229291.7167,5752631.5789,5157437.5679,12934624.6973,24664374.1403
Total current liabilities,368202298.8506,342319327.7311,230083157.8947,183944625.4072,227043583.5351,262390646.4924
Long-term debt,739940229.8851,817699879.952,0.0,0.0,0.0,0.0
Total debt,787089655.1724,824929171.6687,5752631.5789,5157437.5679,12934624.6973,24664374.1403
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,84586206.8966,43228091.2365,17641052.6316,17853420.1954,13985472.155,8210453.9202
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,912402298.8506,941067226.8908,765393684.2105,815876221.4984,943546004.8426,1224839064.6492
Total liabilities,1280604597.7011,1283386554.6218,995476842.1053,999820846.9055,1170589588.3777,1487229711.1417
Other comprehensive income,-22560919.5402,-6386554.6218,0.0,0.0,0.0,0.0
Retained earnings (deficit),45297701.1494,-98320528.2113,46974736.8421,46551574.3757,-67722760.2906,-26070151.3067
Total shareholders equity,182639080.4598,114411764.7059,55665263.1579,53947882.7362,66906779.661,-102133425.0344
Investments,23710344.8276,15653061.2245,658692631.5789,718364820.8469,825397094.431,749808803.3012
Net Debt,707158556.9936,,,,,
Other Assets,65563654.5249,,,,,
Other Liabilities,133024137.931,131459783.9136,94948421.0526,76492942.4538,86900726.3923,100847317.7441
