Date,2019-12-31,2018-12-31,2017-12-31,2017-06,2016-12-31,2016-06,2015-12-31,2015-06,2014-12-31,2014-06,2013-12-31,2013-06,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,5500000000.0,3814000000.0,3428000000.0,0000000.0,3301000000.0,0000000.0,2295000000.0,0000000.0,3910000000.0,1000000.0,1718000000.0,0000000.0,10951000000.0,1620000000.0,5984000000.0
Short-term investments,1709000000.0,94000000.0,9000000.0,,1772000000.0,,106000000.0,,602000000.0,,3573000000.0,,1464000000.0,3028000000.0,81000000.0
Cash and short-term investments,7209000000.0,3908000000.0,3437000000.0,,5073000000.0,,2401000000.0,,4512000000.0,,5291000000.0,,12415000000.0,4648000000.0,6065000000.0
Receivables,11292000000.0,11104000000.0,8546000000.0,0000000.0,7955000000.0,0000000.0,6896000000.0,0000000.0,6321000000.0,0000000.0,6376000000.0,0000000.0,5521000000.0,4351000000.0,1855000000.0
Inventories,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total current assets,25392000000.0,21848000000.0,16060000000.0,0000000.0,16361000000.0,000000.0,12303000000.0,0000000.0,13531000000.0,3000000.0,14075000000.0,4000000.0,19991000000.0,8573000000.0,8886000000.0
Property Plant & Equipment Net,48322000000.0,44437000000.0,38470000000.0,000000.0,36253000000.0,000000.0,33665000000.0,0000000.0,30953000000.0,3000000.0,29840000000.0,4000000.0,27232000000.0,27559000000.0,23515000000.0
Goodwill and Intangible Assets,81665000000.0,79820000000.0,50086000000.0,0,49757000000.0,0,46751000000.0,0,41503000000.0,0,41955000000.0,0,44825000000.0,45039000000.0,18560000000.0
Long-term investments,6989000000.0,7883000000.0,6931000000.0,0000000.0,5247000000.0,000000.0,3224000000.0,000000.0,3135000000.0,000000.0,3770000000.0,000000.0,6325000000.0,3028000000.0,6670000000.0
Tax assets,2890000000.0,3950000000.0,2130000000.0,,4067000000.0,,4014000000.0,,3572000000.0,,3795000000.0,,2016000000.0,1868000000.0,174000000.0
Total non-current assets,2.38022e+11,2.29836e+11,1.70889e+11,000000.0,1.64139e+11,000000.0,1.54271e+11,000000.0,1.45808e+11,000000.0,1.44738e+11,000000.0,1.4498e+11,1.49245e+11,1.09648e+11
Total assets,2.63414e+11,2.51684e+11,1.86949e+11,0000000.0,1.805e+11,0000000.0,1.66574e+11,0000000.0,1.59339e+11,4000000.0,1.58813e+11,4000000.0,1.64971e+11,1.57818e+11,1.18534e+11
