Date,2017-12,2016-12,2015-12,2014-12,2013-12
Revenue,2189000000.0,2426000000.0,1801000000.0,780000000.0,780000000.0
Revenue Growth,,,,,
Cost of Revenue,1944000000.0,1986000000.0,1467000000.0,714000000.0,725000000.0
Gross Profit,245000000.0,440000000.0,334000000.0,66000000.0,55000000.0
R&D Expenses,24000000.0,49000000.0,48000000.0,14000000.0,15000000.0
SG&A Expense,214000000.0,198000000.0,186000000.0,82000000.0,102000000.0
Operating Expenses,219000000.0,248000000.0,234000000.0,98000000.0,122000000.0
Operating Income,26000000.0,193000000.0,100000000.0,-32000000.0,-67000000.0
Interest Expense,45000000.0,54000000.0,67000000.0,56000000.0,53000000.0
Earnings before Tax,-0000000.0,123000000.0,54000000.0,-103000000.0,-102000000.0
Income Tax Expense,12000000.0,-4000000.0,10000000.0,-2000000.0,43000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,-12000000.0,128000000.0,44000000.0,-101000000.0,-144000000.0
Preferred Dividends,,,,,
Net Income Com,-12000000.0,128000000.0,44000000.0,-101000000.0,-144000000.0
EPS,-0.14,1.50,0.50,-11.04,-16.99
EPS Diluted,-0.15,1.50,0.50,-11.04,-17.00
Weighted Average Shs Out,83000000.0,83000000.0,82000000.0,9000000.0,8000000.0
Weighted Average Shs Out (Dil),83000000.0,83000000.0,82000000.0,9000000.0,8000000.0
Dividend per Share,,,,,
Gross Margin,0.11192325262677,0.18136850783182,0.18545252637424,0.084615384615385,0.070512820512821
EBITDA Margin,0.071265417999086,0.1121187139324,0.11327040533037,0.030769230769231,0.030769230769231
EBIT Margin,0.020557332115121,0.073371805441055,0.067184897279289,-0.06025641025641,-0.061538461538462
Profit Margin,-0.0054819552306989,0.052761747732894,0.024430871737923,-0.12948717948718,-0.18461538461538
Free Cash Flow margin,,,,,
EBITDA,156000000.0,272000000.0,204000000.0,24000000.0,24000000.0
EBIT,45000000,178000000,121000000,-47000000,-48000000
Consolidated Income,-12000000.0,128000000.0,44000000.0,-101000000.0,-144000000.0
Earnings Before Tax Margin,-0,0.050700741962077,0.029983342587451,-0.13205128205128,-0.13076923076923
Net Profit Margin,-0.0054819552306989,0.052761747732894,0.024430871737923,-0.12948717948718,-0.18461538461538
