Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,10642877.0,2586315.0,1088066.0,141317.0,1082290.0,618.0,0.0,2738.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,10642877.0,2586315.0,1088066.0,141317.0,1082290.0,618.0,0.0,2738.0
Receivables,1064078.0,315321.0,344955.0,142206.0,138041.0,0.0,0.0,665.0
Inventories,11017459.0,4051282.0,780037.0,683824.0,377020.0,0.0,0.0,0.0
Total current assets,23489560.0,7602667.0,2400772.0,1130853.0,1771498.0,618.0,0.0,6203.0
Property Plant & Equipment Net,1758130.0,728506.0,99216.0,112005.0,81206.0,0.0,0.0,0.0
Goodwill and Intangible Assets,313858.0,353850.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,-1581479.0,0.0,0.0,0.0,0.0
Total non-current assets,2868248.0,1426298.0,147216.0,161005.0,274956.0,0.0,0.0,0.0
Total assets,26357808.0,9028965.0,2547988.0,1291858.0,2046454.0,618.0,0.0,6203.0
Payables,1984690.0,1267189.0,457034.0,1300532.0,206630.0,37640.0,0.0,44551.0
Short-term debt,0.0,293726.0,4537.0,4098.0,3560.0,7150.0,0.0,80000.0
Total current liabilities,2372584.0,1718657.0,987399.0,2337629.0,441075.0,45520.0,0.0,142265.0
Long-term debt,2300000.0,2161760.0,427756.0,17842.0,23271.0,0.0,0.0,0.0
Total debt,2300000.0,2455486.0,432293.0,21940.0,26831.0,7150.0,0.0,80000.0
Deferred revenue,1728.0,1579.0,2126.0,727.0,8275.0,730.0,0.0,1200.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2508864.0,2069744.0,498572.0,79730.0,8863.0,0.0,0.0,0.0
Total liabilities,7606690.0,3896002.0,1415155.0,2355471.0,464346.0,77933.0,0.0,142265.0
Other comprehensive income,45888872,23223435,13945113,6493518,5538242,246691,0.0,0.0
Retained earnings (deficit),-27138630.0,-18090961.0,-12813044.0,-7561751.0,-3960685.0,-327297.0,0.0,-184044.0
Total shareholders equity,18751118.0,5132963.0,1132833.0,-1063613.0,1582108.0,-77315.0,0.0,-136062.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-8342877.0,-130829.0,-655773.0,-119377.0,-1055459.0,6532.0,0.0,77262.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0
Other Liabilities,2725242.0,107601.0,0.0,0.0,14408.0,32413.0,0.0,17714.0
