Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,16122000.0,23545000.0,11906000.0,17127000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,16122000.0,23545000.0,11906000.0,17127000.0
Receivables,0.0,0.0,2481000.0,1494000.0
Inventories,5522000.0,2761000.0,2742000.0,5634000.0
Total current assets,29491000.0,31732000.0,1559000.0,1088000.0
Property Plant & Equipment Net,1299000.0,1138000.0,1459000.0,988000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,1482000.0,1238000.0,14257000.0,20060000.0
Total assets,30973000.0,32970000.0,19498000.0,26477000.0
Payables,3815000.0,2044000.0,1740000.0,1031000.0
Short-term debt,49000.0,7730000.0,7449000.0,0.0
Total current liabilities,9379000.0,14046000.0,13050000.0,4960000.0
Long-term debt,19418000.0,5271000.0,13001000.0,19713000.0
Total debt,19467000.0,13001000.0,20450000.0,19713000.0
Deferred revenue,1407000.0,1517000.0,1423000.0,1063000.0
Tax Liabilities,1467000.0,1362000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,20012000.0,5730000.0,14257000.0,20060000.0
Total liabilities,29391000.0,19776000.0,27307000.0,25020000.0
Other comprehensive income,194841000,177757000,14000.0,14000.0
Retained earnings (deficit),-193213000.0,-164487000.0,-146645000.0,-124799000.0
Total shareholders equity,1582000.0,13194000.0,-143544000.0,-122205000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,3345000.0,-10544000.0,8544000.0,2586000.0
Other Assets,0.0,0.0,810000.0,1134000.0
Other Liabilities,0.0,0.0,3861000.0,3929000.0
