Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,11764000.0,29087000.0,29000000.0,9166000.0,9000000.0,12522000.0,13000000.0,19389000.0,19000000.0,16481000.0,16000000.0,3778000.0,1846000.0,1096000.0,1636000.0
Short-term investments,32477000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Cash and short-term investments,44241000.0,29087000.0,,9166000.0,,12522000.0,,19389000.0,,16481000.0,,3778000.0,1846000.0,1096000.0,1636000.0
Receivables,22205000.0,11683000.0,11000000.0,7694000.0,7000000.0,5163000.0,5000000.0,6263000.0,6000000.0,5909000.0,5000000.0,3994000.0,2146000.0,1391000.0,906000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,43944000.0,39386000.0,39000000.0,41186000.0,41000000.0,45473000.0,45000000.0,27854000.0,28000000.0,27590000.0,28000000.0,18360000.0,19001000.0,8218000.0,9353000.0
Property Plant & Equipment Net,1428000.0,1287000.0,1000000.0,1214000.0,1000000.0,1260000.0,1000000.0,980000.0,1000000.0,879000.0,1000000.0,423000.0,380000.0,205000.0,241000.0
Goodwill and Intangible Assets,31417000.0,32360000.0,32000000,33707000.0,34000000,40116000.0,40000000,22869000.0,22000000,23093000.0,23000000,14964000.0,15865000.0,6629000.0,7928000.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,0.0,1209000.0,1000000.0,2340000.0,2000000.0,415000.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Total non-current assets,10349000.0,8425000.0,8000000.0,7254000.0,7000000.0,7385000.0,7000000.0,8084000.0,8000000.0,9784000.0,10000000.0,5752000.0,6922000.0,4842000.0,4601000.0
Total assets,112269000.0,80156000.0,80000000.0,58046000.0,58000000.0,63158000.0,63000000.0,53506000.0,54000000.0,49980000.0,50000000.0,26132000.0,22993000.0,10705000.0,11895000.0
Payables,1574000.0,666000.0,1000000.0,375000.0,0000000.0,664000.0,1000000.0,322000.0,0000000.0,458000.0,0000000.0,316000.0,452000.0,220000.0,204000.0
Short-term debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,950000.0,1259000.0,1250000.0
Total current liabilities,28020000.0,20528000.0,21000000.0,18084000.0,18000000.0,17482000.0,17000000.0,14265000.0,14000000.0,10098000.0,10000000.0,10818000.0,10883000.0,5130000.0,5252000.0
Long-term debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1571000.0,2750000.0
Total debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,950000.0,2830000.0,4000000.0
Deferred revenue,17188000.0,13229000.0,2000000.0,12114000.0,1000000.0,10702000.0,1000000.0,7667000.0,1000000.0,6022000.0,1000000.0,5647000.0,5733000.0,2048000.0,1991000.0
Tax Liabilities,350000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,10349000.0,8425000.0,8000000.0,7254000.0,7000000.0,7385000.0,7000000.0,8084000.0,8000000.0,9784000.0,10000000.0,5752000.0,6922000.0,4842000.0,4601000.0
Total liabilities,38369000.0,28953000.0,29000000.0,25338000.0,25000000.0,24867000.0,25000000.0,22349000.0,22000000.0,19882000.0,20000000.0,16570000.0,17805000.0,9972000.0,9853000.0
Other comprehensive income,-1575000.0,-1222000.0,-1000000.0,-1013000.0,-1000000.0,-1137000.0,-1000000.0,-871000.0,-1000000.0,-621000.0,-1000000.0,-672000.0,-690000.0,-640000.0,-453000.0
Retained earnings (deficit),-112045000.0,-124629000.0,-125000000.0,-117916000.0,-118000000.0,-107284000.0,-107000000.0,-103675000.0,-104000000.0,-101983000.0,-102000000.0,-101354000.0,-102840000.0,-102025000.0,-100520000.0
Total shareholders equity,73900000.0,51203000.0,51000000.0,32708000.0,33000000.0,38291000.0,38000000.0,31157000.0,31000000.0,30098000.0,30000000.0,9562000.0,5188000.0,733000.0,2042000.0
Investments,32477000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Debt,-44241000.0,,-29000000,,-9000000,,-13000000,,-19000000,,-16000000,,,,
Other Assets,1879000.0,,0,,0,,0,,1000000,,0,,,,
Other Liabilities,26446000.0,19862000.0,6000000,17709000.0,6000000,16818000.0,7000000,13943000.0,8000000,9640000.0,8000000,10502000.0,9481000.0,3651000.0,3798000.0
