Date,2019-09-27,2018-09-28,2017-09-29,2016-09-30,2015-09-25,2014-11-17,2014-09-26,2013-09-27,2012-09-28,2011-09-30,2010-09-24,2009-09-25
Cash and cash equivalents,797210000.0,925250000.0,627017000.0,516112000.0,531926000.0,0.0,570614000.0,454397000.0,492600000.0,551512000.0,545861000.0,451678000.0
Short-term investments,119146000.0,178138000.0,247757000.0,121629000.0,138901000.0,0.0,231208000.0,461740000.0,664307000.0,391281000.0,302269000.0,283808000.0
Cash and short-term investments,916356000.0,1103388000.0,874774000.0,637741000.0,670827000.0,0.0,801822000.0,916137000.0,1156907000.0,942793000.0,848130000.0,735486000.0
Receivables,189115000.0,166133000.0,73750000.0,75688000.0,101563000.0,0.0,86168000.0,97460000.0,43495000.0,61815000.0,54257000.0,22981000.0
Inventories,32331000.0,26206000.0,25051000.0,16354000.0,13872000.0,0.0,8536000.0,10093000.0,16700000.0,26244000.0,28338000.0,12975000.0
Total current assets,1381540000.0,1496576000.0,1011434000.0,759730000.0,918330000.0,0.0,1005851000.0,812722000.0,970286000.0,1158598000.0,1060413000.0,680477000.0
Property Plant & Equipment Net,537432000.0,514182000.0,485275000.0,443656000.0,403091000.0,0.0,289755000.0,242917000.0,254676000.0,117107000.0,94097000.0,92178000.0
Goodwill and Intangible Assets,515720000.0,512001000.0,500735000.0,524958000.0,435215000.0,0.0,341274000.0,321039000.0,337901000.0,314833000.0,331599000.0,343156000.0
Long-term investments,179587000.0,187782000.0,314364000.0,393904000.0,321015000.0,0.0,296335000.0,0.0,0.0,272797000.0,190837000.0,205938000.0
Tax assets,114075000.0,74766000.0,190915000.0,166790000.0,46178000.0,0.0,128191000.0,43291000.0,22634000.0,14779000.0,19948000.0,107193000.0
Total non-current assets,1440209000.0,1368811000.0,1522120000.0,1550376000.0,1214963000.0,0.0,978161000.0,925223000.0,990512000.0,725789000.0,651359000.0,61626000.0
Total assets,2821749000.0,2865387000.0,2533554000.0,2310106000.0,2133293000.0,0.0,1984012000.0,1737945000.0,1960798000.0,1884387000.0,1711772000.0,1581315000.0
Payables,15212000.0,265050000.0,14373000.0,17544000.0,20710000.0,0.0,174274000.0,10695000.0,14831000.0,10887000.0,3606000.0,113822000.0
Short-term debt,24404000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1624000.0
Total current liabilities,306853000.0,285198000.0,245773000.0,213083000.0,209681000.0,0.0,189370000.0,172815000.0,156840000.0,159385000.0,165756000.0,156584000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5825000.0
Total debt,24404000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,7449000.0
Deferred revenue,19991000.0,0.0,23150000.0,24180000.0,18910000.0,0.0,31775000.0,20931000.0,23493000.0,26701000.0,9647000.0,47963000.0
Tax Liabilities,3506000.0,2680000.0,1216000.0,2304000.0,754000.0,0.0,2600000.0,3394000.0,2424000.0,4762000.0,7895000.0,17507000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,226270000.0,209686000.0,334854000.0,285078000.0,204706000.0,0.0,62994000.0,65104000.0,60725000.0,39652000.0,51337000.0,61626000.0
Total liabilities,514398000.0,494884000.0,396812000.0,339850000.0,326225000.0,0.0,252364000.0,256835000.0,240529000.0,220874000.0,238035000.0,218210000.0
Other comprehensive income,41000,-15832000.0,61374000,42076000,17622000,0.0,3014000.0,18859000,57000,210739000,329961000,9541000.0
Retained earnings (deficit),2327877000.0,2313539000.0,2083063000.0,1938320000.0,1800857000.0,0.0,1660485000.0,1454382000.0,1709479000.0,1445189000.0,1135922000.0,852475000.0
Total shareholders equity,2307351000.0,2363936000.0,2136742000.0,1970256000.0,1807068000.0,0.0,1710017000.0,1481110000.0,1720269000.0,1663513000.0,1473737000.0,1341108000.0
Investments,298733000.0,365920000.0,562121000.0,515533000.0,459916000.0,0.0,527543000.0,461740000.0,664307000.0,664078000.0,493106000.0,489746000.0
Net Debt,-772806000.0,-1103388000.0,-627017000.0,-516112000.0,-531826000.0,0.0,-801822000.0,-454397000.0,-492600000.0,-551512000.0,-545861000.0,-728037000.0
Other Assets,0.0,200849000.0,0.0,0.0,0.0,0.0,109325000.0,0.0,0.0,0.0,0.0,129396000.0
Other Liabilities,-18725000.0,20148000.0,-183815000.0,-158311000.0,-88162000.0,0.0,15096000.0,18916000.0,22964000.0,21837000.0,20942000.0,41138000.0
