Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,670948.0,4735230.0,62520.0,13850.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,670948.0,4735230.0,62520.0,13850.0
Receivables,28203.0,72771.0,1673.0,1136.0
Inventories,357997.0,154730.0,43999.0,30563.0
Total current assets,1104921.0,5079895.0,137555.0,64499.0
Property Plant & Equipment Net,274804.0,95597.0,114020.0,170795.0
Goodwill and Intangible Assets,2019624.0,2184261.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,2576179.0,2290328.0,124490.0,181265.0
Total assets,3681100.0,7370223.0,262045.0,245764.0
Payables,413925.0,311236.0,356467.0,558707.0
Short-term debt,0.0,0.0,44323.0,254955.0
Total current liabilities,495337.0,499947.0,607619.0,956739.0
Long-term debt,0.0,0.0,0.0,516575.0
Total debt,0.0,0.0,44323.0,771530.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,516575.0
Total liabilities,495337.0,499947.0,-83529.0,1473314.0
Other comprehensive income,37819125.999,33736231.999,345573.999,0.0
Retained earnings (deficit),-34633363.0,-26865956.0,0.0,-14106781.0
Total shareholders equity,3185763.0,6870276.0,345574.0,-1227550.0
Investments,0.0,0.0,0.0,0.0
Net Debt,-670948.0,-4735230.0,-18197.0,757680.0
Other Assets,0.0,0.0,0.0,18950.0
Other Liabilities,0.0,0.0,-691148.0,143077.0
