Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-09-30,2011-09-30
Cash and cash equivalents,6824000.0,7000000.0,12584000.0,13000000.0,5594000.0,6000000.0,5359000.0,5000000.0,4799000.0,5000000.0,1391000.0,23692.0,69121.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Cash and short-term investments,6824000.0,,12584000.0,,5594000.0,,5359000.0,,4799000.0,,1391000.0,23692.0,69121.0
Receivables,5269000.0,5000000.0,4677000.0,5000000.0,3123000.0,3000000.0,2634000.0,3000000.0,2089000.0,2000000.0,3069000.0,0.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total current assets,117127000.0,76000000.0,109633000.0,78000000.0,76609000.0,72000000.0,69933000.0,74000000.0,59020000.0,63000000.0,49545000.0,23692.0,69121.0
Property Plant & Equipment Net,3970000.0,4000000.0,2125000.0,2000000.0,1979000.0,2000000.0,1226000.0,1000000.0,1252000.0,1000000.0,1382000.0,1135294.0,0.0
Goodwill and Intangible Assets,71576000.0,72000000,75068000.0,75000000,65590000.0,66000000,68652000.0,69000000,53977000.0,54000000,55996000.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,2409000.0,,4269000.0,,3383000.0,,4243000.0,,5036000.0,,473000.0,0.0,0.0
Total non-current assets,75806000.0,78000000.0,77577000.0,72000000.0,72180000.0,48000000.0,74469000.0,46000000.0,62715000.0,17000000.0,67502000.0,68811113.0,68930607.0
Total assets,192933000.0,193000000.0,187210000.0,187000000.0,148789000.0,149000000.0,144402000.0,144000000.0,121735000.0,122000000.0,117047000.0,68834805.0,68999728.0
Payables,11569000.0,3000000.0,10821000.0,3000000.0,8661000.0,2000000.0,9153000.0,2000000.0,12154000.0,2000000.0,8284000.0,257872.0,14272.0
Short-term debt,3364000.0,3000000.0,8074000.0,8000000.0,3411000.0,3000000.0,1571000.0,2000000.0,10674000.0,11000000.0,7479000.0,335000.0,0.0
Total current liabilities,116170000.0,116000000.0,104615000.0,105000000.0,79840000.0,80000000.0,73351000.0,73000000.0,76094000.0,76000000.0,60461000.0,592872.0,14272.0
Long-term debt,12700000.0,13000000.0,13794000.0,14000000.0,13286000.0,13000000.0,14795000.0,15000000.0,8071000.0,8000000.0,17090000.0,51052759.0,0.0
Total debt,16064000.0,13000000.0,21868000.0,14000000.0,16697000.0,13000000.0,16366000.0,15000000.0,18745000.0,8000000.0,24569000.0,51387759.0,0.0
Deferred revenue,492000.0,0000000.0,502000.0,1000000.0,558000.0,1000000.0,520000.0,1000000.0,501000.0,1000000.0,470000.0,0.0,0.0
Tax Liabilities,0.0,1000000.0,0.0,1000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,13545000.0,78000000.0,14314000.0,72000000.0,13536000.0,48000000.0,15079000.0,46000000.0,8310000.0,17000000.0,17614000.0,51052759.0,0.0
Total liabilities,194371000.0,194000000.0,177001000.0,177000000.0,128340000.0,128000000.0,119620000.0,120000000.0,92734000.0,93000000.0,84459000.0,64369793.0,63919904.0
Other comprehensive income,30236000,,38778000,,40807000,,43942000,,28989000,,32576000,4461186,5075998
Retained earnings (deficit),-31692000.0,-32000000.0,-28587000.0,-29000000.0,-20372000.0,-20000000.0,-19174000.0,-19000000.0,0.0,-12000000.0,0.0,0.0,0.0
Total shareholders equity,-1438000.0,-1000000.0,10209000.0,10000000.0,20449000.0,20000000.0,24782000.0,25000000.0,29001000.0,29000000.0,32588000.0,4465012.0,5079824.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Debt,9240000.0,9000000,9284000.0,9000000,11103000.0,10000000,11007000.0,12000000,13946000.0,14000000,23178000.0,51364067.0,-69121.0
Other Assets,0.0,103000000,0.0,87000000,0.0,72000000,0.0,66000000,0.0,59000000,0.0,0.0,0.0
Other Liabilities,64656000.0,168000000,58072000.0,148000000,34964000.0,103000000,31190000.0,93000000,8330000.0,61000000,6384000.0,12724162.0,63905632.0
