Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,10864000.0,10714000.0,11000000.0,11677000.0,12000000.0,10496000.0,10000000.0,10079000.0,10000000.0,12950000.0,13000000.0,14993000.0,18634000.0
Short-term investments,327000.0,344000.0,,304000.0,,287000.0,,289000.0,,269000.0,,0.0,0.0
Cash and short-term investments,11191000.0,11058000.0,,11981000.0,,10783000.0,,10368000.0,,13219000.0,,14993000.0,18634000.0
Receivables,4297000.0,3557000.0,4000000.0,3507000.0,4000000.0,2926000.0,3000000.0,3838000.0,4000000.0,4248000.0,4000000.0,4093000.0,3982000.0
Inventories,1975000.0,1928000.0,2000000.0,1910000.0,2000000.0,1912000.0,2000000.0,1783000.0,2000000.0,1957000.0,2000000.0,1921000.0,1860000.0
Total current assets,27569000.0,25084000.0,137000000.0,26972000.0,143000000.0,27378000.0,147000000.0,26553000.0,153000000.0,31218000.0,162000000.0,35361000.0,38892000.0
Property Plant & Equipment Net,131322000.0,134527000.0,135000000.0,140714000.0,141000000.0,145425000.0,145000000.0,152107000.0,152000000.0,160570000.0,161000000.0,168963000.0,176415000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,116000.0,318000.0,2000000.0,221000.0,2000000.0,482000.0,0000000.0,404000.0,0000000.0,1268000.0,000000.0,1284000.0,1317000.0
Total non-current assets,133146000.0,136721000.0,7000000.0,143328000.0,8000000.0,146579000.0,8000000.0,153263000.0,9000000.0,161502000.0,6000000.0,169901000.0,177292000.0
Total assets,160715000.0,161805000.0,162000000.0,170300000.0,170000000.0,173957000.0,174000000.0,179816000.0,180000000.0,192720000.0,193000000.0,205262000.0,216184000.0
Payables,2865000.0,3769000.0,4000000.0,3749000.0,4000000.0,3380000.0,3000000.0,3975000.0,4000000.0,4480000.0,4000000.0,3785000.0,4035000.0
Short-term debt,15000000.0,19900000.0,20000000.0,25250000.0,25000000.0,31500000.0,32000000.0,39010000.0,39000000.0,47040000.0,47000000.0,58500000.0,0.0
Total current liabilities,39488000.0,39610000.0,40000000.0,46741000.0,47000000.0,51343000.0,51000000.0,58487000.0,58000000.0,70478000.0,70000000.0,24325000.0,25660000.0
Long-term debt,15000000.0,19900000.0,,25250000.0,,31500000.0,,39010000.0,,0.0,,58500000.0,69000000.0
Total debt,30000000.0,39800000.0,,50500000.0,,63000000.0,,78020000.0,,47040000.0,,117000000.0,69000000.0
Deferred revenue,4126000.0,316000.0,0000000.0,361000.0,0000000.0,408000.0,0000000.0,389000.0,0000000.0,463000.0,0000000.0,346000.0,254000.0
Tax Liabilities,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,3000000.0,0.0,444000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,15076000.0,21530000.0,7000000.0,27270000.0,8000000.0,32808000.0,8000000.0,40253000.0,9000000.0,2725000.0,6000000.0,60494000.0,72448000.0
Total liabilities,46371000.0,47093000.0,47000000.0,54638000.0,55000000.0,58949000.0,59000000.0,67467000.0,67000000.0,76556000.0,77000000.0,91802000.0,103678000.0
Other comprehensive income,7515000,7364000,-5000000.0,7156000,-5000000.0,7223000,-4000000.0,6913000,-5000000.0,6150000,-1000000.0,118366000,115414000
Retained earnings (deficit),109881000.0,110220000.0,110000000.0,111288000.0,111000000.0,110502000.0,111000000.0,108629000.0,109000000.0,109335000.0,109000000.0,-3248000.0,-2284000.0
Total shareholders equity,114344000.0,114712000.0,115000000.0,115662000.0,116000000.0,115008000.0,115000000.0,112349000.0,112000000.0,116164000.0,116000000.0,113460000.0,112506000.0
Investments,327000.0,344000.0,,304000.0,,287000.0,,289000.0,,269000.0,,0.0,0.0
Net Debt,19136000.0,29086000.0,9000000,38823000.0,13000000,52504000.0,22000000,67941000.0,29000000,34090000.0,34000000,102007000.0,50366000.0
Other Assets,0.0,0.0,7000000,0.0,9000000,0.0,9000000,0.0,8000000,0.0,9000000,0.0,0.0
Other Liabilities,0.0,0.0,6000000,0.0,8000000,0.0,8000000,0.0,7000000,3353000.0,8000000,6983000.0,5570000.0
