Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-03-16,2014-12-31,2014-03-11,2013-12-31,2013-03-06,2012-12-31,2012-03-09,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,27929000.0,29334000.0,31850000.0,33243000.0,0.0,35078000.0,0.0,21660000.0,0.0,18082000.0,0.0,10082000.0,9568000.0,11476000.0
Stock-based compensation,2549000.0,1708000.0,3580000.0,2973000.0,0.0,2600000.0,0.0,1874000.0,0.0,1275000.0,0.0,1058000.0,758000.0,1289000.0
Operating Cash Flow,35840000.0,12544000.0,48006000.0,97989000.0,0.0,100495000.0,0.0,82198000.0,0.0,51206000.0,0.0,25828000.0,23908000.0,51575000.0
Capital Expenditure,9323000.0,2811000.0,4868000.0,13992000.0,0.0,-11104000.0,0.0,-7745000.0,0.0,-14110000.0,0.0,-4096000.0,244000.0,-1577000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-15501000.0,-0.0,-300844000.0,-0.0,-61195000.0,-0.0,-144879000.0,-0.0,-18434000.0,-18394000.0,-491000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,1688000.0,0.0,-68000.0,0.0,-105000.0,0.0,-1572000.0,0.0,0.0
Investing Cash flow,-17576000.0,-2811000.0,27814000.0,-29493000.0,0.0,-310260000.0,0.0,-69008000.0,0.0,-159094000.0,0.0,-24102000.0,-18150000.0,-2068000.0
Issuance (repayment) of debt,-3381000.0,-702402000.0,-643568000.0,-0.0,-0.0,217020000.0,-0.0,-43544000.0,-0.0,119932000.0,-0.0,348000.0,-7582000.0,-53047000.0
Issuance (buybacks) of shares,-40304000.0,-22047000.0,50299000.0,-1693000.0,0.0,-11855000.0,0.0,24054000.0,0.0,-3422000.0,0.0,-1445000.0,125000.0,10000.0
Dividend payments,-90000.0,-90000.0,-90000.0,-90000.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
Financing Cash Flow,-2921000.0,14188000.0,-75835000.0,-67124000.0,0.0,204212000.0,0.0,-18622000.0,0.0,117100000.0,0.0,-989000.0,-7332000.0,-52861000.0
Effect of forex changes on cash,-403000.0,68000.0,-88000.0,274000.0,0.0,131000.0,0.0,446000.0,0.0,-264000.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,14940000.0,23989000.0,-103000.0,1646000.0,0.0,-5422000.0,0.0,-4986000.0,0.0,8948000.0,0.0,737000.0,-1574000.0,-3354000.0
Free Cash Flow,26517000.0,9733000.0,43138000.0,83997000.0,0.0,89391000.0,0.0,74453000.0,0.0,37096000.0,0.0,21732000.0,24152000.0,49998000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,-0.5592,0.0,-0.1154,0.0,-0.3276,0.0,-0.3303,-0.3393,-0.668
