Date,2018-12-31,2017-12-31
Cash and cash equivalents,78901591.8958,26677750.9069
Short-term investments,0.0,13603385.7316
Cash and short-term investments,78901591.8958,40281136.6385
Receivables,3437771.3459,2542623.942
Inventories,84757163.5311,39275544.1354
Total current assets,198035890.0145,178289449.8186
Property Plant & Equipment Net,4041389.2909,2781741.2334
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,3915195.369,160519.9516
Total non-current assets,4958900.1447,3576481.2576
Total assets,202994790.1592,181865931.0762
Payables,6836468.8857,7623639.6614
Short-term debt,151810564.3994,0.0
Total current liabilities,168120984.081,52295042.3216
Long-term debt,0.0,0.0
Total debt,151810564.3994,0.0
Deferred revenue,999131.6932,30604141.4752
Tax Liabilities,88133.1404,3607013.3011
Deposit Liabilities,0.0,0.0
Total non-current liabilities,0.0,0.0
Total liabilities,168120984.081,52295042.3216
Other comprehensive income,-1320694.6454,-9859431.6808
Retained earnings (deficit),1091895.8032,8151602.1765
Total shareholders equity,4879160.6368,36423518.7424
Investments,0.0,13603385.7316
Net Debt,,
Other Assets,,
Other Liabilities,9473950.7959,44671402.6602
