Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,24173333.3333,7233307.1485,2577380.9524,815140.9978
Short-term investments,232592.5926,246661.4297,229910.7143,0.0
Cash and short-term investments,24405925.9259,7479968.5782,2807291.6667,815140.9978
Receivables,3083703.7037,895522.3881,79613.0952,0.0
Inventories,8580740.7407,6611154.7526,1419642.8571,0.0
Total current assets,48195555.5556,20977219.1673,6016369.0476,885817.0644
Property Plant & Equipment Net,127326666.6667,44125687.3527,10507440.4762,1952195.2278
Goodwill and Intangible Assets,9648888.8889,10211311.8617,9671875.0,1448464.2082
Long-term investments,3108888.8889,4048703.8492,5723958.3333,6359832.9718
Tax assets,2532592.5926,2446190.1021,0.0,0.0
Total non-current assets,145225925.9259,58385703.0636,25903273.8095,9760492.4078
Total assets,193421481.4815,79362922.231,31919642.8571,10646309.4722
Payables,11505185.1852,6164964.6504,875000.0,767889.3709
Short-term debt,15519259.2593,0.0,2976190.4762,770065.0759
Total current liabilities,33698518.5185,6188531.0291,5778273.8095,1682567.6067
Long-term debt,0.0,4216025.1375,0.0,361532.8995
Total debt,15519259.2593,4216025.1375,2976190.4762,1131597.9754
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,1370370.3704,1112333.0715,1084077.381,140997.8308
Deposit Liabilities,0.0,0.0,0.0,144613.1598
Total non-current liabilities,2952592.5926,5328358.209,1084077.381,502530.7303
Total liabilities,36651111.1111,11516889.238,6862351.1905,2185098.3369
Other comprehensive income,688888.8889,691280.4399,1178571.4286,0.0
Retained earnings (deficit),-16825925.9259,-2925373.1343,-4624255.9524,-3633765.7267
Total shareholders equity,156669629.6296,67846032.9929,25057291.6667,8461211.1352
Investments,3341481.4815,4295365.2789,5953869.0476,6359832.9718
Net Debt,-8654074.074,,,
Other Assets,11669008.8945,,,
Other Liabilities,6674074.074,23566.3787,1927083.3333,144613.1599
