Date,2018-12-31,2017-12-31
Cash and cash equivalents,238206896.5517,328715486.1945
Short-term investments,0.0,37214.886
Cash and short-term investments,238206896.5517,328752701.0805
Receivables,11819540.2299,11855942.377
Inventories,4597.7011,4801.9208
Total current assets,250708045.977,340422569.0276
Property Plant & Equipment Net,8924137.931,7591836.7347
Goodwill and Intangible Assets,914942.5287,763505.4022
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,13059770.1149,11537815.1261
Total assets,263767816.092,351960384.1537
Payables,41349425.2874,28307322.9292
Short-term debt,3632183.908,3797118.8475
Total current liabilities,45112643.6782,32540216.0864
Long-term debt,191300000.0,193897959.1837
Total debt,194932183.908,197695078.0312
Deferred revenue,2298.8506,3601.4406
Tax Liabilities,2037931.0345,2599039.6158
Deposit Liabilities,0.0,0.0
Total non-current liabilities,194587356.3218,197623049.2197
Total liabilities,239700000.0,230163265.3061
Other comprehensive income,6896.5517,-9603.8415
Retained earnings (deficit),-274043678.1609,-189986794.7179
Total shareholders equity,24067816.092,121797118.8475
Investments,0.0,37214.886
Net Debt,,
Other Assets,,
Other Liabilities,131034.4828,435774.3097
