Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31
Cash and cash equivalents,196028000.0,217644000.0,162312000.0,155482000.0,157227000.0,198683000.0,117519000.0,123904000.0,29297000.0,26461000.0,0.0,18450000.0
Short-term investments,146200000.0,116300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cash and short-term investments,342228000.0,333944000.0,162312000.0,155482000.0,157227000.0,198683000.0,117519000.0,123904000.0,29297000.0,26461000.0,0.0,
Receivables,944286000.0,1373492000.0,731578000.0,694410000.0,767036000.0,837074000.0,0.0,28654000.0,0.0,0.0,0.0,35998000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,0.0,0.0,0.0,0.0
Total current assets,1286514000.0,1707436000.0,893890000.0,849892000.0,924263000.0,1035757000.0,117519000.0,155433000.0,29297000.0,26461000.0,0.0,
Property Plant & Equipment Net,121728000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579470000.0
Goodwill and Intangible Assets,934688000.0,920944000.0,643960000.0,635920000.0,681809000.0,692415000.0,350208000.0,339332000.0,0.0,0.0,0.0,85187000.0
Long-term investments,0.0,0.0,23300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tax assets,20226000.0,6841000.0,78170000.0,71015000.0,-73542000.0,42758000.0,42971000.0,-17328000.0,0.0,0.0,0.0,0.0
Total non-current assets,12774404000.0,12475603000.0,7337512000.0,7604062000.0,7830410000.0,7601571000.0,4561431000.0,4453609000.0,1433326000.0,1433245000.0,0.0,
Total assets,14060918000.0,14183039000.0,8231402000.0,8453954000.0,8754673000.0,8637328000.0,4678950000.0,4609042000.0,1462623000.0,1459706000.0,0.0,1093336000.0
Payables,487405000.0,403896000.0,263053000.0,266917000.0,342374000.0,293846000.0,161369000.0,265132000.0,0.0,0.0,0.0,83075000.0
Short-term debt,201267000.0,91563000.0,216775000.0,676715000.0,485021000.0,807518000.0,575000000.0,253000000.0,233160000.0,233160000.0,0.0,
Total current liabilities,694428000.0,501564000.0,485030000.0,949218000.0,831699000.0,1101364000.0,744369000.0,522132000.0,233160000.0,233160000.0,0.0,
Long-term debt,6053943000.0,6378691000.0,4265267000.0,249978000.0,250000000.0,250000000.0,575000000.0,253000000.0,233160000.0,233160000.0,0.0,
Total debt,6255210000.0,6470254000.0,4482042000.0,926693000.0,735021000.0,1057518000.0,1150000000.0,506000000.0,466320000.0,466320000.0,0.0,326330000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,5756000.0,6105000.0,5202000.0,5586000.0,4304000.0,0.0,4900000.0,4000000.0,0.0,0.0,0.0,43831000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,6233243000.0,6551806000.0,4332276000.0,340803000.0,336104000.0,330451000.0,610739000.0,298432000.0,233160000.0,233160000.0,0.0,
Total liabilities,7118989000.0,7358761000.0,5039141000.0,5152287000.0,5327430000.0,4886439000.0,2774535000.0,2621896000.0,780042000.0,766357000.0,0.0,453236000.0
Other comprehensive income,7453091000,7334105000,3664176000,3810531000,3771721000,3901902000,1873674000,1996375000,659865982,647833844,0.0,-681000.0
Retained earnings (deficit),-255667000.0,-254996000.0,-236011000.0,-254485000.0,-172291000.0,-75559000.0,15336000.0,-4649000.0,-8507000.0,2904000.0,0.0,-138442000.0
Total shareholders equity,6941929000.0,6824278000.0,3192261000.0,3301667000.0,3427243000.0,3750889000.0,1904415000.0,1987146000.0,682581000.0,693349000.0,0.0,625633000.0
Investments,146200000.0,116300000.0,23300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884460000.0
Net Debt,6059182000.0,6252610000.0,4319730000.0,771211000.0,577794000.0,858835000.0,1032481000.0,382096000.0,437023000.0,439859000.0,0.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,191318000.0,305391000.0,221835000.0,3862266000.0,4159627000.0,3454624000.0,1419427000.0,1801332000.0,313722000.0,300037000.0,0.0,
