Date,2019-06-30,2019-06-29,2018-06-30,2017-06-30,2017-06-24,2016-06-30,2016-06-25,2015-06-27,2014-06-28,2013-06-29,2012-06-30,2011-06-25,2010-06-26,2009-06-30
Cash and cash equivalents,327800000.0,327800000.0,301000000.0,368000000.0,367800000.0,352000000.0,352200000.0,399900000.0,447205000.0,355303000.0,0.0,0.0,209858000.0,169036000.0
Short-term investments,313700000.0,0.0,276700000.0,0.0,363200000.0,0.0,327700000.0,600000.0,459460000.0,367490000.0,0.0,0.0,,22934000.0
Cash and short-term investments,641500000.0,327800000.0,577700000.0,368000000.0,731000000.0,352000000.0,679900000.0,400500000.0,906665000.0,722793000.0,0.0,0.0,209858000.0,191970000.0
Receivables,230000000.0,230000000.0,289100000.0,255000000.0,255200000.0,253000000.0,252600000.0,324600000.0,195057000.0,148454000.0,0.0,0.0,101509000.0,84739000.0
Inventories,158700000.0,158700000.0,131200000.0,131000000.0,131400000.0,146000000.0,146400000.0,140200000.0,82311000.0,49948000.0,0.0,0.0,18667000.0,14950000.0
Total current assets,731100000.0,731100000.0,739500000.0,792000000.0,792000000.0,780000000.0,780100000.0,916000000.0,742431000.0,560420000.0,0.0,0.0,334505000.0,81397000.0
Property Plant & Equipment Net,103000000.0,103000000.0,117800000.0,114000000.0,113800000.0,113000000.0,112700000.0,123400000.0,80849000.0,58035000.0,0.0,0.0,25821000.0,25431000.0
Goodwill and Intangible Assets,517600000.0,592000000.0,592000000.0,367100000.0,307800000.0,143100000.0,367100000.0,442200000.0,143141000.0,33805000.0,0.0,0.0,,1927000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19785000.0,16969000.0,0.0,0.0,,28767000.0
Tax assets,41600000.0,0.0,30600000.0,0.0,23100000.0,0.0,14700000.0,17600000.0,5043000.0,13374000.0,0.0,0.0,,0.0
Total non-current assets,678700000.0,760300000.0,760300000.0,520100000.0,474700000.0,277800000.0,520100000.0,603400000.0,277902000.0,130846000.0,0.0,0.0,,18484000.0
Total assets,1409800000.0,1409800000.0,1499800000.0,1267000000.0,1266700000.0,1300000000.0,1300200000.0,1519400000.0,1020333000.0,691266000.0,0.0,0.0,414679000.0,376150000.0
Payables,98300000.0,98300000.0,156900000.0,136000000.0,135800000.0,173000000.0,172800000.0,188500000.0,97109000.0,83710000.0,0.0,0.0,65618000.0,32210000.0
Short-term debt,0.0,0.0,0.0,18800000.0,15000000.0,0.0,18800000.0,11300000.0,0.0,0.0,0.0,0.0,,63234000.0
Total current liabilities,253900000.0,253900000.0,283800000.0,310000000.0,310400000.0,351000000.0,350800000.0,446700000.0,254408000.0,149626000.0,0.0,0.0,105971000.0,135060000.0
Long-term debt,468300000.0,468300000.0,450700000.0,202000000.0,202000000.0,217000000.0,216700000.0,231100000.0,150000000.0,0.0,0.0,0.0,2305000.0,0.0
Total debt,468300000.0,450700000.0,450700000.0,235500000.0,217000000.0,0.0,235500000.0,242400000.0,150000000.0,0.0,0.0,0.0,,63234000.0
Deferred revenue,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Tax Liabilities,19100000.0,13100000.0,13100000.0,20500000.0,17200000.0,12500000.0,11500000.0,34700000.0,12538000.0,10751000.0,0.0,0.0,,19353000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Total non-current liabilities,509100000.0,486700000.0,501400000.0,244400000.0,228600000.0,64700000.0,238200000.0,279600000.0,240457000.0,26586000.0,0.0,0.0,,18484000.0
Total liabilities,752500000.0,752500000.0,770500000.0,527000000.0,526500000.0,595000000.0,595200000.0,726300000.0,319176000.0,169411000.0,0.0,0.0,128168000.0,153544000.0
Other comprehensive income,73700000,1500000.0,121300000,3300000.0,24500000,8500000.0,36300000,192100000,209860000,79010000,0.0,0.0,,129000.0
Retained earnings (deficit),583500000.0,583500000.0,606400000.0,714000000.0,714100000.0,665000000.0,665300000.0,593100000.0,482681000.0,435992000.0,0.0,0.0,219119000.0,166154000.0
Total shareholders equity,657300000.0,657300000.0,729300000.0,740000000.0,740200000.0,705000000.0,705000000.0,793100000.0,701157000.0,521855000.0,0.0,0.0,286511000.0,222606000.0
Investments,313700000.0,0.0,276700000.0,0.0,363200000.0,0.0,327700000.0,600000.0,479245000.0,384459000.0,0.0,0.0,,51701000.0
Net Debt,140500000.0,149700000.0,149700000.0,-116700000.0,-150800000.0,-447200000.0,-116700000.0,-157500000.0,-297205000.0,-355303000.0,0.0,0.0,,-128736000.0
Other Assets,0.0,14600000.0,0.0,37600000.0,0.0,51300000.0,0.0,0.0,0.0,0.0,0.0,0.0,,3094000.0
Other Liabilities,0.0,126900000.0,0.0,159200000.0,0.0,157300000.0,6200000.0,0.0,-175689000.0,-6801000.0,0.0,0.0,,39616000.0
