Date,2017-10-31,2017-10,2016-10-31,2016-10,2015-10-31,2015-10,2014-10-31,2014-10,2013-10-31,2013-10,2012-10-31,2011-10-31
Cash and cash equivalents,131029000.0,131000000.0,148352000.0,148000000.0,208870000.0,209000000.0,250187000.0,250000000.0,268220000.0,268000000.0,454072000.0,594562000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,836000.0,,2667000.0,6132000.0
Cash and short-term investments,131029000.0,,148352000.0,,208870000.0,,250187000.0,,269056000.0,,456739000.0,600694000.0
Receivables,322667000.0,323000000.0,323447000.0,323000000.0,361988000.0,362000000.0,305500000.0,306000000.0,284020000.0,284000000.0,366887000.0,294440000.0
Inventories,126563000.0,127000000.0,175231000.0,175000000.0,129716000.0,130000000.0,124275000.0,124000000.0,138695000.0,139000000.0,178274000.0,144316000.0
Total current assets,718655000.0,1604000000.0,757427000.0,1737000000.0,782264000.0,1691000000.0,785572000.0,1917000000.0,824992000.0,2169000000.0,1135443000.0,1160448000.0
Property Plant & Equipment Net,127872000.0,128000000.0,202277000.0,202000000.0,190965000.0,191000000.0,177753000.0,178000000.0,172187000.0,172000000.0,146803000.0,65504000.0
Goodwill and Intangible Assets,1340748000.0,1391000000,1416791000.0,1416000000,1401548000.0,1402000000,1643487000.0,1644000000,1895362000.0,1895000000,1914189000.0,825181000.0
Long-term investments,0.0,20000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0
Tax assets,33089000.0,33000000.0,36989000.0,37000000.0,35896000.0,36000000.0,30394000.0,30000000.0,23897000.0,24000000.0,215139000.0,205496000.0
Total non-current assets,1603515000.0,1025000000.0,1737380000.0,1142000000.0,1690798000.0,1032000000.0,1916671000.0,1176000000.0,2168728000.0,1291000000.0,2355164000.0,1153113000.0
Total assets,2322170000.0,2322000000.0,2494807000.0,2495000000.0,2473062000.0,2473000000.0,2702243000.0,2702000000.0,2993720000.0,2994000000.0,3490607000.0,2313561000.0
Payables,144761000.0,145000000.0,154574000.0,155000000.0,189354000.0,189000000.0,161226000.0,161000000.0,116533000.0,117000000.0,193062000.0,144278000.0
Short-term debt,68770000.0,69000000.0,66017000.0,66000000.0,39088000.0,39000000.0,32131000.0,32000000.0,92536000.0,93000000.0,54916000.0,5074000.0
Total current liabilities,542253000.0,542000000.0,538799000.0,539000000.0,541241000.0,541000000.0,492414000.0,492000000.0,587664000.0,588000000.0,570390000.0,703280000.0
Long-term debt,762044000.0,762000000.0,859896000.0,860000000.0,760241000.0,760000000.0,851040000.0,851000000.0,943325000.0,943000000.0,1252701000.0,211756000.0
Total debt,830814000.0,762000000.0,925913000.0,860000000.0,799329000.0,760000000.0,883171000.0,851000000.0,1035861000.0,943000000.0,1307617000.0,216830000.0
Deferred revenue,101427000.0,62000000.0,104797000.0,67000000.0,82899000.0,55000000.0,92075000.0,51000000.0,86576000.0,43000000.0,91545000.0,68824000.0
Tax Liabilities,107968000.0,98000000.0,106103000.0,99000000.0,110564000.0,103000000.0,111002000.0,136000000.0,114528000.0,176000000.0,13577000.0,9116000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4501000.0
Total non-current liabilities,997445000.0,1025000000.0,1102623000.0,1142000000.0,997380000.0,1032000000.0,1139157000.0,1176000000.0,1254402000.0,1291000000.0,1574740000.0,413114000.0
Total liabilities,1567577000.0,1568000000.0,1681076000.0,1681000000.0,1573558000.0,1574000000.0,1668453000.0,1668000000.0,1879114000.0,1879000000.0,2182812000.0,1119368000.0
Other comprehensive income,1812209000,-267000000.0,1771951000,-341000000.0,1726416000,-292000000.0,1675695000,-105000000.0,1598735000,15000000.0,1543127000,1468862000
Retained earnings (deficit),-792168000.0,-792000000.0,-618339000.0,-618000000.0,-535716000.0,-536000000.0,-538208000.0,-538000000.0,-500078000.0,-500000000.0,-204023000.0,-269056000.0
Total shareholders equity,754593000.0,755000000.0,813731000.0,814000000.0,899504000.0,900000000.0,1033790000.0,1034000000.0,1114606000.0,1115000000.0,1307795000.0,1194193000.0
Investments,0.0,20000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,836000.0,000000.0,2667000.0,6132000.0
Net Debt,699785000.0,700000000,777561000.0,778000000,590459000.0,590000000,632984000.0,633000000,767641000.0,768000000,853545000.0,-377732000.0
Other Assets,0.0,129000000,0.0,81000000,0.0,82000000,0.0,84000000,0.0,115000000,0.0,0.0
Other Liabilities,27879000.0,246000000,39654000.0,219000000,34937000.0,217000000,36882000.0,231000000,37048000.0,215000000,37682000.0,2974000.0
