Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,316394825.7598,42088635.5804,39000.0
Short-term investments,16705655.5716,19614570.7376,1781000.0
Cash and short-term investments,333100481.3314,61703206.318,1820000.0
Receivables,29520126.4834,6537272.5212,2326000.0
Inventories,0.0,0.0,0.0
Total current assets,380039639.0738,70466708.283,4285000.0
Property Plant & Equipment Net,2015852.6773,697409.6131,20000.0
Goodwill and Intangible Assets,14731682.7786,0.0,
Long-term investments,0.0,0.0,
Tax assets,0.0,0.0,
Total non-current assets,18291984.2258,1567866.9891,
Total assets,398331623.2996,72034575.2721,4305000.0
Payables,18994098.2634,2266133.7666,1106000.0
Short-term debt,0.0,0.0,
Total current liabilities,160779126.4834,47044448.3071,5916000.0
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,
Deferred revenue,22445631.9826,6025483.5248,
Tax Liabilities,18077947.9016,3226058.0411,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,4821724.7467,0.0,
Total liabilities,165600851.2301,47044448.3071,5916000.0
Other comprehensive income,-2377550.6512,3725.9674,
Retained earnings (deficit),-311611494.2113,-17753431.2273,-1775000.0
Total shareholders equity,219176165.7019,-16408707.8295,-1611000.0
Investments,16705655.5716,19614570.7376,
Net Debt,,,
Other Assets,19131392.1852,,
Other Liabilities,141785028.22,44778314.5405,
