Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,28258000.0,15816000.0,16000000.0,8910000.0,9000000.0,14056000.0,14000000.0,17880000.0,18000000.0,14529000.0,15000000.0,48044000.0,0.0,58181000.0,40219000.0
Short-term investments,200000.0,28083000.0,28000000.0,12959000.0,13000000.0,15200000.0,15000000.0,31415000.0,31000000.0,200000.0,0000000.0,8045000.0,0.0,450000.0,8825000.0
Cash and short-term investments,28458000.0,43899000.0,28000000.0,21869000.0,13000000.0,29256000.0,15000000.0,49295000.0,31000000.0,14729000.0,0000000.0,56089000.0,0.0,58631000.0,49044000.0
Receivables,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,9000.0,0.0,683000.0,595000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,171000.0,116000.0
Total current assets,31208000.0,46077000.0,0000000.0,24298000.0,0000000.0,31889000.0,0000000.0,50151000.0,0000000.0,15171000.0,0000000.0,56815000.0,0.0,3890000.0,7046000.0
Property Plant & Equipment Net,19000.0,51000.0,0000000.0,81000.0,0000000.0,5000.0,0000000.0,29000.0,0000000.0,112000.0,0000000.0,507000.0,0.0,2040000.0,3291000.0
Goodwill and Intangible Assets,94000.0,108000.0,0,123000.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1850000.0,3755000.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,319000.0,,156000.0,,271000.0,0.0,0.0,0.0
Total non-current assets,113000.0,159000.0,000000.0,204000.0,000000.0,142000.0,000000.0,500000.0,0000000.0,434000.0,0000000.0,959000.0,0.0,7218000.0,50519000.0
Total assets,31321000.0,46236000.0,46000000.0,24502000.0,25000000.0,32031000.0,32000000.0,50651000.0,51000000.0,15605000.0,16000000.0,57774000.0,0.0,64250000.0,57721000.0
Payables,3279000.0,2604000.0,3000000.0,1220000.0,1000000.0,382000.0,0000000.0,512000.0,1000000.0,808000.0,1000000.0,1707000.0,0.0,848000.0,1268000.0
Short-term debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current liabilities,5210000.0,7975000.0,8000000.0,4611000.0,5000000.0,30172000.0,30000000.0,32792000.0,33000000.0,4567000.0,5000000.0,9495000.0,0.0,5305000.0,15952000.0
Long-term debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,8066000.0,59852000.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,461000.0,92000.0,000000.0,336000.0,000000.0,251000.0,000000.0,349000.0,0000000.0,510000.0,0000000.0,849000.0,0.0,7218000.0,50519000.0
Total liabilities,5210000.0,7975000.0,8000000.0,4611000.0,5000000.0,30172000.0,30000000.0,32822000.0,33000000.0,4921000.0,5000000.0,10073000.0,0.0,12523000.0,66471000.0
Other comprehensive income,626142000,599876000,,551073000,,515192000,,512460000,,465981000,,460887000,0.0,0.0,0.0
Retained earnings (deficit),-600055000.0,-561637000.0,-562000000.0,-531198000.0,-531000000.0,-513474000.0,-513000000.0,-494771000.0,-495000000.0,-455360000.0,-455000000.0,-413249000.0,0.0,-352880000.0,-368174000.0
Total shareholders equity,26111000.0,38261000.0,38000000.0,19891000.0,20000000.0,1859000.0,2000000.0,17829000.0,18000000.0,10684000.0,11000000.0,47701000.0,0.0,51727000.0,-8750000.0
Investments,200000.0,28083000.0,,12959000.0,,15200000.0,,31415000.0,,200000.0,,8045000.0,0.0,450000.0,8825000.0
Net Debt,-28258000.0,-15816000.0,-16000000,-8910000.0,-9000000,-14056000.0,-14000000,-17880000.0,-18000000,-14529000.0,-15000000,-48044000.0,0.0,-58631000.0,-49044000.0
Other Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,875000.0,920000.0
Other Liabilities,-461000.0,-92000.0,0,-336000.0,0,-251000.0,27000000,-319000.0,31000000,-156000.0,0,-271000.0,0.0,4457000.0,14684000.0
