Date,2018-11-30,2017-11-30,2013-11-30,2012-11-30,2011-11-30,2010-11-30,2009-11-30
Cash and cash equivalents,1323308.2707,829937.3041,911404.3355,1522658.6103,2511285.5741,25999024.3902,1437086.0927
Short-term investments,16017293.2331,5206896.5517,93308.1998,150050.3525,737978.4102,1814634.1463,9494796.5941
Cash and short-term investments,17340601.5038,6036833.8558,1004712.5353,1672708.9628,3249263.9843,27813658.5365,10931882.6868
Receivables,7321052.6316,5258620.6897,460885.9566,1176233.6354,1750736.0157,157073.1707,354777.6727
Inventories,7021804.5113,9612068.9655,10362865.2215,12879154.0785,10139352.3062,4211707.3171,2105014.1911
Total current assets,33530075.188,22274294.6708,12309142.3186,17208459.2145,18084396.4671,33707317.0732,15248817.4078
Property Plant & Equipment Net,46616.5414,36833.8558,264844.4863,404833.8369,950932.2866,1034146.3415,1162724.6925
Goodwill and Intangible Assets,16369924.812,16148119.1223,0.0,0.0,0.0,0.0,0.0
Long-term investments,7418045.1128,3056426.3323,10638077.2856,18974823.7664,32851815.5054,35161951.2195,49013245.0331
Tax assets,0.0,0.0,0.0,423967.7744,339548.577,323902.439,1261116.3671
Total non-current assets,23834586.4662,19241379.3103,11106503.2988,19379657.6032,33802747.792,36196097.561,50175969.7256
Total assets,57364661.6541,41515673.9812,23415645.6173,36588116.8177,51887144.2591,69903414.6341,65424787.1334
Payables,17444360.9023,8006269.5925,3177191.3289,3362537.7644,6996074.5829,4855609.7561,5267738.8836
Short-term debt,3515789.4737,3655956.1129,0.0,0.0,0.0,0.0,0.0
Total current liabilities,21526315.7895,12094827.5862,4382657.8699,6449144.0081,11262021.5898,11535609.7561,11745506.1495
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,3515789.4737,3655956.1129,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,77586.2069,2611687.0877,4512588.1168,8398429.8332,13359024.3902,19430463.5762
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3415789.4737,8346394.9843,1570216.7766,7309164.149,4959764.475,6996097.561,12952696.3103
Total liabilities,24942105.2632,20441222.5705,5952874.6466,13758308.1571,16221786.0648,18531707.3171,24698202.4598
Other comprehensive income,54135.3383,1441222.5705,249764.3732,429003.0211,450441.6094,552195.122,1212866.6036
Retained earnings (deficit),-226109022.5564,-219958463.9498,-255269557.0217,-268666666.6667,-248131501.472,-229381463.4146,-230993377.4834
Total shareholders equity,32422556.391,21074451.4107,17462770.9708,22829808.6606,35665358.1943,51371707.3171,40726584.6736
Investments,23435338.3459,8263322.884,10731385.4854,19124874.1188,33589793.9156,36976585.3659,58508041.6272
Net Debt,,,,,,,
Other Assets,,,,,,,
Other Liabilities,566165.4135,432601.8808,1205466.541,3086606.2437,4265947.0069,6680000.0,6477767.2659
