Date,2017-12-29,2017-12,2016-12-30,2016-12,2016-01-01,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,11310000.0,11000000.0,10110000.0,10000000.0,7522000.0,8000000.0,6886000.0,7000000.0,12246000.0,12000000.0,26120000.0,33693000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Cash and short-term investments,11310000.0,,10110000.0,,7522000.0,,6886000.0,,12246000.0,,26120000.0,33693000.0
Receivables,125860000.0,126000000.0,99212000.0,99000000.0,92270000.0,92000000.0,74894000.0,75000000.0,61651000.0,62000000.0,49971000.0,45166000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,151684000.0,566000000.0,120754000.0,538000000.0,109464000.0,355000000.0,104430000.0,253000000.0,95707000.0,257000000.0,89692000.0,92766000.0
Property Plant & Equipment Net,15246000.0,15000000.0,10732000.0,11000000.0,10000000.0,10000000.0,5575000.0,6000000.0,8142000.0,8000000.0,5401000.0,5229000.0
Goodwill and Intangible Assets,536276000.0,537000000,390539000.0,390000000,341690000.0,342000000,246925000.0,247000000,247650000.0,248000000,153385000.0,152362000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,15308000.0,000000.0,18936000.0,000000.0,19074000.0,000000.0,12230000.0,12000000.0,11532000.0,12000000.0,6580000.0,7470000.0
Total non-current assets,566134000.0,171000000.0,537958000.0,304000000.0,355305000.0,139000000.0,253058000.0,76000000.0,256566000.0,87000000.0,159567000.0,158056000.0
Total assets,717818000.0,718000000.0,658712000.0,659000000.0,464769000.0,465000000.0,357488000.0,357000000.0,352273000.0,352000000.0,249259000.0,250822000.0
Payables,22049000.0,22000000.0,12122000.0,12000000.0,12297000.0,12000000.0,9257000.0,9000000.0,11526000.0,12000000.0,4599000.0,6489000.0
Short-term debt,4961000.0,5000000.0,0.0,000000.0,0.0,000000.0,51000.0,0000000.0,702000.0,1000000.0,625000.0,1200000.0
Total current liabilities,77192000.0,77000000.0,51850000.0,52000000.0,54821000.0,55000000.0,51634000.0,52000000.0,51144000.0,51000000.0,27098000.0,28818000.0
Long-term debt,7800000.0,108000000.0,12500000.0,275000000.0,6556000.0,120000000.0,46447000.0,46000000.0,56000000.0,56000000.0,500000.0,1125000.0
Total debt,12761000.0,108000000.0,12500000.0,275000000.0,6556000.0,120000000.0,46498000.0,46000000.0,56702000.0,56000000.0,1125000.0,2325000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,642000.0,19000000.0,633000.0,21000000.0,643000.0,13000000.0,563000.0,24000000.0,856000.0,26000000.0,381000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,134073000.0,171000000.0,302682000.0,304000000.0,136048000.0,139000000.0,72662000.0,76000000.0,83436000.0,87000000.0,17846000.0,15707000.0
Total liabilities,248089000.0,248000000.0,355923000.0,356000000.0,194508000.0,194000000.0,127935000.0,128000000.0,138219000.0,138000000.0,44944000.0,44525000.0
Other comprehensive income,283995000,000000.0,137975000,000000.0,123792000,000000.0,103050000,-0000000.0,101315000,000000.0,99625000,100247000
Retained earnings (deficit),184309000.0,184000000.0,163763000.0,164000000.0,145456000.0,145000000.0,125546000.0,126000000.0,111789000.0,112000000.0,103748000.0,105112000.0
Total shareholders equity,469729000.0,470000000.0,302789000.0,303000000.0,270261000.0,271000000.0,229553000.0,230000000.0,214054000.0,214000000.0,204315000.0,206297000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Debt,1451000.0,102000000,2390000.0,265000000,-966000.0,112000000,39612000.0,39000000,44456000.0,45000000,-24995000.0,-31368000.0
Other Assets,0.0,15000000,0.0,137000000,0.0,4000000,0.0,1000000,0.0,1000000,0.0,0.0
Other Liabilities,36824000.0,35000000,1391000.0,25000000,3639000.0,24000000,3639000.0,23000000,3639000.0,26000000,0.0,0.0
