Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,68000000.0,141000000.0,160596000.0,86709000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,68000000.0,141000000.0,160596000.0,86709000.0
Receivables,33000000.0,42000000.0,45337000.0,37625000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,101000000.0,227753000.0,245420000.0,171923000.0
Property Plant & Equipment Net,0.0,2458000000.0,2456780000.0,2623472000.0
Goodwill and Intangible Assets,0.0,0.0,177002000.0,178095000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,1000000.0,0.0,0.0,0.0
Total non-current assets,2354000000.0,2647103000.0,2813921000.0,
Total assets,2455000000.0,2953000000.0,2892523000.0,2985844000.0
Payables,99000000.0,65000000.0,38130000.0,27572000.0
Short-term debt,0.0,17514000.0,17514000.0,17514000.0
Total current liabilities,99000000.0,198753000.0,180092000.0,160829000.0
Long-term debt,1014000000.0,1670447000.0,1682436000.0,1694585000.0
Total debt,1014000000.0,992000000.0,1699950000.0,1712099000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,213000000.0,364428000.0,375293000.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,1021000000.0,2054594000.0,2078503000.0,
Total liabilities,1158000000.0,2125000000.0,2234686000.0,2239332000.0
Other comprehensive income,977000000,-1000000.0,-6372000.0,-7436000.0
Retained earnings (deficit),319000000.0,-144000000.0,-296006000.0,-294718000.0
Total shareholders equity,1297000000.0,825000000.0,655068000.0,743612000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,946000000.0,1546961000.0,1539354000.0,1625390000.0
Other Assets,0.0,44753000.0,39487000.0,47589000.0
Other Liabilities,38000000.0,116239000.0,124448000.0,115743000.0
