Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31
Cash and cash equivalents,35339473.6842,27536986.3014,36444155.8442,23225071.2251,16965361.4458,3338815.7895
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,35339473.6842,27536986.3014,36444155.8442,23225071.2251,16965361.4458,3338815.7895
Receivables,17825000.0,15252054.7945,1333766.2338,2163817.6638,3960843.3735,708881.5789
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,61490789.4737,49164383.5616,43294805.1948,29682336.1823,22882530.1205,5090460.5263
Property Plant & Equipment Net,810526.3158,1108219.1781,150649.3506,118233.6182,82831.3253,70723.6842
Goodwill and Intangible Assets,16339473.6842,23647945.2055,5368831.1688,5893162.3932,6245481.9277,6837171.0526
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,8326315.7895,6375342.4658,5516883.1169,4293447.2934,1956325.3012,1042763.1579
Total non-current assets,17150000.0,24756164.3836,5519480.5195,6011396.0114,6328313.253,6907894.7368
Total assets,78640789.4737,73920547.9452,48814285.7143,35693732.1937,29210843.3735,11998355.2632
Payables,11664473.6842,12235616.4384,5174025.974,4566951.567,5376506.0241,3046052.6316
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,16931578.9474,31186301.3699,14150649.3506,4566951.567,5376506.0241,3074013.1579
Long-term debt,0.0,4232876.7123,7687012.987,7170940.1709,3245481.9277,0.0
Total debt,0.0,4232876.7123,7687012.987,7170940.1709,3245481.9277,0.0
Deferred revenue,5532894.7368,56306849.3151,39645454.5455,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,5732894.7368,47095890.411,39200000.0,8220797.7208,4313253.012,1092105.2632
Total liabilities,22664473.6842,78282191.7808,53350649.3506,12787749.2877,9689759.0361,4166118.4211
Other comprehensive income,73684.2105,50684.9315,64935.0649,29914.5299,93373.494,0.0
Retained earnings (deficit),-73814473.6842,-101320547.9452,-69836363.6364,-46158119.6581,-18472891.5663,-74314144.7368
Total shareholders equity,55976315.7895,-4361643.8356,-4536363.6364,22905982.906,19521084.3373,7832236.8421
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-35339473.6842,,,,,
Other Assets,8084526.3158,,,,,
Other Liabilities,5267105.2632,18950684.9315,8976623.3766,0.0,0.0,27960.5263
