Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,480975000.0,63000000.0,781273000.0,67000000.0,1187844000.0,61000000.0,1350961000.0,51000000.0,1422026000.0,111000000.0,739126000.0,532569000.0,0.0,0.0
Short-term investments,40185000.0,,6122808000.0,,5208228000.0,,4744032000.0,,4855066000.0,,4450790000.0,3836479000.0,0.0,0.0
Cash and short-term investments,521160000.0,,6904081000.0,,6396072000.0,,6094993000.0,,6277092000.0,,5189916000.0,4369048000.0,0.0,0.0
Receivables,1114405000.0,11000000.0,1212950000.0,9000000.0,1170167000.0,8000000.0,1068900000.0,15000000.0,1103255000.0,5000000.0,1172186000.0,1001715000.0,0.0,0.0
Inventories,870147000.0,24000000.0,723222000.0,22000000.0,698523000.0,22000000.0,873357000.0,23000000.0,918584000.0,19000000.0,915006000.0,928530000.0,0.0,0.0
Total current assets,2958064000.0,1519000000.0,3285331000.0,1554000000.0,3684268000.0,1585000000.0,4067412000.0,1615000000.0,4389633000.0,1690000000.0,3929691000.0,3683126000.0,0.0,0.0
Property Plant & Equipment Net,304382000.0,539000000.0,260980000.0,570000000.0,233641000.0,593000000.0,219999000.0,629000000.0,213791000.0,682000000.0,199375000.0,256039000.0,0.0,0.0
Goodwill and Intangible Assets,377172000.0,976000000,377172000.0,964000000,377172000.0,968000000,377172000.0,972000000,377172000.0,974000000,377172000.0,377172000.0,0.0,0.0
Long-term investments,7661811000.0,,7915033000.0,,6427400000.0,,6042997000.0,,6026126000.0,,5353485000.0,4929119000.0,0.0,0.0
Tax assets,54593000.0,000000.0,178204000.0,000000.0,117885000.0,000000.0,54903000.0,000000.0,48351000.0,4000000.0,62011000.0,37748000.0,0.0,0.0
Total non-current assets,45317002000.0,1317000000.0,5842425000.0,1323000000.0,7871359000.0,1394000000.0,6712911000.0,1410000000.0,7389149000.0,1454000000.0,6241626000.0,7291712000.0,0.0,0.0
Total assets,48275066000.0,1666000000.0,46707149000.0,1695000000.0,45904434000.0,1710000000.0,44647681000.0,1733000000.0,46527854000.0,1864000000.0,43406446000.0,43202502000.0,0.0,0.0
Payables,1496058000.0,21000000.0,1452216000.0,31000000.0,1285577000.0,33000000.0,1071798000.0,44000000.0,1166431000.0,44000000.0,1173313000.0,1217180000.0,0.0,0.0
Short-term debt,650009000.0,18000000.0,760007000.0,8000000.0,364900000.0,8000000.0,214374000.0,8000000.0,899375000.0,10000000.0,457095000.0,718516000.0,1920000000.0,0.0
Total current liabilities,5443544000.0,107000000.0,5036207000.0,110000000.0,3200096000.0,110000000.0,3089958000.0,114000000.0,3848891000.0,117000000.0,4060572000.0,4106321000.0,6307780000.0,0.0
Long-term debt,15518303000.0,962000000.0,14315259000.0,965000000.0,14467655000.0,968000000.0,13111556000.0,971000000.0,12500109000.0,998000000.0,12139149000.0,11920318000.0,0.0,0.0
Total debt,16168312000.0,962000000.0,15075266000.0,965000000.0,14832555000.0,968000000.0,13325930000.0,971000000.0,13399484000.0,998000000.0,12596244000.0,12638834000.0,1920000000.0,0.0
Deferred revenue,0.0,18000000.0,0.0,21000000.0,0.0,16000000.0,0.0,10000000.0,0.0,9000000.0,0.0,0.0,0.0,0.0
Tax Liabilities,254241000.0,107000000.0,214967000.0,114000000.0,181114000.0,186000000.0,210077000.0,202000000.0,128108000.0,223000000.0,191093000.0,333719000.0,4387780000.0,0.0
Deposit Liabilities,411505000.0,,401330000.0,,403311000.0,,419407000.0,,412166000.0,,370997000.0,359078000.0,0.0,0.0
Total non-current liabilities,33767815000.0,1317000000.0,33480624000.0,1323000000.0,34419344000.0,1394000000.0,31982747000.0,1410000000.0,32366478000.0,1454000000.0,29408648000.0,29618581000.0,0.0,0.0
Total liabilities,39430761000.0,1424000000.0,38714634000.0,1433000000.0,37822625000.0,1504000000.0,35390890000.0,1524000000.0,36520129000.0,1572000000.0,33773980000.0,34005413000.0,6307780000.0,0.0
Other comprehensive income,677712000,-1000000.0,35796000,-2000000.0,0.0,-3000000.0,0.0,-3000000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),8721150000.0,-116000000.0,7977702000.0,-95000000.0,8195571000.0,-148000000.0,9393913000.0,-145000000.0,10169657000.0,-62000000.0,9825053000.0,9704591000.0,0.0,0.0
Total shareholders equity,8844305000.0,243000000.0,7992515000.0,262000000.0,8081809000.0,206000000.0,9256791000.0,209000000.0,10007725000.0,293000000.0,9632466000.0,9197089000.0,-6307780000.0,0.0
Investments,7701996000.0,,14037841000.0,,11635628000.0,,10787029000.0,,10881192000.0,,9804275000.0,8765598000.0,0.0,0.0
Net Debt,15687337000.0,917000000,14293993000.0,906000000,13644711000.0,915000000,11974969000.0,928000000,11977458000.0,897000000,11857118000.0,12106265000.0,1920000000.0,0.0
Other Assets,0.0,27000000,37579393000.0,41000000,34348807000.0,37000000,33867358000.0,25000000,34749072000.0,47000000,33235129000.0,32227664000.0,0.0,0.0
Other Liabilities,219402000.0,231000000,197803000.0,227000000,203185000.0,221000000,318185000.0,231000000,304760000.0,221000000,304760000.0,280511000.0,0.0,0.0
