Date,2018-03-31,2017-03-31,2016-03-31,2014-03-31,2013-03-31,2012-03-31,1997-10,1996-10,1995-10,1994-10,1993-10
Cash and cash equivalents,1211915.0,1042291.0,1486854.0,0.0,0.0,1175809.0,,,,,
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,1557000000.0,1395000000.0,1175000000.0,825000000.0,759000000.0
Cash and short-term investments,1211915.0,1042291.0,1486854.0,0.0,0.0,1175809.0,1557000000.0,1395000000.0,1175000000.0,825000000.0,759000000.0
Receivables,36831394.0,29189233.0,21890623.0,0.0,0.0,20608677.0,,,,,
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total current assets,43298154.0,36008098.0,27415406.0,0.0,0.0,26191815.0,,,,,
Property Plant & Equipment Net,559976.0,146345.0,258157.0,0.0,0.0,385664.0,,,,,
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Tax assets,1550000.0,5115775.0,5153464.0,0.0,0.0,0.0,,,,,
Total non-current assets,4430371.0,5625407.0,8472299.0,0.0,0.0,6849868.0,,,,,
Total assets,48288501.0,41779850.0,36145862.0,0.0,0.0,33041683.0,2271000000.0,2023000000.0,1656000000.0,1216000000.0,954000000.0
Payables,1354817.0,1215591.0,945711.0,0.0,0.0,997605.0,,,,,
Short-term debt,18234089.0,12228679.0,7011743.0,0.0,0.0,6830951.0,,,,,
Total current liabilities,32509426.0,25530945.0,16750690.0,0.0,0.0,15235721.0,,,,,
Long-term debt,18234089.0,12228679.0,500000.0,0.0,0.0,0.0,11000000.0,000000.0,000000.0,000000.0,000000.0
Total debt,36468178.0,24457358.0,7511743.0,0.0,0.0,6830951.0,11000000.0,000000.0,000000.0,000000.0,000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Tax Liabilities,324823.0,325763.0,320333.0,0.0,0.0,0.0,,,,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,21662731.0,17344454.0,6353464.0,0.0,0.0,0.0,,,,,
Total liabilities,33138508.0,25897268.0,18063152.0,0.0,0.0,15812063.0,898000000.0,853000000.0,687000000.0,411000000.0,185000000.0
Other comprehensive income,16348572,15649472,15525016,0.0,0.0,14880013,762000000.0,637000000.0,654000000.0,646000000.0,702000000.0
Retained earnings (deficit),-1199751.0,231950.0,2556539.0,0.0,0.0,2348533.0,611000000.0,480000000.0,315000000.0,159000000.0,68000000.0
Total shareholders equity,15149993.0,15882582.0,18082710.0,0.0,0.0,17229620.0,1373000000.0,1117000000.0,969000000.0,805000000.0,769000000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Debt,35256263.0,23415067.0,6024889.0,0.0,0.0,5655142.0,11000000,0,0,0,0
Other Assets,559976.0,146345.0,258157.0,0.0,0.0,0.0,0,0,0,0,0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,576342.0,0,0,0,0,0
