Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,190562228.6541,163980501.8138,94555507.5594,80441842.5512
Short-term investments,0.0,0.0,0.0,159143.4294
Cash and short-term investments,190562228.6541,163980501.8138,94555507.5594,80600985.9806
Receivables,380318.3792,1371523.5792,0.0,0.0
Inventories,1638205.4993,1194830.7134,796688.2649,918656.6014
Total current assets,202933429.8119,172679111.2455,101906119.5104,85229394.5463
Property Plant & Equipment Net,18583502.1708,15141626.3603,10896040.3168,10916653.8284
Goodwill and Intangible Assets,99859044.8625,102228990.3265,99011807.0554,106179325.2195
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,971490.5933,363361.5478,588480.9215,57618.2406
Total non-current assets,127135166.4255,123018893.5913,114119510.4392,120553689.7242
Total assets,330068596.2373,295698004.8368,216025629.9496,205783084.2705
Payables,1219392.1852,913089.48,585745.1404,452626.7139
Short-term debt,11940086.8307,3022974.607,5498344.1325,0.0
Total current liabilities,185075542.6918,155788996.3724,109915910.7271,88033584.9638
Long-term debt,72699855.2822,94232013.3011,47962850.9719,0.0
Total debt,84639942.1129,97254987.9081,53461195.1044,0.0
Deferred revenue,150337626.6281,122856862.1524,86583729.3017,75476505.9313
Tax Liabilities,5760202.6049,3706771.4631,3844492.4406,1466338.0065
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,81196526.7728,95209492.1403,48740820.7343,2000770.2973
Total liabilities,266272069.4645,250998488.5127,158656731.4615,90034355.2611
Other comprehensive income,6144573.0825,6051995.1632,7266234.7012,4342782.314
Retained earnings (deficit),-35987554.2692,-47692110.0363,-19332469.4024,-27968879.9877
Total shareholders equity,65955861.0709,46875906.8924,58632109.4312,116625789.5548
Investments,0.0,0.0,0.0,159143.4294
Net Debt,-107765753.929,,,
Other Assets,11267247.4674,,,
Other Liabilities,171916063.6759,151852932.2854,103831821.4542,87580958.2499
