Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,50409000.0,,59893000.0,,23581000.0,,22398000.0,,114194000.0,,67828000.0,41017000.0
Short-term investments,37683000.0,,65293000.0,,120110000.0,,136618000.0,,178998000.0,,159745000.0,126821000.0
Cash and short-term investments,88092000.0,,125186000.0,,143691000.0,,159016000.0,,293192000.0,,227573000.0,167838000.0
Receivables,2267000.0,2000000.0,1979000.0,2000000.0,2107000.0,2000000.0,1924000.0,2000000.0,1826000.0,2000000.0,2035000.0,2443000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,90359000.0,,127165000.0,,145798000.0,,160940000.0,,295018000.0,,229608000.0,170281000.0
Property Plant & Equipment Net,14172000.0,,14945000.0,,15472000.0,,14505000.0,,14253000.0,,14584000.0,14954000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,46977000.0,,56149000.0,,120110000.0,,136618000.0,,178998000.0,,60338000.0,32321000.0
Tax assets,4108000.0,,6752000.0,,9107000.0,,757000.0,,716000.0,,833000.0,0.0
Total non-current assets,892897000.0,,780294000.0,,711400000.0,,545558000.0,,438615000.0,,543011000.0,618686000.0
Total assets,983256000.0,983000000.0,907459000.0,907000000.0,857198000.0,857000000.0,706498000.0,706000000.0,733633000.0,734000000.0,772619000.0,788967000.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Short-term debt,62000000.0,,47000000.0,,5000000.0,,5000000.0,,0.0,,3500000.0,0.0
Total current liabilities,62000000.0,,47000000.0,,5000000.0,,5000000.0,,0.0,,3500000.0,0.0
Long-term debt,62000000.0,214000000.0,47000000.0,189000000.0,5000000.0,208000000.0,123667000.0,124000000.0,110000000.0,110000000.0,15700000.0,0.0
Total debt,124000000.0,214000000.0,94000000.0,189000000.0,10000000.0,208000000.0,128667000.0,124000000.0,110000000.0,110000000.0,19200000.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,675803000.0,,628413000.0,,555821000.0,,440780000.0,,460098000.0,,499760000.0,508411000.0
Total non-current liabilities,62949000.0,,48343000.0,,5873000.0,,123667000.0,,110000000.0,,15700000.0,0.0
Total liabilities,892596000.0,893000000.0,820441000.0,820000000.0,776460000.0,776000000.0,634162000.0,634000000.0,668108000.0,668000000.0,732359000.0,742673000.0
Other comprehensive income,98979000,-3000000.0,98805000,-3000000.0,98649000,-3000000.0,98642000,-4000000.0,98708000,-10000000.0,53921000,53858000
Retained earnings (deficit),-7037000.0,-7000000.0,-10316000.0,-10000000.0,-16734000.0,-17000000.0,-24452000.0,-24000000.0,-25779000.0,-26000000.0,-14373000.0,-7706000.0
Total shareholders equity,90660000.0,91000000.0,87018000.0,87000000.0,80738000.0,81000000.0,72336000.0,72000000.0,65525000.0,66000000.0,40260000.0,46294000.0
Investments,84660000.0,,121442000.0,,240220000.0,,273236000.0,,357996000.0,,220083000.0,159142000.0
Net Debt,73591000.0,214000000,34107000.0,189000000,-13581000.0,208000000,106269000.0,124000000,-4194000.0,110000000,-48628000.0,-41017000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Other Liabilities,767647000.0,0,725098000.0,0,765587000.0,0,505495000.0,0,558108000.0,0,713159000.0,742673000.0
