Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,167600000.0,168000000.0,169800000.0,170000000.0,162100000.0,162000000.0,158100000.0,158000000.0,180600000.0,181000000.0,190300000.0,204300000.0,220324000.0,209667000.0,159274000.0
Stock-based compensation,19600000.0,20000000.0,17400000.0,17000000.0,18100000.0,18000000.0,18400000.0,18000000.0,12400000.0,12000000.0,16400000.0,17600000.0,16349000.0,18395000.0,18511000.0
Operating Cash Flow,461500000.0,462000000.0,379000000.0,379000000.0,437400000.0,437000000.0,552400000.0,552000000.0,248100000.0,248000000.0,373200000.0,421300000.0,420887000.0,367982000.0,475813000.0
Capital Expenditure,143500000.0,-144000000.0,188500000.0,-188000000.0,208300000.0,-208000000.0,219400000.0,-219000000.0,185200000.0,-185000000.0,139800000.0,136400000.0,135238000.0,113208000.0,-78233000.0
Acquisitions and disposals,-0.0,,-3900000.0,,-114500000.0,,-66400000.0,,-0.0,,-59700000.0,-19100000.0,-152783000.0,-1195546000.0,-30343000.0
Investment purchases and sales,0.0,0,-103800000.0,0,-143900000.0,0,-150100000.0,0,-152100000.0,0,-77300000.0,0.0,-161081000.0,-45759000.0,0.0
Investing Cash flow,-139900000.0,-140000000.0,-177900000.0,-178000000.0,-311200000.0,-311000000.0,-262600000.0,-263000000.0,40500000.0,40000000.0,-46800000.0,-41500000.0,-284093000.0,-1231275000.0,-108576000.0
Issuance (repayment) of debt,-4200000.0,-192000000.0,-0.0,000000.0,-23800000.0,-134000000.0,-900000.0,-1000000.0,-400200000.0,-400000000.0,6900000.0,-329300000.0,-13796000.0,-106423000.0,547745000.0
Issuance (buybacks) of shares,0.0,000000.0,-103800000.0,-104000000.0,-143900000.0,-144000000.0,-150100000.0,-150000000.0,-152100000.0,-152000000.0,-77300000.0,0.0,-161081000.0,-45759000.0,202809000.0
Dividend payments,-113800000.0,,-111200000.0,,-113900000.0,,-109700000.0,,-108400000.0,,-107500000.0,-104300000.0,-101834000.0,-101884000.0,-96595000.0
Financing Cash Flow,-318100000.0,-318000000.0,-207300000.0,-207000000.0,-110400000.0,-110000000.0,-265300000.0,-265000000.0,-370800000.0,-371000000.0,-184700000.0,-265700000.0,-79992000.0,-137514000.0,651282000.0
Effect of forex changes on cash,1500000.0,2000000.0,3100000.0,3000000.0,-800000.0,-1000000.0,-12400000.0,-12000000.0,-12400000.0,-12000000.0,-5100000.0,-500000.0,-7410000.0,-4476000.0,3714000.0
Net cash flow / Change in cash,76100000.0,5000000.0,71100000.0,-3000000.0,74200000.0,15000000.0,59200000.0,12000000.0,47100000.0,-95000000.0,141700000.0,114100000.0,49392000.0,-1005283000.0,1022233000.0
Free Cash Flow,318000000.0,318000000.0,190500000.0,190000000.0,229100000.0,229000000.0,333000000.0,333000000.0,62900000.0,63000000.0,233400000.0,284900000.0,285649000.0,254774000.0,397580000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.0602
