Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,41890000.0,42000000.0,48236000.0,48000000.0,30022000.0,30000000.0,7123000.0,7000000.0,29003000.0,29000000.0,27021000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,41890000.0,,48236000.0,,30022000.0,,7123000.0,,29003000.0,,27021000.0
Receivables,222994000.0,120000000.0,248253000.0,98000000.0,163882000.0,229000000.0,172385000.0,116000000.0,161641000.0,286000000.0,198248000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,392665000.0,1633000000.0,433130000.0,1765000000.0,441440000.0,1834000000.0,321310000.0,801000000.0,341167000.0,589000000.0,428089000.0
Property Plant & Equipment Net,44006000.0,44000000.0,46547000.0,47000000.0,44120000.0,44000000.0,19839000.0,20000000.0,11895000.0,12000000.0,11941000.0
Goodwill and Intangible Assets,1432781000.0,1432000000,1472345000.0,1472000000,1529805000.0,1530000000,768103000.0,769000000,569809000.0,570000000,578533000.0
Long-term investments,67623000.0,,89543000.0,,0.0,,0.0,,0.0,,0.0
Tax assets,150535000.0,1000000.0,232283000.0,0000000.0,235397000.0,1000000.0,6928000.0,10000000.0,-9933000.0,11000000.0,4174000.0
Total non-current assets,1633343000.0,1071000000.0,1765429000.0,1186000000.0,1833529000.0,1268000000.0,801326000.0,421000000.0,588887000.0,300000000.0,599361000.0
Total assets,2026008000.0,2026000000.0,2198559000.0,2199000000.0,2274969000.0,2275000000.0,1122636000.0,1123000000.0,930054000.0,930000000.0,1027450000.0
Payables,52954000.0,53000000.0,43943000.0,44000000.0,54345000.0,54000000.0,49121000.0,49000000.0,28286000.0,28000000.0,20725000.0
Short-term debt,26947000.0,27000000.0,26947000.0,27000000.0,8447000.0,8000000.0,13750000.0,14000000.0,10000000.0,10000000.0,50250000.0
Total current liabilities,289918000.0,290000000.0,320839000.0,321000000.0,313461000.0,313000000.0,235485000.0,235000000.0,199419000.0,199000000.0,265981000.0
Long-term debt,938687000.0,939000000.0,1039993000.0,1040000000.0,1115025000.0,1115000000.0,279500000.0,280000000.0,187500000.0,188000000.0,284750000.0
Total debt,965634000.0,939000000.0,1066940000.0,1040000000.0,1123472000.0,1115000000.0,293250000.0,280000000.0,197500000.0,188000000.0,335000000.0
Deferred revenue,30380000.0,30000000.0,33259000.0,33000000.0,49205000.0,49000000.0,22300000.0,22000000.0,19087000.0,19000000.0,0.0
Tax Liabilities,548000.0,,209000.0,,695000.0,,9810000.0,,10693000.0,,10607000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,1059985000.0,1071000000.0,1171831000.0,1186000000.0,1255375000.0,1268000000.0,410398000.0,421000000.0,287481000.0,300000000.0,373158000.0
Total liabilities,1349903000.0,1361000000.0,1493754000.0,1507000000.0,1568836000.0,1581000000.0,645883000.0,656000000.0,486900000.0,500000000.0,639139000.0
Other comprehensive income,1255561000,-4000000.0,1251004000,-5000000.0,1243889000,-7000000.0,781138000,-9000000.0,773893000,000000.0,768581000
Retained earnings (deficit),-576019000.0,-576000000.0,-541702000.0,-542000000.0,-530895000.0,-531000000.0,-295543000.0,-296000000.0,-330911000.0,-331000000.0,-380438000.0
Total shareholders equity,676105000.0,665000000.0,704805000.0,692000000.0,706133000.0,694000000.0,476753000.0,466000000.0,443154000.0,430000000.0,388311000.0
Investments,67623000.0,,89543000.0,,0.0,,0.0,,0.0,,0.0
Net Debt,923744000.0,924000000,1018704000.0,1019000000,1093450000.0,1093000000,286127000.0,287000000,168497000.0,169000000,307979000.0
Other Assets,0.0,237000000,0.0,296000000,0.0,201000000,0.0,212000000,0.0,33000000,0.0
Other Liabilities,0.0,148000000,1084000.0,174000000,0.0,176000000,0.0,152000000,0.0,118000000,0.0
