Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,,,12000000.0,,11000000.0,,7000000.0,7000000.0,7000000.0
Stock-based compensation,,,6000000.0,,9000000.0,,5000000.0,5000000.0,2000000.0
Operating Cash Flow,,,,,,,,,
Capital Expenditure,-2941000.0,-6737000.0,,-5023000.0,,-3923000.0,,,
Acquisitions and disposals,0.0,0.0,,-46187000.0,,-10383000.0,,,
Investment purchases and sales,,,-842000000,,-576000000,,-151000000,-43000000,-147000000
Investing Cash flow,,,-160000000.0,,-790000000.0,,-1379000000.0,-1218000000.0,-612000000.0
Issuance (repayment) of debt,,,,,,,,,
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,-299739000.0,-365156000.0,-365000000.0,1145876000.0,1146000000.0,1448718000.0,1449000000.0,1302000000.0,616000000.0
Effect of forex changes on cash,,,,,,,,,
Net cash flow / Change in cash,-246133000.0,-434354000.0,-434000000.0,450246000.0,450000000.0,168494000.0,168000000.0,129000000.0,29000000.0
Free Cash Flow,,,,,,,,,
Net Cash/Marketcap,,,,,,,,,
