Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,31394000.0,0.0,0.0,0.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,31394000.0,0.0,0.0,0.0
Receivables,2859000.0,1608000.0,1345000.0,1541000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,924000.0,1724000.0,1888000.0,1123000.0
Property Plant & Equipment Net,285000.0,421000.0,519000.0,760000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,9006000.0,11867000.0,12268000.0,7207000.0
Total assets,36004000.0,81254000.0,7604000.0,9510000.0
Payables,545000.0,1893000.0,1645000.0,423000.0
Short-term debt,0.0,2314000.0,2299000.0,250000.0
Total current liabilities,5398000.0,10680000.0,12060000.0,6677000.0
Long-term debt,7894000.0,9922000.0,10127000.0,4704000.0
Total debt,7894000.0,12236000.0,15289000.0,7194000.0
Deferred revenue,1844000.0,2630000.0,2558000.0,2863000.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,9006000.0,11867000.0,12268000.0,7207000.0
Total liabilities,14404000.0,22547000.0,24281000.0,13858000.0
Other comprehensive income,241000.0,127000.0,834000.0,718000.0
Retained earnings (deficit),-135286000.0,-92265000.0,-58388000.0,-35413000.0
Total shareholders equity,21600000.0,58707000.0,-56562000.0,-34322000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,-23500000.0,12236000.0,12426000.0,4954000.0
Other Assets,827000.0,77922000.0,4371000.0,6846000.0
Other Liabilities,4853000.0,6473000.0,8116000.0,6004000.0
