Date,2018-03-31,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2013-03,2012-03-31
Cash and cash equivalents,46000.0,3460000.0,3000000.0,5594000.0,6000000.0,19455000.0,19000000.0,5400000.0,5000000.0,10280000.0,10000000.0,199000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,46000.0,3460000.0,,5594000.0,,19455000.0,,5400000.0,,10280000.0,,199000.0
Receivables,18793000.0,10452000.0,10000000.0,14277000.0,14000000.0,6633000.0,7000000.0,6182000.0,6000000.0,5046000.0,5000000.0,8393000.0
Inventories,25703000.0,12858000.0,13000000.0,14858000.0,15000000.0,7883000.0,8000000.0,7240000.0,7000000.0,3836000.0,4000000.0,3969000.0
Total current assets,45682000.0,27239000.0,18000000.0,35529000.0,18000000.0,34286000.0,1000000.0,19263000.0,1000000.0,19514000.0,1000000.0,12660000.0
Property Plant & Equipment Net,1672000.0,1862000.0,2000000.0,1003000.0,1000000.0,1030000.0,1000000.0,883000.0,1000000.0,697000.0,1000000.0,363000.0
Goodwill and Intangible Assets,16224000.0,16584000.0,16000000,16657000.0,17000000,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current assets,17896000.0,18446000.0,4000000.0,17660000.0,5000000.0,1030000.0,2000000.0,883000.0,1000000.0,697000.0,000000.0,363000.0
Total assets,63578000.0,45685000.0,46000000.0,53189000.0,53000000.0,35316000.0,35000000.0,20146000.0,20000000.0,20211000.0,20000000.0,13023000.0
Payables,10006000.0,7342000.0,7000000.0,9611000.0,10000000.0,5008000.0,3000000.0,4381000.0,3000000.0,4689000.0,3000000.0,6583000.0
Short-term debt,14159000.0,3145000.0,,4413000.0,,0.0,,0.0,,0.0,,0.0
Total current liabilities,29874000.0,12753000.0,13000000.0,17433000.0,17000000.0,5008000.0,5000000.0,4381000.0,4000000.0,4689000.0,5000000.0,6583000.0
Long-term debt,14159000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total debt,28318000.0,3145000.0,,4413000.0,,0.0,,0.0,,0.0,,0.0
Deferred revenue,4694000.0,5089000.0,4000000.0,8390000.0,5000000.0,1415000.0,2000000.0,524000.0,1000000.0,0.0,000000.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,20311000.0,6755000.0,4000000.0,8687000.0,5000000.0,1517000.0,2000000.0,636000.0,1000000.0,0.0,000000.0,0.0
Total liabilities,33303000.0,16403000.0,16000000.0,22001000.0,22000000.0,6525000.0,7000000.0,5017000.0,5000000.0,4689000.0,5000000.0,6583000.0
Other comprehensive income,172477000,171784000,,171138000,,168379000,,154969000,,153604000,,141825000
Retained earnings (deficit),-142213000.0,-142513000.0,-143000000.0,-139961000.0,-140000000.0,-139599000.0,-140000000.0,-139848000.0,-140000000.0,-138090000.0,-138000000.0,-135620000.0
Total shareholders equity,30275000.0,29282000.0,29000000.0,31188000.0,31000000.0,28791000.0,29000000.0,15129000.0,15000000.0,15522000.0,16000000.0,6440000.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,28272000.0,-315000.0,-3000000,-1181000.0,-6000000,-19455000.0,-19000000,-5400000.0,-5000000,-10280000.0,-10000000,-199000.0
Other Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Other Liabilities,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1000000,0.0
