Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-03-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,127432000.0,64087000.0,15188000.0,23368000.0,21046000.0,47951000.0,88927000.0,36988000.0,69182000.0,67806000.0,15797000.0,135389000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cash and short-term investments,127432000.0,64087000.0,15188000.0,23368000.0,21046000.0,47951000.0,88927000.0,36988000.0,69182000.0,67806000.0,15797000.0,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72191000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,127432000.0,64087000.0,15188000.0,23368000.0,21046000.0,47951000.0,88927000.0,36988000.0,69182000.0,67806000.0,15797000.0,
Property Plant & Equipment Net,93774000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821147000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,28604000.0,26859000.0,23941000.0,14864000.0,41546000.0,37457000.0,32264000.0,33169000.0,34163000.0,34352000.0,51606000.0,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,6667560000.0,6225557000.0,6260567000.0,5399911000.0,4890663000.0,4498919000.0,4130367000.0,3861577000.0,3599666000.0,3592102000.0,3143756000.0,
Total assets,6794992000.0,6289644000.0,6275755000.0,5423279000.0,4911709000.0,4546870000.0,4219294000.0,3898565000.0,3668848000.0,3659908000.0,3159553000.0,3222309000.0
Payables,255503000.0,177922000.0,196332000.0,201756000.0,146532000.0,145685000.0,156270000.0,120929000.0,92352000.0,104498000.0,102574000.0,109061000.0
Short-term debt,0.0,71519000.0,71556000.0,71590000.0,71620000.0,71647000.0,71671000.0,71693000.0,71708000.0,63093000.0,59940000.0,
Total current liabilities,255503000.0,249441000.0,267888000.0,273346000.0,218152000.0,217332000.0,227941000.0,192622000.0,164060000.0,167591000.0,162514000.0,
Long-term debt,3781000.0,279027000.0,320265000.0,279151000.0,343600000.0,290519000.0,300822000.0,299575000.0,294685000.0,295159000.0,97881000.0,
Total debt,3781000.0,350546000.0,391821000.0,350741000.0,415220000.0,362166000.0,372493000.0,371268000.0,366393000.0,358252000.0,157821000.0,1793848000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11710000.0
Total non-current liabilities,3781000.0,279027000.0,320265000.0,279151000.0,343600000.0,290519000.0,300822000.0,299575000.0,294685000.0,295159000.0,97881000.0,
Total liabilities,4259651000.0,3943753000.0,4009049000.0,3446546000.0,3247960000.0,2942469000.0,2771134000.0,2611753000.0,2427117000.0,2443816000.0,2009720000.0,2013246000.0
Other comprehensive income,2536208000,2345978000,2265929000,1981165000,1671273000,1610744000,1450327000,1310940000,1246256000,1223336000,0.0,0.0
Retained earnings (deficit),-813000.0,-416000.0,22000.0,-2577000.0,-4110000.0,-3515000.0,-1417000.0,-12388000.0,-2582000.0,-3940000.0,1181130000.0,-486449000.0
Total shareholders equity,2535341000.0,2345891000.0,2266706000.0,1976733000.0,1663749000.0,1604401000.0,1448160000.0,1286812000.0,1241731000.0,1216092000.0,1149833000.0,1177337000.0
Investments,28604000.0,26859000.0,23941000.0,14864000.0,41546000.0,37457000.0,32264000.0,33169000.0,34163000.0,34352000.0,51606000.0,83969000.0
Net Debt,-123651000.0,286459000.0,376633000.0,327373000.0,394174000.0,314215000.0,283566000.0,334280000.0,297211000.0,290446000.0,142024000.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,4000367000.0,3415285000.0,3420896000.0,2894049000.0,2686208000.0,2434618000.0,2242371000.0,2119556000.0,1968372000.0,1981066000.0,1749325000.0,
