Date,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2015-03-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Cash and cash equivalents,106891503.0,99749199.0,8664211.0,397101.0,9270010.0,665737.0,5014242.0,1451407.0,1176727.0,164361.0,1471407.0,1176727.0
Short-term investments,1127102.0,1143095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,108018605.0,100892294.0,8664211.0,397101.0,9270010.0,665737.0,5014242.0,1451407.0,1176727.0,164361.0,1471407.0,1176727.0
Receivables,7734631.0,20117304.0,5506472.0,733744.0,3392941.0,483850.0,3801584.0,1509589.0,1582505.0,994118.0,1511188.0,1588153.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,0.0,0.0
Total current assets,172862792.0,144159562.0,14922250.0,1197483.0,13558497.0,1217251.0,9853079.0,3133944.0,2872122.0,1249224.0,3113944.0,2872122.0
Property Plant & Equipment Net,12721082.0,13814306.0,1205139.0,21593.0,1247973.0,11627.0,582470.0,85685.0,68142.0,43261.0,85685.0,68142.0
Goodwill and Intangible Assets,272681763.0,293380760.0,3526752.0,0.0,3975695.0,0.0,3546090.0,557127.0,33200.0,70000.0,557127.0,33200.0
Long-term investments,4725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,,0.0,,-27156.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,340136257.0,346476231.0,5722307.0,,6008036.0,,5141984.0,825838.0,350963.0,114824.0,60656.0,88190.0
Total assets,512999049.0,490635793.0,20644557.0,1258139.0,19566533.0,1305441.0,14995063.0,3959782.0,3223085.0,1364048.0,3959782.0,3223085.0
Payables,25075489.0,13279620.0,7883373.0,92745.0,4572307.0,104252.0,3352204.0,1373285.0,950651.0,163476.0,1087660.0,950651.0
Short-term debt,101741.0,98738.0,4829000.0,0.0,0.0,0.0,1037818.0,0.0,0.0,596366.0,3178693.0,594765.0
Total current liabilities,72019647.0,109601999.0,14543104.0,92745.0,7431780.0,104252.0,5977712.0,4551978.0,1704750.0,1515268.0,4551978.0,1704750.0
Long-term debt,517261.0,619001.0,5000000.0,1248588.0,0.0,1247582.0,6234721.0,1100522.0,1909714.0,150000.0,1100522.0,1909714.0
Total debt,619002.0,717739.0,9829000.0,,0.0,,7272539.0,1100522.0,1909714.0,746366.0,1248588.0,1247582.0
Deferred revenue,9100000.0,250000.0,0.0,,514000.0,,513646.0,97806.0,34614.0,37500.0,0.0,0.0
Tax Liabilities,11621861.0,3198495.0,20827.0,,110653.0,,185051.0,287.0,1087.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,34318221.0,44720624.0,5831085.0,,772356.0,,6405936.0,1100522.0,1909714.0,150000.0,1248588.0,1247582.0
Total liabilities,332453217.0,330687765.0,20998434.0,1341333.0,20835960.0,1351834.0,17812736.0,5388599.0,3577961.0,2023369.0,5652500.0,3614464.0
Other comprehensive income,162723051,158181192,37294471,,27409262,,16517985,14105376,10632552,1429051,0.0,0.0
Retained earnings (deficit),17788203.0,1734531.0,-37654381.0,-1397363.0,-28684565.0,-1241031.0,-19340521.0,-15581146.0,-11022272.0,-2117708.0,-16771478.0,-11022272.0
Total shareholders equity,180545832.0,159948028.0,-353877.0,-311309.0,-1269427.0,-274508.0,-2817673.0,-1428817.0,-354876.0,-659321.0,-2619149.0,-354876.0
Investments,5852102.0,1143095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-106272501.0,-99031460.0,1164789.0,851487.0,-9270010.0,581845.0,2258297.0,-350885.0,732987.0,582005.0,2807808.0,1327752.0
Other Assets,0.0,0.0,0.0,66638.0,0.0,67664.0,0.0,0.0,0.0,0.0,131349.0,107242.0
Other Liabilities,226115349.0,176365142.0,624245.0,0.0,12631824.0,0.0,5429088.0,-263901.0,-36503.0,358101.0,285625.0,159334.0
