Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,53911000.0,54000000.0,69354000.0,69000000.0,73411000.0,73000000.0,85040000.0,85000000.0,77138000.0,77000000.0,62123000.0,71262000.0,88241000.0
Short-term investments,1400000.0,,1500000.0,,1700000.0,,3600000.0,,6500000.0,,2900000.0,2000.0,5731000.0
Cash and short-term investments,55311000.0,,70854000.0,,75111000.0,,88640000.0,,83638000.0,,65023000.0,71264000.0,93972000.0
Receivables,91939000.0,92000000.0,78808000.0,79000000.0,74416000.0,74000000.0,86268000.0,86000000.0,99605000.0,100000000.0,63849000.0,43086000.0,39107000.0
Inventories,120068000.0,120000000.0,107719000.0,108000000.0,98871000.0,99000000.0,98510000.0,99000000.0,113630000.0,114000000.0,70019000.0,54924000.0,53361000.0
Total current assets,290509000.0,153000000.0,266099000.0,165000000.0,255442000.0,171000000.0,285454000.0,302000000.0,310656000.0,325000000.0,204194000.0,191136000.0,207689000.0
Property Plant & Equipment Net,43932000.0,44000000.0,43495000.0,43000000.0,48755000.0,49000000.0,57611000.0,58000000.0,70661000.0,71000000.0,40896000.0,34988000.0,39414000.0
Goodwill and Intangible Assets,82506000.0,83000000,89543000.0,89000000,92779000.0,93000000,209461000.0,210000000,213075000.0,214000000,47832000.0,35181000.0,15040000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,496000.0,0000000.0,4155000.0,4000000.0,3410000.0,3000000.0,3321000.0,3000000.0,7933000.0,8000000.0,1680000.0,1403000.0,2814000.0
Total non-current assets,153015000.0,161000000.0,165166000.0,186000000.0,171298000.0,176000000.0,301557000.0,232000000.0,325369000.0,289000000.0,103856000.0,84082000.0,69222000.0
Total assets,443524000.0,444000000.0,431265000.0,431000000.0,426740000.0,427000000.0,587011000.0,587000000.0,636025000.0,636000000.0,308050000.0,275218000.0,276911000.0
Payables,56171000.0,56000000.0,47947000.0,48000000.0,47235000.0,47000000.0,49798000.0,50000000.0,61926000.0,62000000.0,29518000.0,18862000.0,18459000.0
Short-term debt,2508000.0,3000000.0,2641000.0,3000000.0,11395000.0,11000000.0,24772000.0,25000000.0,13438000.0,13000000.0,739000.0,205000.0,0.0
Total current liabilities,106030000.0,106000000.0,87300000.0,87000000.0,92327000.0,92000000.0,122026000.0,122000000.0,121802000.0,122000000.0,66890000.0,46388000.0,42425000.0
Long-term debt,111705000.0,112000000.0,120053000.0,120000000.0,129850000.0,130000000.0,162416000.0,162000000.0,219187000.0,219000000.0,0.0,0.0,0.0
Total debt,114213000.0,112000000.0,122694000.0,120000000.0,141245000.0,130000000.0,187188000.0,162000000.0,232625000.0,219000000.0,739000.0,205000.0,0.0
Deferred revenue,1036000.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,28951000.0,29000000.0,30430000.0,30000000.0,27828000.0,29000000.0,42158000.0,53000000.0,39970000.0,56000000.0,1394000.0,1040000.0,224000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,114788000.0,161000000.0,138923000.0,186000000.0,131621000.0,176000000.0,175992000.0,232000000.0,235500000.0,289000000.0,12458000.0,13439000.0,13406000.0
Total liabilities,267054000.0,267000000.0,273305000.0,273000000.0,268306000.0,268000000.0,353889000.0,354000000.0,411274000.0,411000000.0,79348000.0,59827000.0,55831000.0
Other comprehensive income,31604000,-25000000.0,28792000,-20000000.0,28227000,-31000000.0,24657000,-22000000.0,22595000,-12000000.0,19847000,21389000,26384000
Retained earnings (deficit),168695000.0,169000000.0,147807000.0,148000000.0,161287000.0,161000000.0,229371000.0,229000000.0,213901000.0,214000000.0,207993000.0,195212000.0,196029000.0
Total shareholders equity,176470000.0,176000000.0,157960000.0,158000000.0,158434000.0,158000000.0,233122000.0,233000000.0,224751000.0,225000000.0,228702000.0,215391000.0,221080000.0
Investments,1400000.0,,1500000.0,,1700000.0,,3600000.0,,6500000.0,,2900000.0,2000.0,5731000.0
Net Debt,60302000.0,61000000,53340000.0,54000000,67834000.0,68000000,102148000.0,102000000,155487000.0,155000000,-61384000.0,-71057000.0,-88241000.0
Other Assets,0.0,51000000,0.0,38000000,0.0,35000000,0.0,47000000,0.0,54000000,0.0,0.0,0.0
Other Liabilities,46236000.0,17000000,47082000.0,23000000,44358000.0,2000000,55871000.0,10000000,53972000.0,4000000,0.0,0.0,0.0
