Date,2018-09-30,2017-09-30
Cash and cash equivalents,17336058.3942,55238489.3169
Short-term investments,0.0,0.0
Cash and short-term investments,17336058.3942,55238489.3169
Receivables,5848029.1971,6037466.145
Inventories,0.0,0.0
Total current assets,65392554.7445,81559584.7126
Property Plant & Equipment Net,192820729.927,87019410.1715
Goodwill and Intangible Assets,1788759.1241,1959223.5931
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,194666277.3723,89008877.5203
Total assets,260058832.1168,170568462.2329
Payables,67621605.8394,20942973.217
Short-term debt,181043065.6934,129098856.455
Total current liabilities,287574160.5839,176524074.6314
Long-term debt,24157518.2482,27460878.724
Total debt,205200583.9416,156559735.1791
Deferred revenue,8912554.7445,5848480.2889
Tax Liabilities,0.0,0.0
Deposit Liabilities,16543795.6204,12211405.3566
Total non-current liabilities,86226861.3139,58138579.5967
Total liabilities,373801021.8978,234662654.2281
Other comprehensive income,250072.9927,-427023.7737
Retained earnings (deficit),-215834452.5547,-127191393.3193
Total shareholders equity,-210357518.2482,-122231567.8604
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,38909489.0511,26482244.9594
