Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,8502000.0,10857000.0,11471000.0,11325000.0,20920000.0,25559000.0,0.0
Short-term investments,0.0,0.0,0.0,0.0,8384000.0,8924000.0,0.0
Cash and short-term investments,8502000.0,10857000.0,11471000.0,11325000.0,29304000.0,34483000.0,0.0
Receivables,8225000.0,7972000.0,8163000.0,15479000.0,21070000.0,22265000.0,0.0
Inventories,0.0,250000.0,2253000.0,0.0,0.0,0.0,0.0
Total current assets,24159000.0,31411000.0,44102000.0,50122000.0,54591000.0,62208000.0,0.0
Property Plant & Equipment Net,11040000.0,10611000.0,13438000.0,14764000.0,14490000.0,17316000.0,0.0
Goodwill and Intangible Assets,9821000.0,9973000.0,11456000.0,18161000.0,47255000.0,50762000.0,0.0
Long-term investments,0.0,0.0,8400000.0,8384000.0,8384000.0,8924000.0,0.0
Tax assets,2545000.0,3314000.0,7730000.0,11849000.0,4864000.0,3014000.0,0.0
Total non-current assets,22320000.0,21446000.0,25928000.0,54459000.0,76498000.0,84145000.0,0.0
Total assets,46479000.0,52857000.0,70030000.0,104581000.0,131089000.0,146353000.0,0.0
Payables,3498000.0,2536000.0,3207000.0,5356000.0,955000.0,3889000.0,0.0
Short-term debt,0.0,2146000.0,631000.0,592000.0,817000.0,0.0,0.0
Total current liabilities,21855000.0,29192000.0,29529000.0,33928000.0,28320000.0,30557000.0,0.0
Long-term debt,20736000.0,10092000.0,1147000.0,981000.0,1610000.0,1464000.0,0.0
Total debt,20736000.0,12238000.0,1778000.0,1573000.0,2427000.0,1464000.0,0.0
Deferred revenue,7759000.0,8295000.0,2380000.0,2869000.0,4287000.0,6025000.0,0.0
Tax Liabilities,783000.0,94000.0,3427000.0,0.0,3149000.0,679000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,24861000.0,17283000.0,9410000.0,9084000.0,10401000.0,12182000.0,0.0
Total liabilities,45885000.0,45490000.0,36552000.0,39454000.0,33626000.0,36968000.0,0.0
Other comprehensive income,117400000,108425000,104073000,91279000,89256000,89148000,0.0
Retained earnings (deficit),-117088000.0,-101331000.0,-70862000.0,-26374000.0,7994000.0,20028000.0,0.0
Total shareholders equity,594000.0,7367000.0,33478000.0,65127000.0,97463000.0,109385000.0,0.0
Investments,0.0,0.0,8400000.0,8384000.0,16768000.0,17848000.0,0.0
Net Debt,12234000.0,1381000.0,-9693000.0,-9752000.0,-18493000.0,-24095000.0,0.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
