Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,120000000.0,,80000000.0,,130000000.0,,128000000.0,,3091000000.0,,3178000000.0,2441000000.0,50000000.0,60000000.0
Short-term investments,452000000.0,,31820000000.0,,31183000000.0,,29044000000.0,,22408000000.0,,18597000000.0,15207000000.0,15362000000.0,15414000000.0
Cash and short-term investments,572000000.0,,31900000000.0,,31313000000.0,,29172000000.0,,25499000000.0,,21775000000.0,17648000000.0,15412000000.0,15474000000.0
Receivables,95086000000.0,2457000000.0,91833000000.0,2312000000.0,91955000000.0,2673000000.0,92415000000.0,1982000000.0,89976000000.0,1871000000.0,88522000000.0,85706000000.0,382000000.0,413000000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,95658000000.0,,1.23733e+11,,1.23268e+11,,1.21587e+11,,1.15475e+11,,1.10297e+11,1.03354e+11,15794000000.0,15887000000.0
Property Plant & Equipment Net,1861000000.0,,2003000000.0,,2065000000.0,,2239000000.0,,2465000000.0,,2531000000.0,2542000000.0,2447000000.0,2389000000.0
Goodwill and Intangible Assets,2518000000.0,2478000000,2472000000.0,2445000000,2425000000.0,2416000000,2428000000.0,2416000000,2431000000.0,2416000000,2435000000.0,2443000000.0,2457000000.0,2479000000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,129000000.0
Tax assets,56000000.0,,66000000.0,,0.0,,0.0,,107000000.0,,12000000.0,-843000000.0,-624000000.0,-144000000.0
Total non-current assets,50411000000.0,,18460000000.0,,18909000000.0,,19495000000.0,,23231000000.0,,20146000000.0,18540000000.0,5318000000.0,95120000000.0
Total assets,1.46069e+11,146069000000.0,1.42193e+11,142193000000.0,1.42177e+11,142177000000.0,1.41082e+11,141082000000.0,1.38706e+11,138706000000.0,1.30443e+11,1.21894e+11,21112000000.0,1.11007e+11
Payables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Short-term debt,2041000000.0,,4012000000.0,,3535000000.0,,1507000000.0,,1561000000.0,,284000000.0,901000000.0,346000000.0,279000000.0
Total current liabilities,2096000000.0,,4046000000.0,,3559000000.0,,1520000000.0,,1572000000.0,,291000000.0,919000000.0,360000000.0,295000000.0
Long-term debt,14426000000.0,14426000000.0,14904000000.0,14904000000.0,14388000000.0,14388000000.0,15844000000.0,15844000000.0,14967000000.0,14967000000.0,9633000000.0,7085000000.0,9682000000.0,9558000000.0
Total debt,16467000000.0,14426000000.0,18916000000.0,14904000000.0,17923000000.0,14388000000.0,17351000000.0,15844000000.0,16528000000.0,14967000000.0,9917000000.0,7986000000.0,10028000000.0,9837000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax Liabilities,55000000.0,,34000000.0,,24000000.0,,13000000.0,,11000000.0,,7000000.0,18000000.0,14000000.0,16000000.0
Deposit Liabilities,1.08835e+11,,1.03162e+11,,1.03821e+11,,1.03205e+11,,1.01712e+11,,99275000000.0,89517000000.0,85710000000.0,81648000000.0
Total non-current liabilities,14970000000.0,,15427000000.0,,15175000000.0,,16852000000.0,,16171000000.0,,11594000000.0,9090000000.0,11728000000.0,11451000000.0
Total liabilities,1.29819e+11,129819000000.0,1.25828e+11,125808000000.0,1.25972e+11,125945000000.0,1.25243e+11,125212000000.0,1.2308e+11,123041000000.0,1.15854e+11,1.08178e+11,7911000000.0,96956000000.0
Other comprehensive income,0.0,-112000000.0,0.0,73000000.0,654000000,59000000.0,1233000000,197000000.0,2005000000,429000000.0,2300000000,2522000000,3126000000,5239000000
Retained earnings (deficit),16578000000.0,16578000000.0,15122000000.0,15122000000.0,13441000000.0,13441000000.0,12358000000.0,12358000000.0,11141000000.0,11141000000.0,10156000000.0,8768000000.0,7554000000.0,6719000000.0
Total shareholders equity,16250000000.0,16250000000.0,16365000000.0,16365000000.0,16205000000.0,16205000000.0,15839000000.0,15839000000.0,15626000000.0,15626000000.0,14589000000.0,13716000000.0,13201000000.0,14051000000.0
Investments,452000000.0,,31820000000.0,,31183000000.0,,29044000000.0,,22408000000.0,,18597000000.0,15207000000.0,15362000000.0,15543000000.0
Net Debt,16347000000.0,14426000000,18836000000.0,14904000000,17793000000.0,14388000000,17223000000.0,15844000000,13437000000.0,14967000000,6739000000.0,5545000000.0,9978000000.0,9777000000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Other Liabilities,1.12753e+11,0,1.06355e+11,0,1.07238e+11,0,1.06871e+11,0,1.05337e+11,0,1.03969e+11,98169000000.0,-4177000000.0,85210000000.0
