Date,2018-12-31,2017-12-31
Cash and cash equivalents,4813169.3198,2916263.6034
Short-term investments,28652821.9971,1205259.9758
Cash and short-term investments,33465991.3169,4121523.5792
Receivables,102749.6382,301844.0145
Inventories,0.0,0.0
Total current assets,40636903.0391,7911880.2902
Property Plant & Equipment Net,2428219.9711,1079806.5296
Goodwill and Intangible Assets,82199.7106,0.0
Long-term investments,755571.6353,1149334.9456
Tax assets,4524746.7438,5127720.6771
Total non-current assets,8307091.1722,7688633.6155
Total assets,48943994.2113,15600513.9057
Payables,5114037.6266,9764963.7243
Short-term debt,0.0,0.0
Total current liabilities,51506801.7366,23430018.1378
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,39369175.1085,6999244.2563
Tax Liabilities,8538.3502,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,1269175.1085,73609.4317
Total liabilities,52775976.8452,23503627.5695
Other comprehensive income,168740.9551,139812.5756
Retained earnings (deficit),-71456584.6599,-72612152.3579
Total shareholders equity,-71279160.6368,-72463270.8585
Investments,29408393.6324,2354594.9214
Net Debt,,
Other Assets,7251259.0449,
Other Liabilities,46392764.11,13665054.4135
