Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Cash and cash equivalents,1480500000.0,1480000000.0,1672400000.0,1672000000.0,1629200000.0,1077000000.0,982100000.0,708000000.0,1158500000.0,1158000000.0,2701900000.0
Short-term investments,394200000.0,,576000000.0,,412700000.0,,421900000.0,,446600000.0,,252100000.0
Cash and short-term investments,1874700000.0,,2248400000.0,,2041900000.0,,1404000000.0,,1605100000.0,,2954000000.0
Receivables,1342100000.0,1342000000.0,1540400000.0,1540000000.0,1906500000.0,1375000000.0,1467700000.0,1376000000.0,1499500000.0,1500000000.0,1588700000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,4141400000.0,4141000000.0,4331600000.0,4332000000.0,7051800000.0,5564000000.0,3357400000.0,2927000000.0,3920500000.0,3920000000.0,5482600000.0
Property Plant & Equipment Net,13878900000.0,13879000000.0,19535400000.0,19535000000.0,21110200000.0,17249000000.0,21684000000.0,20840000000.0,23840600000.0,23841000000.0,23974900000.0
Goodwill and Intangible Assets,13715800000.0,14747000000,20482800000.0,20482000000,27024000000.0,19487000000,34112900000.0,33220000000,38191400000.0,38192000000,29544200000.0
Long-term investments,1215500000.0,5122000000.0,975800000.0,6671000000.0,10537000000.0,6389000000.0,2839600000.0,2840000000.0,1808200000.0,1808000000.0,9557600000.0
Tax assets,2488200000.0,2488000000.0,3157200000.0,3157000000.0,3024700000.0,000000.0,0.0,000000.0,290300000.0,000000.0,2641800000.0
Total non-current assets,49012200000.0,50043000000.0,53265200000.0,53265000000.0,61632300000.0,48954000000.0,64509800000.0,61683000000.0,68921400000.0,68921000000.0,62231700000.0
Total assets,53153600000.0,54185000000.0,57596800000.0,57597000000.0,68684100000.0,54518000000.0,67867200000.0,64610000000.0,72841900000.0,72842000000.0,67714300000.0
Payables,874300000.0,874000000.0,1046600000.0,1047000000.0,1168200000.0,954000000.0,1050100000.0,996000000.0,1039000000.0,1039000000.0,1072900000.0
Short-term debt,3615200000.0,3615000000.0,4165400000.0,4165000000.0,2775100000.0,2624000000.0,2537900000.0,2537000000.0,1550900000.0,1551000000.0,1023400000.0
Total current liabilities,10306100000.0,10306000000.0,9965800000.0,9966000000.0,9722800000.0,8397000000.0,9157900000.0,8767000000.0,9190300000.0,9190000000.0,7683000000.0
Long-term debt,26190000000.0,26190000000.0,38049500000.0,38050000000.0,40783600000.0,34886000000.0,44519400000.0,42186000000.0,44608100000.0,44608000000.0,43680900000.0
Total debt,29805200000.0,26190000000.0,42214900000.0,38050000000.0,43558700000.0,34886000000.0,47057300000.0,42186000000.0,46159000000.0,44608000000.0,44704300000.0
Deferred revenue,847100000.0,847000000.0,1101100000.0,1101000000.0,1240100000.0,1059000000.0,1393500000.0,1348000000.0,1452200000.0,1452000000.0,1406200000.0
Tax Liabilities,857800000.0,,472300000.0,,457900000.0,,483500000.0,,513500000.0,,490900000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,28859700000.0,38166000000.0,41803400000.0,40826000000.0,45537100000.0,36612000000.0,48535000000.0,45397000000.0,49825900000.0,48937000000.0,50024200000.0
Total liabilities,48472200000.0,48472000000.0,50791800000.0,50792000000.0,54922800000.0,45009000000.0,57214800000.0,54164000000.0,58127400000.0,58127000000.0,55688500000.0
Other comprehensive income,9219800000,632000000.0,11366600000,1656000000.0,17588000000,9509000000.0,14916500000,10446000000.0,17073000000,1647000000.0,12809600000
Retained earnings (deficit),-5172200000.0,-5172000000.0,-6217600000.0,-6218000000.0,-3454800000.0,000000.0,-5160100000.0,000000.0,-4007600000.0,-4008000000.0,-3312600000.0
Total shareholders equity,4681400000.0,4681000000.0,6805000000.0,6805000000.0,13761300000.0,9509000000.0,10652400000.0,10446000000.0,14714500000.0,14714000000.0,12025800000.0
Investments,1609700000.0,5122000000.0,1551800000.0,6671000000.0,10949700000.0,6389000000.0,3261500000.0,2840000000.0,2254800000.0,1808000000.0,9809700000.0
Net Debt,28324700000.0,28325000000,40542500000.0,40543000000,41929500000.0,36433000000,46075200000.0,44015000000,45000500000.0,45001000000,42002400000.0
Other Assets,0.0,14955000000,0.0,4392000000,0.0,8819000000,0.0,5495000000,0.0,5863000000,0.0
Other Liabilities,9306400000.0,14477000000,-977400000.0,3266000000,-337100000.0,2236000000,-478100000.0,4098000000,-888800000.0,5972000000,-2018700000.0
