Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2013-03,2012-03-31
Cash and cash equivalents,20909605.0,21000000.0,9369624.0,9000000.0,1976594.0,9261903.0,9000000.0,1237000.0,1000000.0,788000.0,1000000.0,0.0
Short-term investments,6247265.0,6000000.0,13573057.0,14000000.0,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Cash and short-term investments,27156870.0,6000000.0,22942681.0,14000000.0,1976594.0,9261903.0,000000.0,1237000.0,000000.0,788000.0,000000.0,0.0
Receivables,8275518.0,8000000.0,6770838.0,7000000.0,8191391.0,7306653.0,7000000.0,3818000.0,4000000.0,3624000.0,4000000.0,0.0
Inventories,7176695.0,7000000.0,7235043.0,7000000.0,4584844.0,4825984.0,5000000.0,4194000.0,4000000.0,5158000.0,5000000.0,0.0
Total current assets,43684253.0,31000000.0,37520089.0,36000000.0,15586905.0,22144006.0,35000000.0,9704000.0,1000000.0,9846000.0,2000000.0,8973000.0
Property Plant & Equipment Net,2427479.0,2000000.0,2115316.0,2000000.0,2554822.0,1813343.0,2000000.0,1062000.0,1000000.0,1454000.0,1000000.0,2033000.0
Goodwill and Intangible Assets,26515698.0,26000000,28232466.0,28000000,30595897.0,32498470.0,33000000,67000.0,0,77000.0,0,0.0
Long-term investments,0.0,2000000.0,5344004.0,5000000.0,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Tax assets,113000.0,0000000.0,76000.0,0000000.0,136000.0,199194.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0
Total non-current assets,31059615.0,1000000.0,35855213.0,1000000.0,33419840.0,34608673.0,24000000.0,1129000.0,23000000.0,1531000.0,17000000.0,3626000.0
Total assets,74743868.0,75000000.0,73375302.0,73000000.0,49006745.0,56752679.0,57000000.0,10833000.0,11000000.0,11377000.0,11000000.0,12599000.0
Payables,2983899.0,3000000.0,2689035.0,3000000.0,2209473.0,3967975.0,4000000.0,1217000.0,1000000.0,1300000.0,1000000.0,0.0
Short-term debt,214000.0,0000000.0,409000.0,000000.0,329000.0,102000.0,000000.0,22000.0,000000.0,75000.0,000000.0,0.0
Total current liabilities,9378694.0,9000000.0,8908662.0,9000000.0,6461645.0,10253726.0,10000000.0,2841000.0,3000000.0,2889000.0,3000000.0,2951000.0
Long-term debt,586296.0,000000.0,0.0,000000.0,23336854.0,22529497.0,000000.0,22414000.0,22000000.0,22000.0,000000.0,0.0
Total debt,800296.0,000000.0,409000.0,000000.0,23665854.0,22631497.0,000000.0,22436000.0,22000000.0,97000.0,000000.0,0.0
Deferred revenue,774635.0,000000.0,597524.0,000000.0,308000.0,0.0,000000.0,210000.0,0000000.0,130000.0,0000000.0,0.0
Tax Liabilities,87441.0,,113191.0,,20866.0,25998.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,1763939.0,1000000.0,993799.0,1000000.0,24301395.0,22994457.0,24000000.0,22507000.0,23000000.0,106000.0,17000000.0,0.0
Total liabilities,10708029.0,11000000.0,10135379.0,10000000.0,32047726.0,34004769.0,34000000.0,25348000.0,25000000.0,19973000.0,20000000.0,13048000.0
Other comprehensive income,145982121,-1000000.0,144430381,-1000000.0,76485650,75530641,-1000000.0,102551000,000000.0,100769000,000000.0,0.0
Retained earnings (deficit),-81999901.0,-82000000.0,-81005654.0,-81000000.0,-58910707.0,-51883229.0,-52000000.0,-117542000.0,-118000000.0,-109828000.0,-110000000.0,0.0
Total shareholders equity,64035839.0,64000000.0,63239923.0,63000000.0,16959019.0,22747910.0,23000000.0,-14515000.0,-15000000.0,-8596000.0,-9000000.0,-449000.0
Investments,6247265.0,2000000.0,18917061.0,5000000.0,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Net Debt,-20109309.0,-21000000,-8960624.0,-9000000,21689260.0,13369594.0,-9000000,21199000.0,21000000,-691000.0,-1000000,0.0
Other Assets,0.0,1000000,0.0,1000000,0.0,0.0,1000000,0.0,0,0.0,0,0.0
Other Liabilities,0.0,5000000,232918.0,6000000,1284686.0,756586.0,29000000,0.0,0,16978000.0,18000000,10097000.0
