Date,2018-12-31,2017-12-31
Cash and cash equivalents,203503448.2759,276613445.3782
Short-term investments,0.0,0.0
Cash and short-term investments,203503448.2759,276613445.3782
Receivables,351918390.8046,361169267.7071
Inventories,6821839.0805,3564225.6903
Total current assets,712006896.5517,785673469.3878
Property Plant & Equipment Net,71077011.4943,28583433.3733
Goodwill and Intangible Assets,1265303448.2759,1258725090.036
Long-term investments,6380459.7701,1537815.1261
Tax assets,38365517.2414,23040816.3265
Total non-current assets,1451798850.5747,1402037214.886
Total assets,2163805747.1264,2187710684.2737
Payables,938449425.2874,919243697.479
Short-term debt,40632183.908,2002400.9604
Total current liabilities,1347735632.1839,1314002400.9604
Long-term debt,648817241.3793,715681872.7491
Total debt,689449425.2874,717684273.7095
Deferred revenue,19540.2299,253154861.9448
Tax Liabilities,130977011.4943,121823529.4118
Deposit Liabilities,0.0,0.0
Total non-current liabilities,826432183.908,944984393.7575
Total liabilities,2174167816.092,2258986794.7179
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-238581609.1954,-297158463.3854
Total shareholders equity,-9695402.2989,-64782713.0852
Investments,6380459.7701,1537815.1261
Net Debt,,
Other Assets,,
Other Liabilities,368654022.9885,392756302.521
