Date,2018-12-31,2018-12-29,2017-12-31,2017-12-30,2016-12-31,2015-12-27,2015-12-26,2014-12-27,2013-12-28,2012-12-29,2011-12-31,2010-12-25,2009-12-26
Cash and cash equivalents,27316000.0,28198000.0,29000000.0,28339000.0,34091000.0,88000000.0,87756000.0,0.0,0.0,7647000.0,11305000.0,43363000.0,67410000.0
Short-term investments,14755000.0,14755000.0,11000000.0,11269000.0,10348000.0,7000000.0,6743000.0,157000.0,139000.0,140000.0,13176000.0,0.0,0.0
Cash and short-term investments,42071000.0,42953000.0,40000000.0,39608000.0,44439000.0,95000000.0,94499000.0,157000.0,139000.0,7787000.0,11305000.0,43363000.0,67410000.0
Receivables,343450000.0,343450000.0,335000000.0,327751000.0,282253000.0,231000000.0,222964000.0,195912000.0,180452000.0,163225000.0,131292000.0,126780000.0,107383000.0
Inventories,556220000.0,556220000.0,460000000.0,460308000.0,397227000.0,305000000.0,304918000.0,340048000.0,287305000.0,243180000.0,194697000.0,190390000.0,162148000.0
Total current assets,995278000.0,995278000.0,863000000.0,863487000.0,756438000.0,648000000.0,648232000.0,573006000.0,496398000.0,453173000.0,358194000.0,382815000.0,368540000.0
Property Plant & Equipment Net,354710000.0,354710000.0,329000000.0,328629000.0,297851000.0,251000000.0,251150000.0,248269000.0,237410000.0,221268000.0,222467000.0,222151000.0,230099000.0
Goodwill and Intangible Assets,231477000.0,254969000.0,227606000.0,220059000.0,225266000.0,169727000.0,196347000.0,189541000.0,167387000.0,167417000.0,165626000.0,,
Long-term investments,13267000.0,13267000.0,8000000.0,8359000.0,2300000.0,0.0,2300000.0,2000000.0,2000000.0,2000000.0,0.0,0.0,0.0
Tax assets,2668000.0,9093000.0,13005000.0,1865000.0,1546000.0,10466000.0,1312000.0,1079000.0,1365000.0,1759000.0,9694000.0,,
Total non-current assets,652270000.0,601190000.0,535620000.0,601190000.0,535620000.0,420589000.0,459447000.0,450794000.0,420589000.0,407367000.0,405813000.0,,
Total assets,1647548000.0,1647548000.0,1463000000.0,1464677000.0,1292058000.0,1106000000.0,1107679000.0,1023800000.0,916987000.0,860540000.0,764007000.0,789396000.0,776868000.0
Payables,136901000.0,136901000.0,140000000.0,140106000.0,124660000.0,95000000.0,95041000.0,89105000.0,72918000.0,66054000.0,49433000.0,59481000.0,49664000.0
Short-term debt,148000.0,27180000.0,22395000.0,1329000.0,2634000.0,1079000.0,1145000.0,0.0,0.0,0.0,40270000.0,,
Total current liabilities,310170000.0,310170000.0,303000000.0,303246000.0,271777000.0,204000000.0,204175000.0,175460000.0,139099000.0,114784000.0,132795000.0,119237000.0,120375000.0
Long-term debt,202130000.0,202130000.0,145000000.0,144674000.0,109059000.0,85000000.0,84750000.0,98645000.0,84700000.0,95790000.0,12200000.0,54579000.0,53181000.0
Total debt,202278000.0,171854000.0,131454000.0,146003000.0,111693000.0,85779000.0,85895000.0,98645000.0,84700000.0,95790000.0,52470000.0,,
Deferred revenue,3245000.0,0.0,0.0,4435000.0,4748000.0,0.0,4978000.0,4682000.0,2858000.0,2020000.0,0.0,,
Tax Liabilities,4378000.0,14079000.0,20817000.0,4000000.0,3381000.0,26788000.0,2209000.0,1793000.0,1923000.0,1531000.0,0.0,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Total non-current liabilities,248694000.0,187408000.0,159815000.0,187408000.0,159815000.0,128154000.0,137095000.0,148780000.0,128154000.0,138231000.0,48613000.0,,
Total liabilities,574145000.0,558864000.0,489000000.0,505201000.0,442878000.0,340000000.0,354924000.0,338106000.0,276364000.0,260772000.0,187202000.0,208220000.0,207922000.0
Other comprehensive income,178540000,144000.0,-5630000.0,161928000,185333000,3466000.0,171562000,162028000,155397000,148823000,142733000,,
Retained earnings (deficit),839917000.0,839917000.0,736000000.0,736212000.0,649135000.0,566000000.0,565636000.0,502334000.0,461812000.0,426887000.0,410848000.0,414108000.0,409278000.0
Total shareholders equity,1073403000.0,1073403000.0,959000000.0,959476000.0,849180000.0,753000000.0,752755000.0,685694000.0,640623000.0,599768000.0,576805000.0,574509000.0,563218000.0
Investments,28022000.0,19628000.0,10348000.0,19628000.0,12648000.0,0.0,9043000.0,2157000.0,2139000.0,2140000.0,13176000.0,,
Net Debt,174962000.0,131769000.0,86617000.0,117664000.0,77602000.0,85059000.0,-1861000.0,98645000.0,84700000.0,88143000.0,41165000.0,,
Other Assets,0.0,52655000.0,35343000.0,0.0,0.0,36641000.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,15281000.0,135960000.0,124722000.0,14547000.0,11286000.0,65102000.0,13654000.0,13866000.0,9111000.0,7757000.0,5794000.0,,
