Date,2019-12-31,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12
Cash and cash equivalents,49724000.0,83103000.0,83000000.0,81257000.0,81000000.0,205728000.0,206000000.0,655079000.0,655000000.0,44809000.0,45000000.0
Short-term investments,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,9014000.0,9000000.0,9001000.0,9000000.0
Cash and short-term investments,49724000.0,83103000.0,000000.0,81257000.0,000000.0,205728000.0,000000.0,664093000.0,9000000.0,53810000.0,9000000.0
Receivables,0.0,0.0,000000.0,0.0,000000.0,878000.0,1000000.0,2462000.0,2000000.0,617000.0,1000000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,52133000.0,84574000.0,85000000.0,84054000.0,84000000.0,258419000.0,258000000.0,678247000.0,678000000.0,80430000.0,80000000.0
Property Plant & Equipment Net,0.0,0.0,000000.0,0.0,000000.0,710000.0,1000000.0,1248000.0,1000000.0,3590000.0,4000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,12000000,15093000.0,15000000,18384000.0,18000000,40081000.0,40000000
Long-term investments,0.0,0.0,12004000000.0,0.0,11836000000.0,0.0,9315000000.0,439560000.0,2812000000.0,360762000.0,2860000000.0
Tax assets,67953000.0,55328000.0,000000.0,47546000.0,000000.0,24678000.0,000000.0,55368000.0,55000000.0,11282000.0,20000000.0
Total non-current assets,12204209000.0,12013863000.0,12014000000.0,11847735000.0,11848000000.0,9332541000.0,9333000000.0,2887494000.0,2887000000.0,2923502000.0,2924000000.0
Total assets,12256342000.0,12098437000.0,12098000000.0,11931789000.0,11932000000.0,9590960000.0,9591000000.0,3565741000.0,3566000000.0,3003932000.0,3004000000.0
Payables,6168000.0,3504000.0,4000000.0,5381000.0,5000000.0,7931000.0,8000000.0,10493000.0,10000000.0,15953000.0,16000000.0
Short-term debt,1800000.0,1900000.0,000000.0,0.0,000000.0,400000000.0,400000000.0,2254000.0,000000.0,2340000.0,000000.0
Total current liabilities,12139000.0,8195000.0,8000000.0,10549000.0,11000000.0,412116000.0,412000000.0,15376000.0,15000000.0,99596000.0,100000000.0
Long-term debt,572944000.0,522928000.0,523000000.0,497370000.0,497000000.0,198512000.0,199000000.0,399703000.0,400000000.0,372000000.0,372000000.0
Total debt,574744000.0,524828000.0,523000000.0,497370000.0,497000000.0,598512000.0,199000000.0,401957000.0,400000000.0,374340000.0,372000000.0
Deferred revenue,4800000.0,4300000.0,000000.0,0.0,000000.0,2171000.0,3000000.0,2629000.0,2000000.0,5947000.0,38000000.0
Tax Liabilities,0.0,0.0,966000000.0,0.0,933000000.0,0.0,505000000.0,0.0,000000.0,0.0,000000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,1578057000.0,1493524000.0,1492000000.0,1434339000.0,1434000000.0,705752000.0,706000000.0,457514000.0,402000000.0,429107000.0,410000000.0
Total liabilities,1588396000.0,1499819000.0,1500000000.0,1444888000.0,1445000000.0,1117868000.0,1118000000.0,417522000.0,418000000.0,509163000.0,509000000.0
Other comprehensive income,7891638000,7939908000,8000000.0,7909451000,8000000.0,7947438000,8000000.0,3538619000,9000000.0,2835970000,8000000.0
Retained earnings (deficit),2767885000.0,2650669000.0,2651000000.0,2568764000.0,2569000000.0,517736000.0,518000000.0,-399567000.0,-400000000.0,-349380000.0,-349000000.0
Total shareholders equity,10667946000.0,10598618000.0,10599000000.0,10486901000.0,10487000000.0,8473092000.0,8473000000.0,3148219000.0,3148000000.0,2494769000.0,2495000000.0
Investments,0.0,0.0,12004000000.0,0.0,11836000000.0,0.0,9315000000.0,448574000.0,2812000000.0,369763000.0,2860000000.0
Net Debt,525020000.0,441725000.0,440000000,416113000.0,416000000,392784000.0,393000000,-253122000.0,-255000000,329531000.0,327000000
Other Assets,0.0,0.0,10000000,0.0,3000000,0.0,53000000,0.0,12000000,0.0,16000000
Other Liabilities,0.0,0.0,3000000,0.0,4000000,0.0,2000000,0.0,2000000,0.0,78000000
