Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,4806000.0,3823000.0,4000000.0,8750000.0,9000000.0,4361000.0,4000000.0,1021000.0,1000000.0,7205000.0,7000000.0,5734000.0,4297000.0
Short-term investments,3535000.0,2498000.0,000000.0,10151000.0,000000.0,9389000.0,000000.0,5353000.0,000000.0,6450000.0,5000000.0,5027000.0,2019000.0
Cash and short-term investments,4806000.0,3823000.0,000000.0,8750000.0,000000.0,4361000.0,000000.0,1021000.0,000000.0,7205000.0,5000000.0,10761000.0,6316000.0
Receivables,12334000.0,11825000.0,12000000.0,8954000.0,9000000.0,10509000.0,11000000.0,9121000.0,9000000.0,6585000.0,7000000.0,5406000.0,6939000.0
Inventories,21130000.0,20563000.0,21000000.0,18414000.0,18000000.0,13501000.0,14000000.0,9650000.0,10000000.0,10921000.0,11000000.0,10275000.0,7811000.0
Total current assets,42244000.0,39393000.0,307000000.0,47137000.0,273000000.0,39613000.0,212000000.0,26032000.0,145000000.0,31307000.0,96000000.0,28123000.0,22629000.0
Property Plant & Equipment Net,271531000.0,285758000.0,286000000.0,249184000.0,249000000.0,173378000.0,173000000.0,119720000.0,120000000.0,95745000.0,96000000.0,91188000.0,92285000.0
Goodwill and Intangible Assets,20207000.0,21139000.0,22000000,22071000.0,23000000,23290000.0,24000000,24797000.0,25000000,0.0,0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,11100000.0,,0.0,,0.0,,0.0,0.0
Tax assets,53000.0,499000.0,000000.0,8735000.0,000000.0,5628000.0,1000000.0,634000.0,1000000.0,552000.0,1000000.0,393000.0,410000.0
Total non-current assets,291941000.0,307142000.0,17000000.0,272743000.0,166000000.0,211766000.0,99000000.0,144707000.0,51000000.0,95785000.0,33000000.0,91235000.0,92339000.0
Total assets,334185000.0,346535000.0,347000000.0,319880000.0,320000000.0,251379000.0,251000000.0,170739000.0,171000000.0,127092000.0,127000000.0,119358000.0,114968000.0
Payables,13514000.0,12068000.0,12000000.0,7739000.0,8000000.0,7211000.0,7000000.0,4796000.0,5000000.0,3685000.0,4000000.0,3685000.0,3520000.0
Short-term debt,262000.0,317000.0,169000000.0,6728000.0,7000000.0,3882000.0,4000000.0,2700000.0,4000000.0,1152000.0,1000000.0,1152000.0,1152000.0
Total current liabilities,216439000.0,187880000.0,188000000.0,20142000.0,20000000.0,18860000.0,19000000.0,19544000.0,20000000.0,8867000.0,9000000.0,7669000.0,7287000.0
Long-term debt,31000.0,33000.0,0000000.0,133989000.0,134000000.0,71699000.0,72000000.0,33662000.0,34000000.0,13927000.0,14000000.0,15079000.0,16231000.0
Total debt,293000.0,350000.0,0000000.0,140717000.0,134000000.0,75581000.0,72000000.0,36362000.0,34000000.0,15079000.0,14000000.0,16231000.0,17383000.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,0.0,12000000.0,0.0,27000000.0,0.0,22000000.0,0.0,17000000.0,0.0,19000000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,13374000.0,16868000.0,17000000.0,166493000.0,166000000.0,98736000.0,99000000.0,50682000.0,51000000.0,33376000.0,33000000.0,34511000.0,35032000.0
Total liabilities,229813000.0,204748000.0,205000000.0,186635000.0,187000000.0,117596000.0,118000000.0,70226000.0,70000000.0,42243000.0,42000000.0,42180000.0,42319000.0
Other comprehensive income,104616000,104359000,,98885000,,97834000,,64275000,,46298000,,41238000,39524000
Retained earnings (deficit),-255000.0,37417000.0,37000000.0,34350000.0,34000000.0,35939000.0,36000000.0,36229000.0,36000000.0,38543000.0,39000000.0,35932000.0,33118000.0
Total shareholders equity,104372000.0,141787000.0,142000000.0,133245000.0,133000000.0,133783000.0,134000000.0,100513000.0,101000000.0,84849000.0,85000000.0,77178000.0,72649000.0
Investments,3535000.0,2498000.0,,10151000.0,,20489000.0,,5353000.0,,6450000.0,,5027000.0,2019000.0
Net Debt,-4513000.0,-3473000.0,165000000,131967000.0,132000000,71220000.0,72000000,35341000.0,37000000,7874000.0,8000000,10497000.0,13086000.0
Other Assets,0.0,0.0,2000000,0.0,11000000,0.0,24000000,0.0,4000000,0.0,0,0.0,0.0
Other Liabilities,0.0,0.0,8000000,0.0,8000000,0.0,9000000,0.0,7000000,0.0,0,0.0,0.0
