Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,90000000.0,101000000.0,338000000.0,71000000.0,183000000.0,46000000.0,151000000.0,213000000.0,307000000.0
Short-term investments,206000000.0,372000000.0,133000000.0,258000000.0,145000000.0,345000000.0,237000000.0,150000000.0,170000000.0
Cash and short-term investments,296000000.0,473000000.0,133000000.0,329000000.0,145000000.0,391000000.0,237000000.0,150000000.0,170000000.0
Receivables,1420000000.0,1356000000.0,1295000000.0,704000000.0,695000000.0,588000000.0,578000000.0,793000000.0,784000000.0
Inventories,2693000000.0,2551000000.0,2551000000.0,1648000000.0,1648000000.0,1582000000.0,1579000000.0,2134000000.0,1941000000.0
Total current assets,4424000000.0,4393000000.0,7727000000.0,2690000000.0,5623000000.0,2571000000.0,5492000000.0,6257000000.0,7153000000.0
Property Plant & Equipment Net,5917000000.0,5454000000.0,5350000000.0,4238000000.0,4136000000.0,4309000000.0,4208000000.0,4481000000.0,4709000000.0
Goodwill and Intangible Assets,,,1092000000,,842000000,,888000000,949000000,961000000
Long-term investments,8000000.0,3000000.0,482000000.0,6000000.0,424000000.0,0.0,250000000.0,748000000.0,1375000000.0
Tax assets,,,000000.0,,178000000.0,,41000000.0,000000.0,92000000.0
Total non-current assets,,,4285000000.0,,2100000000.0,,2329000000.0,2818000000.0,3183000000.0
Total assets,12414000000.0,12001000000.0,12123000000.0,8237000000.0,8323000000.0,7965000000.0,8063000000.0,9606000000.0,10373000000.0
Payables,904000000.0,898000000.0,898000000.0,603000000.0,603000000.0,568000000.0,568000000.0,565000000.0,756000000.0
Short-term debt,,,1506000000.0,,822000000.0,,914000000.0,1264000000.0,798000000.0
Total current liabilities,1827000000.0,2827000000.0,2827000000.0,1831000000.0,1831000000.0,1701000000.0,1701000000.0,2091000000.0,1849000000.0
Long-term debt,1637000000.0,1716000000.0,1716000000.0,397000000.0,397000000.0,607000000.0,607000000.0,901000000.0,1205000000.0
Total debt,,,1716000000.0,,397000000.0,,607000000.0,901000000.0,1205000000.0
Deferred revenue,,,,,,,,,
Tax Liabilities,,,513000000.0,,609000000.0,,610000000.0,587000000.0,606000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,,4285000000.0,,2100000000.0,,2329000000.0,2818000000.0,3183000000.0
Total liabilities,4929000000.0,6149000000.0,7112000000.0,3070000000.0,3932000000.0,3162000000.0,4029000000.0,4909000000.0,5033000000.0
Other comprehensive income,,,-4752000000.0,,-3265000000.0,,-4648000000.0,-2709000000.0,-2412000000.0
Retained earnings (deficit),7241000000.0,5559000000.0,6491000000.0,4873000000.0,5801000000.0,4479000000.0,5383000000.0,5551000000.0,5897000000.0
Total shareholders equity,6393000000.0,5010000000.0,5010000000.0,4391000000.0,4391000000.0,4033000000.0,4033000000.0,4697000000.0,5340000000.0
Investments,,,482000000.0,,424000000.0,,250000000.0,748000000.0,1375000000.0
Net Debt,,,2884000000,,1036000000,,1370000000,1952000000,1696000000
Other Assets,15000000.0,,697000000,,145000000,,50000000,81000000,101000000
Other Liabilities,,,1231000000,,244000000,,202000000,307000000,578000000
