Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Cash and cash equivalents,71404000.0,71000000.0,63617000.0,64000000.0,117763000.0,118000000.0,72080000.0,72000000.0,124293000.0,124000000.0
Short-term investments,0.0,000000.0,79402000.0,79000000.0,89607000.0,90000000.0,0.0,000000.0,0.0,000000.0
Cash and short-term investments,71404000.0,000000.0,143019000.0,79000000.0,207370000.0,90000000.0,72080000.0,000000.0,124293000.0,000000.0
Receivables,19967000.0,20000000.0,8206000.0,8000000.0,7362000.0,7000000.0,9894000.0,10000000.0,6262000.0,6000000.0
Inventories,13171000.0,13000000.0,10438000.0,10000000.0,7992000.0,8000000.0,4809000.0,5000000.0,1763000.0,2000000.0
Total current assets,123819000.0,45000000.0,168921000.0,45000000.0,229644000.0,68000000.0,89648000.0,22000000.0,133310000.0,24000000.0
Property Plant & Equipment Net,41119000.0,41000000.0,41486000.0,41000000.0,41333000.0,41000000.0,21015000.0,21000000.0,22104000.0,22000000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Long-term investments,0.0,000000.0,0.0,000000.0,24939000.0,25000000.0,0.0,000000.0,0.0,000000.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current assets,45184000.0,71000000.0,45114000.0,9000000.0,68345000.0,10000000.0,22290000.0,9000000.0,23958000.0,10000000.0
Total assets,169003000.0,169000000.0,214035000.0,214000000.0,297989000.0,298000000.0,111938000.0,112000000.0,157268000.0,157000000.0
Payables,21926000.0,22000000.0,11898000.0,12000000.0,10469000.0,10000000.0,7263000.0,7000000.0,7007000.0,7000000.0
Short-term debt,60000000.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,1499000.0,1000000.0
Total current liabilities,66443000.0,66000000.0,40651000.0,41000000.0,29896000.0,30000000.0,16446000.0,16000000.0,15759000.0,16000000.0
Long-term debt,60000000.0,60000000.0,0.0,000000.0,0.0,000000.0,9315000.0,000000.0,9710000.0,000000.0
Total debt,120000000.0,60000000.0,0.0,000000.0,0.0,000000.0,9315000.0,000000.0,11209000.0,000000.0
Deferred revenue,2212000.0,6000000.0,2104000.0,6000000.0,717000.0,4000000.0,340000.0,0000000.0,918000.0,1000000.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,60040000.0,71000000.0,3124000.0,9000000.0,6862000.0,10000000.0,27059000.0,9000000.0,22875000.0,10000000.0
Total liabilities,137335000.0,137000000.0,49189000.0,49000000.0,40300000.0,40000000.0,25769000.0,26000000.0,25557000.0,26000000.0
Other comprehensive income,537904000,0000000.0,509664000,-0000000.0,489480000,-0000000.0,228151000,000000.0,221471000,000000.0
Retained earnings (deficit),-506349000.0,-506000000.0,-344808000.0,-345000000.0,-231616000.0,-232000000.0,-141985000.0,-142000000.0,-89763000.0,-90000000.0
Total shareholders equity,31668000.0,32000000.0,164846000.0,165000000.0,257689000.0,258000000.0,86169000.0,86000000.0,131711000.0,132000000.0
Investments,0.0,000000.0,79402000.0,000000.0,114546000.0,25000000.0,0.0,000000.0,0.0,000000.0
Net Debt,48596000.0,-11000000,-63617000.0,-64000000,-117763000.0,-118000000,-62765000.0,-72000000,-113084000.0,-123000000
Other Assets,0.0,14000000,0.0,6000000,0.0,2000000,0.0,1000000,0.0,2000000
Other Liabilities,10852000.0,13000000,5414000.0,11000000,3542000.0,12000000,-17736000.0,10000000,-13077000.0,11000000
