Date,2018-12-31,2017-12-31,2017-01-01,2016-12-31,2016-01-01,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,2408888.8889,2686567.1642,8751857.3551,8764880.9524,3890167.8191,3905357.1945,9079085.2558,5515000.0,2700470.4198,3657309.8107,3530000.0,3608641.9173,4060347.0825,5168751.4677
Short-term investments,0.0,785545.9544,7429420.5052,7440476.1905,0.0,0.0,0.0,0.0,0.0,0.0,2603000.0,0.0,0.0,0.0
Cash and short-term investments,2408888.8889,3472113.1186,16181277.8603,16205357.1429,3890167.8191,3905357.1945,9079085.2558,5515000.0,2700470.4198,3657309.8107,6133000.0,3608641.9173,4060347.0825,5168751.4677
Receivables,3030370.3704,3641005.4988,4887815.7504,2269345.2381,3530153.414,1948890.094,118463.3902,14000.0,0.0,2210734.0792,593000.0,1345658.8346,256232.3944,858068.4932
Inventories,6837777.7778,7150039.2773,4312035.6612,4318452.381,2400272.9761,2409644.9747,,3273787.4355,,1742921.0526,2239275.6539,0.0,0.0,0.0
Total current assets,16997777.7778,20888452.4745,26098068.3507,26136904.7619,10433150.3889,10473887.2017,,11268524.0964,,7656872.1805,6881341.0463,6387610.5675,9466676.0281,2833125.9542
Property Plant & Equipment Net,63351111.1111,59305577.3763,43735512.63,43800595.2381,34925014.4051,35061381.0557,,41379288.296,,24671797.9323,19252195.171,18882899.2172,16667383.1494,15116232.8244
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Long-term investments,86666.6667,587588.3739,20059.4354,100446.4286,20146.2115,96240.7809,,206014.6299,,145244.3609,216170.0201,303223.092,524433.2999,199938.9313
Tax assets,3957777.7778,5003142.1838,2625744.0476,1595046.9993,1427381.2392,288628.7594,,197362.173,,223894.3249,234391.1735,84997.1374,,
Total non-current assets,63437777.7778,59893165.7502,43901041.6667,35157621.8366,41585302.926,24817042.2932,,19468365.1911,,19186122.3092,17191816.4493,15316171.7557,,
Total assets,80435555.5556,80781618.2247,69933878.1575,70037946.4286,45454031.259,45631509.0383,,52853827.0224,,32473914.4737,26349706.2374,25573732.8767,26658492.4774,18149297.7099
Payables,4475555.5556,2905734.4855,2768202.0802,2920386.9048,2174588.015,2296879.248,,3606464.716,,1473477.4436,1328431.5895,787416.8297,645807.4223,523266.2214
Short-term debt,1840000.0,4684996.0723,4193164.9331,5267113.0952,3476815.0389,4439020.9689,,1112156.6265,,550606.203,157162.9779,0.0,0.0,0.0
Total current liabilities,7289629.6296,8003142.1838,8782317.9792,8795386.9048,7308815.1829,7337352.8561,,5573277.1084,,2064071.4286,1485594.5674,787416.8297,645807.4223,523266.2214
Long-term debt,5306666.6667,4947368.4211,4352154.5319,5383184.5238,4222252.953,5443256.6884,0.0,0.0,0.0,1727203.0981,0.0,1025354.3233,79207.2435,0.0
Total debt,7146666.6667,9632364.4933,10650297.619,9882277.6573,2839359.7246,1575960.5263,,236370.2213,,0.0,0.0,0.0,,
Deferred revenue,424444.4444,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,
Tax Liabilities,3014814.8148,3985074.6269,4095982.1429,3157738.9732,5705797.7625,4630335.5263,,2379956.7404,,0.0,0.0,0.0,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,
Total non-current liabilities,17465925.9259,18574234.0927,15264880.9524,11158968.9082,8510850.2582,7339328.0075,,2784254.5272,,2345749.5108,2024931.7954,1899980.916,,
Total liabilities,24755555.5556,26577376.2765,24024517.0877,24060267.8571,18424382.7427,18496321.7643,,14084127.3666,,9403399.4361,4269849.0946,3133166.3405,2670739.2177,2423247.1374
Other comprehensive income,-4536296.2963,-3199528.6724,-4803571.4286,-4599359.3637,1438906.1962,202706.7669,,-332204.2254,,-256751.4677,-346127.3821,0.0,,
Retained earnings (deficit),-12225925.9259,-14828750.9819,-16001485.8841,-16025297.619,-16987028.2339,-17053355.0253,-24412626.8806,12845000.0,-22843730.916,-22310117.0396,10830000.0,-26788030.0752,-29636135.8149,-27710118.3953
Total shareholders equity,55680000.0,54204241.9482,45909361.0698,45977678.5714,27029648.5163,27135187.274,,38769699.6558,,23070515.0376,22079857.1429,22440566.5362,23987753.2598,15726050.5725
Investments,86666.6667,1373134.3284,-7429420.5052,7540922.619,-7202535.2924,96240.7809,,206014.6299,,145244.3609,216170.0201,303223.092,524433.2999,199938.9313
Net Debt,4737777.7778,,,,,,,,,,,,,
Other Assets,4559854.8845,,,,,,,,,,,,,
Other Liabilities,974074.074,412411.626,1820950.9659,607886.9048,1657412.129,601452.6392,,854655.7659,,39987.782,0.0,0.0,0.0,0.0
