Date,2018-12-31,2017-12-31,2017-09-30,2016-12-31,2016-09-24,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,462000000.0,229000000.0,224000000.0,224000000.0,235000000.0,227000000.0,235000000.0,234000000.0,240000000.0,232000000.0,228000000.0,
Stock-based compensation,35000000.0,36000000.0,45000000.0,45000000.0,48000000.0,44000000.0,48000000.0,37000000.0,35000000.0,34000000.0,29000000.0,
Operating Cash Flow,1613000000.0,1038000000.0,1749000000.0,939000000.0,1117000000.0,991000000.0,1022000000.0,866000000.0,458000000.0,760000000.0,2535000000.0,865000000.0
Capital Expenditure,180000000.0,202000000.0,-66000000.0,180000000.0,-112000000.0,179000000.0,170000000.0,179000000.0,193000000.0,215000000.0,246000000.0,-312000000.0
Acquisitions and disposals,-0.0,-0.0,-4000000.0,-0.0,-19000000.0,-0.0,-19000000.0,-10000000.0,-0.0,-0.0,-0.0,
Investment purchases and sales,0.0,-399000000.0,-1000000.0,-520000000.0,0.0,-536000000.0,-400000000.0,-400000000.0,-400000000.0,-522000000.0,-1113000000.0,
Investing Cash flow,-19131000000.0,-1763000000.0,180000000.0,-189000000.0,-13847000000.0,-194000000.0,-185000000.0,167000000.0,-193000000.0,-217000000.0,-225000000.0,-251000000.0
Issuance (repayment) of debt,-55000000.0,-5000000.0,-1883000000.0,-19000000.0,7247000000.0,-6000000.0,-0.0,-0.0,-4000000.0,-400000000.0,-1000000.0,-550000000.0
Issuance (buybacks) of shares,8917000000.0,-399000000.0,9003000000.0,-519000000.0,6402000000.0,-521000000.0,-400000000.0,-400000000.0,-400000000.0,-522000000.0,-1113000000.0,1000000.0
Dividend payments,-232000000.0,-414000000.0,-55000000.0,-386000000.0,-103000000.0,-355000000.0,-317000000.0,-302000000.0,-284000000.0,-251000000.0,-194000000.0,0.0
Financing Cash Flow,17577000000.0,-907000000.0,-2026000000.0,130000000.0,13290000000.0,-114000000.0,-747000000.0,-880000000.0,-603000000.0,-152000000.0,-2280000000.0,-554000000.0
Effect of forex changes on cash,-15000000.0,3000000.0,-4000000.0,-4000000.0,-6000000.0,-9000000.0,-6000000.0,-4000000.0,3000000.0,-5000000.0,5000000.0,
Net cash flow / Change in cash,139000000.0,158000000.0,876000000.0,1787000000.0,84000000.0,911000000.0,237000000.0,153000000.0,-338000000.0,391000000.0,30000000.0,
Free Cash Flow,1433000000.0,836000000.0,787000000.0,759000000.0,860000000.0,812000000.0,852000000.0,687000000.0,265000000.0,545000000.0,2289000000.0,
Net Cash/Marketcap,0.0,0.0,-0.1612,0.0,-0.1683,0.0,0.0,0.0,0.0,0.0,0.0,
