Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,1996-12,1995-12,1994-12,1993-12,1992-12
Cash and cash equivalents,51965000.0,449757000.0,260112000.0,165007000.0,182437000.0,565370000.0,401293000.0,394022000.0,345243000.0,6000000.0,000000.0,000000.0,000000.0,000000.0
Short-term investments,6509333000.0,7023050000.0,9969163000.0,11356643000.0,10762622000.0,11371358000.0,0.0,0.0,0.0,,,,,
Cash and short-term investments,6561298000.0,7472807000.0,10229275000.0,11521650000.0,10945059000.0,11936728000.0,401293000.0,394022000.0,345243000.0,,,,,
Receivables,127154000.0,27415000.0,27795000.0,29002000.0,31257000.0,35828000.0,44033000.0,42837000.0,38215000.0,20000000.0,000000.0,000000.0,000000.0,000000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000000.0,000000.0,000000.0,000000.0,000000.0
Total current assets,6688452000.0,7500222000.0,10257070000.0,11550652000.0,10976316000.0,11972556000.0,445326000.0,436859000.0,383458000.0,263000000.0,000000.0,000000.0,000000.0,000000.0
Property Plant & Equipment Net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000000.0,000000.0,000000.0,000000.0,000000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,7189000.0,7189000.0,7189000.0,7189000.0,7189000.0,7189000.0,91000000,0,0,0,0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total non-current assets,5731875000.0,3454512000.0,2226952000.0,1616671000.0,1378428000.0,499352000.0,13072224000.0,11313775000.0,8303949000.0,000000.0,000000.0,000000.0,000000.0,000000.0
Total assets,12420327000.0,10954734000.0,12484022000.0,13167323000.0,12354744000.0,12471908000.0,13517550000.0,11750634000.0,8687407000.0,770000000.0,000000.0,000000.0,000000.0,000000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,0.0,7000000.0,000000.0,000000.0,000000.0,000000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total current liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,0.0,108000000.0,000000.0,000000.0,000000.0,000000.0
Long-term debt,0.0,0.0,215000000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,98000000.0,000000.0,000000.0,000000.0,000000.0
Total debt,0.0,0.0,215000000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,98000000.0,000000.0,000000.0,000000.0,000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000000.0,000000.0,000000.0,000000.0,000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,0.0,0.0,215000000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,000000.0,000000.0,000000.0,000000.0,000000.0
Total liabilities,9004226000.0,7693098000.0,9450120000.0,10200062000.0,9151472000.0,9329657000.0,10206544000.0,9252874000.0,6436960000.0,108000000.0,000000.0,000000.0,000000.0,000000.0
Other comprehensive income,3623355000,3227384000,3029142000,3020036000,3013714000,2972449000,2805762000,2795963000,2184531000,138000000.0,000000.0,000000.0,000000.0,000000.0
Retained earnings (deficit),-632040000.0,-578950000.0,-572641000.0,-572332000.0,-568596000.0,-571544000.0,-260308000.0,-243061000.0,-191569000.0,223000000.0,000000.0,000000.0,000000.0,000000.0
Total shareholders equity,3416101000.0,3261636000.0,3033902000.0,2967261000.0,3203272000.0,3142251000.0,3311006000.0,2497760000.0,2250447000.0,360000000.0,000000.0,000000.0,000000.0,000000.0
Investments,6509333000.0,7023050000.0,9969163000.0,11356643000.0,10762622000.0,11371358000.0,0.0,0.0,0.0,,,,,
Net Debt,-51965000.0,-449757000.0,-45112000.0,1334993000.0,-182437000.0,-565370000.0,-401293000.0,-394022000.0,-345243000.0,92000000,0,0,0,0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000000,0,0,0,0
Other Liabilities,9004226000.0,7693098000.0,9235120000.0,8700062000.0,9151472000.0,9329657000.0,10206544000.0,9252779000.0,6436960000.0,-33000000,0,0,0,0
