Date,2017-12-31,2016-12-31,2015-12,2014-12,2013-12,2012-12,2011-12
Cash and cash equivalents,184218000.0,185093000.0,164000000.0,165000000.0,192000000.0,102000000.0,79000000.0
Short-term investments,0.0,0.0,000000.0,000000.0,000000.0,4000000.0,000000.0
Cash and short-term investments,184218000.0,185093000.0,000000.0,000000.0,000000.0,4000000.0,000000.0
Receivables,53998000.0,42997000.0,34000000.0,28000000.0,34000000.0,22000000.0,20000000.0
Inventories,10145000.0,9967000.0,10000000.0,10000000.0,8000000.0,7000000.0,7000000.0
Total current assets,270305000.0,255817000.0,4297000000.0,4555000000.0,4561000000.0,1924000000.0,1760000000.0
Property Plant & Equipment Net,2629013000.0,2768500000.0,2856000000.0,3017000000.0,3040000000.0,1696000000.0,1515000000.0
Goodwill and Intangible Assets,994469000.0,1003287000.0,1395000000,1448000000,1419000000,76000000,72000000
Long-term investments,16900000.0,15600000.0,000000.0,2000000.0,2000000.0,91000000.0,98000000.0
Tax assets,1500000.0,0.0,000000.0,000000.0,000000.0,3000000.0,2000000.0
Total non-current assets,3679923000.0,3821250000.0,3851000000.0,4205000000.0,4573000000.0,1464000000.0,1249000000.0
Total assets,3950228000.0,4077067000.0,4531000000.0,4834000000.0,5159000000.0,2109000000.0,1951000000.0
Payables,81071000.0,69069000.0,67000000.0,58000000.0,69000000.0,33000000.0,46000000.0
Short-term debt,9000.0,12258000.0,11000000.0,11000000.0,16000000.0,3000000.0,0000000.0
Total current liabilities,331022000.0,358591000.0,326000000.0,351000000.0,372000000.0,198000000.0,182000000.0
Long-term debt,812315000.0,924400000.0,3617000000.0,3976000000.0,4364000000.0,1437000000.0,1224000000.0
Total debt,812324000.0,936658000.0,3617000000.0,3976000000.0,4364000000.0,1437000000.0,1224000000.0
Deferred revenue,0.0,0.0,,,,,
Tax Liabilities,56538000.0,58207000.0,188000000.0,178000000.0,166000000.0,3000000.0,3000000.0
Deposit Liabilities,0.0,0.0,,,,,
Total non-current liabilities,851306000.0,977743000.0,3851000000.0,4205000000.0,4573000000.0,1464000000.0,1249000000.0
Total liabilities,4280294000.0,4460132000.0,4178000000.0,4556000000.0,4946000000.0,1662000000.0,1431000000.0
Other comprehensive income,839735000,849808000,0000000.0,0000000.0,0000000.0,0000000.0,0000000.0
Retained earnings (deficit),-1170715000.0,-1233819000.0,-705000000.0,-754000000.0,-798000000.0,-542000000.0,-510000000.0
Total shareholders equity,-330066000.0,-383065000.0,353000000.0,278000000.0,214000000.0,447000000.0,519000000.0
Investments,16900000.0,15600000.0,000000.0,2000000.0,2000000.0,91000000.0,98000000.0
Net Debt,628106000.0,751565000.0,3464000000,3822000000,4188000000,1338000000,1145000000
Other Assets,0.0,0.0,58000000,129000000,436000000,99000000,150000000
Other Liabilities,3097966000.0,3123798000.0,111000000,40000000,134000000,61000000,65000000
