Date,2017-12-31,2017-12,2016-12-25,2016-12,2015-12-27,2015-12,2014-12,2013-12
Cash and cash equivalents,14052000.0,14000000.0,13898000.0,14000000.0,14263000.0,14000000.0,13000000.0,8000000.0
Short-term investments,2507000.0,,11000.0,,403000.0,,,
Cash and short-term investments,16559000.0,,13909000.0,,14263000.0,,,
Receivables,5863000.0,4000000.0,5421000.0,3000000.0,4736000.0,3000000.0,3000000.0,2000000.0
Inventories,3619000.0,4000000.0,3326000.0,3000000.0,3080000.0,3000000.0,3000000.0,2000000.0
Total current assets,26495000.0,529000000.0,26064000.0,534000000.0,28121000.0,533000000.0,529000000.0,526000000.0
Property Plant & Equipment Net,49423000.0,49000000.0,52275000.0,52000000.0,48137000.0,48000000.0,42000000.0,42000000.0
Goodwill and Intangible Assets,451640000.0,475000000,451640000.0,476000000,451640000.0,477000000,478000000,476000000
Long-term investments,730000.0,3000000.0,550000.0,3000000.0,437000.0,3000000.0,2000000.0,2000000.0
Tax assets,1593000.0,000000.0,1505000.0,000000.0,2887000.0,2000000.0,1000000.0,2000000.0
Total non-current assets,528973000.0,230000000.0,533708000.0,300000000.0,532644000.0,349000000.0,375000000.0,346000000.0
Total assets,555468000.0,555000000.0,559772000.0,560000000.0,560765000.0,561000000.0,553000000.0,541000000.0
Payables,12956000.0,13000000.0,16818000.0,17000000.0,17893000.0,18000000.0,16000000.0,13000000.0
Short-term debt,8502000.0,000000.0,2132000.0,2000000.0,0.0,000000.0,000000.0,000000.0
Total current liabilities,39906000.0,40000000.0,48579000.0,49000000.0,45102000.0,45000000.0,40000000.0,35000000.0
Long-term debt,123376000.0,123000000.0,153630000.0,154000000.0,200194000.0,200000000.0,228000000.0,200000000.0
Total debt,131878000.0,123000000.0,155762000.0,154000000.0,200194000.0,200000000.0,228000000.0,200000000.0
Deferred revenue,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0
Tax Liabilities,0.0,71000000.0,0.0,111000000.0,0.0,115000000.0,117000000.0,118000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,,
Total non-current liabilities,208629000.0,230000000.0,278444000.0,300000000.0,327773000.0,349000000.0,375000000.0,346000000.0
Total liabilities,270364000.0,270000000.0,348982000.0,349000000.0,393641000.0,394000000.0,415000000.0,381000000.0
Other comprehensive income,126895000,0000000.0,124802000,0000000.0,119084000,0000000.0,0000000.0,0000000.0
Retained earnings (deficit),157383000.0,157000000.0,85377000.0,85000000.0,47661000.0,48000000.0,21000000.0,18000000.0
Total shareholders equity,285104000.0,285000000.0,210790000.0,211000000.0,167124000.0,167000000.0,138000000.0,161000000.0
Investments,3237000.0,3000000.0,561000.0,3000000.0,840000.0,3000000.0,2000000.0,2000000.0
Net Debt,117826000.0,109000000,141864000.0,142000000,185931000.0,186000000,215000000,192000000
Other Assets,0.0,6000000,0.0,6000000,0.0,10000000,9000000,7000000
Other Liabilities,21829000.0,14000000,21959000.0,16000000,20766000.0,13000000,10000000,9000000
