Date,2018-12-29,2018-12,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2015-01-03,2014-12,2013-12-28,2012-12-29,2011-12-31,2011-04-02,2011-01-01
Cash and cash equivalents,288700000.0,474000000.0,637500000.0,525000000.0,1131800000.0,329000000.0,465400000.0,324000000.0,496600000.0,302000000.0,496200000.0,716000000.0,906900000.0,0.0,0.0
Short-term investments,7700000.0,82000000.0,7900000.0,78000000.0,9200000.0,2000000.0,11700000.0,2000000.0,11900000.0,9000000.0,181100000.0,333000000.0,209000000.0,0.0,0.0
Cash and short-term investments,296400000.0,82000000.0,645400000.0,78000000.0,1141000000.0,2000000.0,477100000.0,2000000.0,508500000.0,9000000.0,496200000.0,716000000.0,906900000.0,0.0,0.0
Receivables,1607800000.0,2076000000.0,1635900000.0,2196000000.0,1302800000.0,2218000000.0,1331800000.0,2150000000.0,1396700000.0,2218000000.0,1633000000.0,1538200000.0,1553200000.0,0.0,0.0
Inventories,2373500000.0,154000000.0,2018400000.0,168000000.0,1478000000.0,154000000.0,1526400000.0,174000000.0,1562700000.0,149000000.0,1485200000.0,1316600000.0,1438600000.0,0.0,0.0
Total current assets,4569400000.0,18596000000.0,4566100000.0,18327000000.0,4788500000.0,17919000000.0,3662100000.0,17772000000.0,3948800000.0,17506000000.0,3968700000.0,4098300000.0,4322700000.0,0.0,0.0
Property Plant & Equipment Net,1915200000.0,10894000000.0,1742500000.0,10697000000.0,1451200000.0,10177000000.0,1450200000.0,9855000000.0,1454100000.0,9720000000.0,1485300000.0,1333700000.0,1250900000.0,0.0,0.0
Goodwill and Intangible Assets,9021100000.0,7022000000,8863900000.0,6944000000,6797700000.0,6912000000,7205300000.0,7022000000,7419700000.0,6908000000,7735400000.0,7021100000.0,6920100000.0,0.0,0.0
Long-term investments,153700000.0,,191700000.0,,180900000.0,,182100000.0,,169500000.0,,157800000.0,146400000.0,131200000.0,0.0,0.0
Tax assets,0.0,167000000.0,0.0,197000000.0,147100000.0,281000000.0,120500000.0,354000000.0,108700000.0,417000000.0,-174600000.0,-132400000.0,90300000.0,0.0,0.0
Total non-current assets,14838600000.0,9836000000.0,14513800000.0,9260000000.0,10846400000.0,10962000000.0,11510200000.0,11759000000.0,11900300000.0,11020000000.0,12566400000.0,11745700000.0,11626300000.0,0.0,0.0
Total assets,19408000000.0,22586000000.0,19079900000.0,22058000000.0,15634900000.0,21454000000.0,15172300000.0,21149000000.0,15849100000.0,20932000000.0,16535100000.0,15844000000.0,15949000000.0,0.0,0.0
Payables,2233200000.0,1658000000.0,2021000000.0,1753000000.0,1640400000.0,1192000000.0,1533100000.0,1058000000.0,1579200000.0,1102000000.0,1575900000.0,1350100000.0,1312600000.0,0.0,0.0
