Date,2019-03-31,2018-03-31,2017-03-31
Cash and cash equivalents,14800772.0,8884829.0,4269331.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,14800772.0,8884829.0,4269331.0
Receivables,32018218.0,32575959.0,24140443.0
Inventories,1970735.0,2269182.0,3726099.0
Total current assets,54840259.0,43758268.0,32218683.0
Property Plant & Equipment Net,7807045.0,8790553.0,8519969.0
Goodwill and Intangible Assets,774374.0,847505.0,789087.0
Long-term investments,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,10838789.0,9638058.0,9309056.0
Total assets,65679048.0,53396326.0,41527739.0
Payables,1664002.0,5398247.0,6459501.0
Short-term debt,1039578.0,1494887.0,1736190.0
Total current liabilities,4763401.0,8844700.0,18005622.0
Long-term debt,0.0,0.0,209015.0
Total debt,1039578.0,1494887.0,1945205.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,942160.0,820365.0,1158725.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,209015.0
Total liabilities,4763401.0,8844700.0,18214637.0
Other comprehensive income,-797781.0,2187805.0,-986452.0
Retained earnings (deficit),53935169.0,35269267.0,17779327.0
Total shareholders equity,60915647.0,44551626.0,23313102.0
Investments,0.0,0.0,0.0
Net Debt,,,
Other Assets,,,
Other Liabilities,2059821.0,1951566.0,9809931.0
