Date,2017-03,2016-03,2015-03,2014-03,2013-03
Depreciation & Amortization,83000000.0,85000000.0,119000000.0,103000000.0,116000000.0
Stock-based compensation,49000000.0,31000000.0,29000000.0,14000000.0,12000000.0
Operating Cash Flow,116000000.0,114000000.0,105000000.0,165000000.0,150000000.0
Capital Expenditure,-62000000.0,-62000000.0,-88000000.0,-64000000.0,-58000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,-1000000,0,0,4000000,0
Investing Cash flow,-159000000.0,-69000000.0,-355000000.0,-68000000.0,-67000000.0
Issuance (repayment) of debt,-32000000.0,-87000000.0,-28000000.0,-236000000.0,-27000000.0
Issuance (buybacks) of shares,-31000000.0,-53000000.0,-10000000.0,-53000000.0,-74000000.0
Dividend payments,,,,,
Financing Cash Flow,26000000.0,-126000000.0,-29000000.0,98000000.0,-89000000.0
Effect of forex changes on cash,-2000000.0,-0000000.0,-2000000.0,1000000.0,-1000000.0
Net cash flow / Change in cash,-19000000.0,-82000000.0,-281000000.0,196000000.0,-7000000.0
Free Cash Flow,53000000.0,51000000.0,17000000.0,101000000.0,92000000.0
Net Cash/Marketcap,,,,,
