Date,2018-06-30,2017-06-30,2016-06-30
Depreciation & Amortization,79000000000.0,93000000000.0,111000000000.0
Stock-based compensation,,,
Operating Cash Flow,-320000000000.0,826000000000.0,387000000000.0
Capital Expenditure,-133000000000.0,-8000000000.0,-175000000000.0
Acquisitions and disposals,,,
Investment purchases and sales,,,
Investing Cash flow,-2000000.0,30000000000.0,-174000000000.0
Issuance (repayment) of debt,,,
Issuance (buybacks) of shares,,,
Dividend payments,,,
Financing Cash Flow,7000000.0,-565000000000.0,-693000000000.0
Effect of forex changes on cash,-20000000000.0,7000000000.0,-19000000000.0
Net cash flow / Change in cash,4000000.0,298000000000.0,-500000000000.0
Free Cash Flow,,,
Net Cash/Marketcap,,,
