Date,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31
Cash and cash equivalents,114000000.0,3762000.0,111000000.0,133089000.0,162000000.0,9297000.0,122000000.0,4352000.0,276000000.0,19000.0,934000.0
Short-term investments,,526000.0,,218000.0,,92431000.0,,72753000.0,,1378000.0,8523000.0
Cash and short-term investments,,4288000.0,,133307000.0,,101728000.0,,77105000.0,,1397000.0,9457000.0
Receivables,1742000000.0,63420000.0,1603000000.0,55228000.0,1726000000.0,37100000.0,1410000000.0,57909000.0,1311000000.0,94358000.0,78356000.0
Inventories,212000000.0,0.0,197000000.0,0.0,209000000.0,0.0,158000000.0,0.0,142000000.0,0.0,0.0
Total current assets,11647000000.0,77875000.0,10124000000.0,191784000.0,10970000000.0,140215000.0,9258000000.0,136872000.0,9151000000.0,105237000.0,100261000.0
Property Plant & Equipment Net,461000000.0,554138000.0,209000000.0,373120000.0,242000000.0,223172000.0,229000000.0,1242996000.0,227000000.0,1332789000.0,1230723000.0
Goodwill and Intangible Assets,10433000000,0.0,9159000000,0.0,9996000000,0.0,8387000000,0.0,8145000000,0.0,0.0
Long-term investments,,9635000.0,,0.0,,3463000.0,,39799000.0,,0.0,475000.0
Tax assets,455000000.0,0.0,405000000.0,0.0,444000000.0,0.0,349000000.0,869000.0,464000000.0,8330000.0,10757000.0
Total non-current assets,6345000000.0,564047000.0,5404000000.0,396589000.0,5694000000.0,250768000.0,4856000000.0,1318229000.0,5043000000.0,1363572000.0,1263869000.0
Total assets,13999000000.0,641922000.0,12283000000.0,588373000.0,13323000000.0,390983000.0,11185000000.0,1455101000.0,11087000000.0,1468809000.0,1364130000.0
Payables,187000000.0,16077000.0,240000000.0,8675000.0,297000000.0,7101000.0,244000000.0,25781000.0,333000000.0,32601000.0,96263000.0
Short-term debt,1300000000.0,0.0,673000000.0,122139000.0,1154000000.0,0.0,618000000.0,0.0,669000000.0,0.0,0.0
Total current liabilities,5325000000.0,160799000.0,4526000000.0,229973000.0,5309000000.0,59252000.0,4185000000.0,120869000.0,3938000000.0,133598000.0,137225000.0
Long-term debt,4705000000.0,27487000.0,4203000000.0,8821000.0,3675000000.0,118944000.0,3269000000.0,139500000.0,3144000000.0,335000000.0,162000000.0
Total debt,4705000000.0,27487000.0,4203000000.0,130960000.0,3675000000.0,118944000.0,3269000000.0,139500000.0,3144000000.0,335000000.0,162000000.0
Deferred revenue,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,830000000.0,0.0,738000000.0,0.0,1137000000.0,0.0,1000000000.0,0.0,1056000000.0,0.0,0.0
Deposit Liabilities,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,6345000000.0,29055000.0,5404000000.0,13432000.0,5694000000.0,120614000.0,4856000000.0,140140000.0,5043000000.0,369824000.0,268914000.0
Total liabilities,11670000000.0,716331000.0,9930000000.0,664120000.0,11003000000.0,594264000.0,9041000000.0,928483000.0,8981000000.0,935257000.0,831946000.0
Other comprehensive income,1358000000.0,957426000,656000000.0,948380000,562000000.0,659118000,565000000.0,646738000,181000000.0,631822000,516650000
Retained earnings (deficit),,-1031837000.0,,-1024129000.0,,-862407000.0,,-120128000.0,,-98278000.0,15528000.0
Total shareholders equity,2329000000.0,-74409000.0,2353000000.0,-75747000.0,2320000000.0,-203281000.0,2144000000.0,526618000.0,2106000000.0,533552000.0,532184000.0
Investments,,10161000.0,,218000.0,,95894000.0,,112552000.0,,1378000.0,8998000.0
Net Debt,5891000000,23725000.0,4765000000,-2129000.0,4667000000,109647000.0,3765000000,135148000.0,3537000000,334981000.0,161066000.0
Other Assets,576000000,0.0,577000000,0.0,544000000,0.0,530000000,0.0,522000000,0.0,0.0
Other Liabilities,3242000000,526477000.0,3021000000,420715000.0,3326000000,414398000.0,2802000000,667474000.0,2434000000,431835000.0,425807000.0
