Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,112000000.0,112000000.0,96100000.0,96000000.0,284000000.0,284000000.0,191500000.0,192000000.0,637900000.0,638000000.0,85000000.0,126200000.0,0.0
Short-term investments,67200000.0,,71900000.0,,50800000.0,,151200000.0,,185700000.0,,174300000.0,153700000.0,0.0
Cash and short-term investments,112000000.0,,96100000.0,,284000000.0,,191500000.0,,637900000.0,,85000000.0,126200000.0,0.0
Receivables,822400000.0,822000000.0,912700000.0,913000000.0,743700000.0,744000000.0,752600000.0,753000000.0,595700000.0,596000000.0,518800000.0,430600000.0,0.0
Inventories,153100000.0,153000000.0,154300000.0,154000000.0,127700000.0,128000000.0,115200000.0,115000000.0,102000000.0,102000000.0,97000000.0,87200000.0,0.0
Total current assets,1265200000.0,5021000000.0,1315300000.0,5004000000.0,1266000000.0,4731000000.0,1296200000.0,4161000000.0,1594200000.0,3993000000.0,925300000.0,840000000.0,0.0
Property Plant & Equipment Net,3090300000.0,3090000000.0,3066800000.0,3067000000.0,2482300000.0,2482000000.0,2377500000.0,2378000000.0,2197200000.0,2197000000.0,2030900000.0,1830400000.0,1668600000.0
Goodwill and Intangible Assets,1814100000.0,1814000000,1858200000.0,1858000000,1738100000.0,1739000000,1705200000.0,1705000000,1723600000.0,1724000000,1696300000.0,1658200000.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,189900000.0,000000.0,287100000.0,000000.0,239200000.0,000000.0,72800000.0,73000000.0,147700000.0,148000000.0,142500000.0,125700000.0,0.0
Total non-current assets,5021200000.0,3299000000.0,5003700000.0,3350000000.0,4730800000.0,3114000000.0,4160800000.0,2719000000.0,3992600000.0,2321000000.0,3796900000.0,3530100000.0,0.0
Total assets,6286400000.0,6286000000.0,6319000000.0,6319000000.0,5996800000.0,5997000000.0,5457000000.0,5457000000.0,5586800000.0,5587000000.0,4722200000.0,4370100000.0,0.0
Payables,210300000.0,210000000.0,261200000.0,261000000.0,164300000.0,164000000.0,158500000.0,158000000.0,135900000.0,136000000.0,117400000.0,99600000.0,0.0
Short-term debt,22300000.0,22000000.0,22300000.0,22000000.0,25000000.0,25000000.0,19200000.0,19000000.0,583000000.0,583000000.0,13300000.0,1900000.0,0.0
Total current liabilities,744900000.0,745000000.0,788200000.0,788000000.0,618700000.0,619000000.0,583300000.0,583000000.0,1055700000.0,1056000000.0,444900000.0,372800000.0,0.0
Long-term debt,2877400000.0,2877000000.0,2892000000.0,2892000000.0,2643800000.0,2644000000.0,2199300000.0,2199000000.0,1793800000.0,1794000000.0,1696500000.0,1595400000.0,0.0
Total debt,2899700000.0,2877000000.0,2914300000.0,2892000000.0,2668800000.0,2644000000.0,2218500000.0,2199000000.0,2376800000.0,1794000000.0,1709800000.0,1597300000.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,11400000.0,32000000.0,47800000.0,50000000.0,28900000.0,94000000.0,1100000.0,188000000.0,9000000.0,233000000.0,8800000.0,7600000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,2989800000.0,3299000000.0,3027200000.0,3350000000.0,2811000000.0,3114000000.0,2471500000.0,2719000000.0,2082300000.0,2321000000.0,2024900000.0,1854400000.0,0.0
Total liabilities,4043900000.0,4044000000.0,4138600000.0,4139000000.0,3732900000.0,3733000000.0,3302400000.0,3302000000.0,3376700000.0,3377000000.0,2671700000.0,2424900000.0,0.0
Other comprehensive income,366100000,-4000000.0,405600000,-3000000.0,610900000,-3000000.0,685200000,-4000000.0,859000000,3000000.0,830900000,877700000,0.0
Retained earnings (deficit),1879300000.0,1879000000.0,1776900000.0,1777000000.0,1655000000.0,1655000000.0,1473100000.0,1473000000.0,1347000000.0,1347000000.0,1218800000.0,1066900000.0,0.0
Total shareholders equity,2242500000.0,2242000000.0,2180400000.0,2180000000.0,2263900000.0,2264000000.0,2154600000.0,2155000000.0,2210100000.0,2210000000.0,2050500000.0,1945200000.0,0.0
Investments,67200000.0,,71900000.0,,50800000.0,,151200000.0,,185700000.0,,174300000.0,153700000.0,0.0
Net Debt,2787700000.0,2787000000,2818200000.0,2818000000,2384800000.0,2385000000,2027000000.0,2026000000,1738900000.0,1739000000,1624800000.0,1471100000.0,0.0
Other Assets,0.0,227000000,0.0,159000000,0.0,570000000,0.0,197000000,0.0,145000000,0.0,0.0,0.0
Other Liabilities,309200000.0,443000000,323200000.0,573000000,303200000.0,503000000,247600000.0,496000000,238700000.0,469000000,201900000.0,197700000.0,0.0
