Date,2019-12-31,2018-12-31,2017-12-31
Cash and cash equivalents,649666000.0,134233000.0,83118000.0
Short-term investments,1063679000.0,505304000.0,640160000.0
Cash and short-term investments,1713345000.0,639537000.0,723278000.0
Receivables,316367000.0,221932000.0,136597000.0
Inventories,0.0,0.0,0.0
Total current assets,2067234000.0,889352000.0,886959000.0
Property Plant & Equipment Net,91992000.0,226715000.0,239512000.0
Goodwill and Intangible Assets,14576000.0,14071000.0,9037000.0
Long-term investments,0.0,0.0,0.0
Tax assets,48956000.0,0.0,0.0
Total non-current assets,326083000.0,263379000.0,286086000.0
Total assets,2393317000.0,1152731000.0,1173045000.0
Payables,34334000.0,22169000.0,15428000.0
Short-term debt,46527000.0,0.0,0.0
Total current liabilities,176157000.0,108427000.0,79802000.0
Long-term debt,173392000.0,151395000.0,162273000.0
Total debt,219919000.0,151395000.0,162273000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,129200000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,241715000.0,173468000.0,174308000.0
Total liabilities,369612000.0,281895000.0,254110000.0
Other comprehensive income,4229778000,-1421000.0,-766000.0
Retained earnings (deficit),-2206726000.0,-845355000.0,-782381000.0
Total shareholders equity,2023705000.0,-594563000.0,-546464000.0
Investments,1063679000.0,505304000.0,640160000.0
Net Debt,-429747000.0,-488142000.0,-561005000.0
Other Assets,0.0,27883000.0,27084000.0
Other Liabilities,0.0,86258000.0,64374000.0
