Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,24924000.0,25000000.0,19980000.0,20000000.0,32663000.0,33000000.0,30649000.0,31000000.0,33335000.0,33000000.0,31198000.0
Short-term investments,6007000.0,6000000.0,23808000.0,24000000.0,17610000.0,18000000.0,0.0,000000.0,3475000.0,3000000.0,9403000.0
Cash and short-term investments,30931000.0,6000000.0,43788000.0,24000000.0,50273000.0,18000000.0,30649000.0,000000.0,36810000.0,3000000.0,40601000.0
Receivables,1496000.0,1000000.0,1288000.0,1000000.0,680000.0,1000000.0,4452000.0,4000000.0,8310000.0,8000000.0,10390000.0
Inventories,3128000.0,3000000.0,3119000.0,3000000.0,3850000.0,4000000.0,7473000.0,7000000.0,9493000.0,9000000.0,9765000.0
Total current assets,38748000.0,12000000.0,51303000.0,12000000.0,61252000.0,30000000.0,82085000.0,40000000.0,64196000.0,77000000.0,72150000.0
Property Plant & Equipment Net,10679000.0,11000000.0,10936000.0,11000000.0,8624000.0,9000000.0,13676000.0,14000000.0,21964000.0,22000000.0,19892000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,20899000.0,21000000,26293000.0,27000000,54451000.0,54000000,60210000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,,92000.0,,0.0,,-158000.0,,-869000.0,,2794000.0
Total non-current assets,12424000.0,0000000.0,11617000.0,0000000.0,30131000.0,1000000.0,40400000.0,2000000.0,77244000.0,5000000.0,85382000.0
Total assets,51172000.0,51000000.0,62920000.0,63000000.0,91383000.0,91000000.0,122485000.0,122000000.0,141440000.0,141000000.0,157532000.0
Payables,2351000.0,2000000.0,1803000.0,2000000.0,3938000.0,4000000.0,11207000.0,11000000.0,23073000.0,23000000.0,15088000.0
Short-term debt,0.0,,347000.0,,565000.0,,526000.0,,579000.0,,531000.0
Total current liabilities,14936000.0,15000000.0,18286000.0,18000000.0,20360000.0,20000000.0,50789000.0,51000000.0,53176000.0,53000000.0,58313000.0
Long-term debt,0.0,,0.0,,347000.0,,932000.0,,2034000.0,,2282000.0
Total debt,0.0,,347000.0,,912000.0,,1458000.0,,2613000.0,,2813000.0
Deferred revenue,1020000.0,1000000.0,748000.0,1000000.0,864000.0,1000000.0,2476000.0,2000000.0,5045000.0,5000000.0,9099000.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,765000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,305000.0,0000000.0,166000.0,0000000.0,1047000.0,1000000.0,2443000.0,2000000.0,6644000.0,5000000.0,8704000.0
Total liabilities,15241000.0,15000000.0,18452000.0,18000000.0,21060000.0,21000000.0,52300000.0,52000000.0,57786000.0,58000000.0,64223000.0
Other comprehensive income,101697000,-0000000.0,99756000,000000.0,99141000,000000.0,101158000,000000.0,97736000,000000.0,92724000
Retained earnings (deficit),-65764000.0,-66000000.0,-55290000.0,-55000000.0,-28820000.0,-29000000.0,-30975000.0,-31000000.0,-14084000.0,-14000000.0,583000.0
Total shareholders equity,35931000.0,36000000.0,44468000.0,44000000.0,70323000.0,70000000.0,70185000.0,70000000.0,83654000.0,84000000.0,93309000.0
Investments,6007000.0,,23808000.0,,17610000.0,,0.0,,3475000.0,,9403000.0
Net Debt,-24924000.0,-25000000,-19633000.0,-20000000,-31751000.0,-33000000,-29191000.0,-31000000,-30722000.0,-33000000,-28385000.0
Other Assets,0.0,3000000,0.0,2000000,0.0,5000000,0.0,35000000,0.0,4000000,0.0
Other Liabilities,0.0,1000000,0.0,1000000,0.0,2000000,0.0,21000000,0.0,8000000,0.0
