Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,486519247.4674,432057587.6663,189318070.5544
Short-term investments,215118379.1606,294285368.8029,42211375.09
Cash and short-term investments,701637626.628,726342956.4692,231529445.6444
Receivables,3154413.8929,1385731.5599,10683945.2844
Inventories,0.0,0.0,0.0
Total current assets,785857887.1201,793266324.0629,289564434.8452
Property Plant & Equipment Net,12840955.1375,15029171.705,6538516.9186
Goodwill and Intangible Assets,841099.8553,0.0,0.0
Long-term investments,65740231.5485,113891172.9141,1919798.4161
Tax assets,47727351.6643,23967049.5768,4849388.049
Total non-current assets,128250361.7945,154103839.1778,13601871.8503
Total assets,914108248.9146,947370163.2406,303166306.6955
Payables,214779160.6368,340039147.5212,22492584.5932
Short-term debt,290246743.8495,314910217.6542,128177393.8085
Total current liabilities,524406512.301,700421704.9577,195905399.568
Long-term debt,0.0,0.0,0.0
Total debt,290246743.8495,314910217.6542,128177393.8085
Deferred revenue,3372648.3357,1997732.769,2058459.3233
Tax Liabilities,10228509.4067,36780229.7461,16047516.1987
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,68829667.1491,69184401.451,1358243.3405
Total liabilities,593236179.4501,769606106.4087,197263642.9086
Other comprehensive income,-390738.0608,0.0,0.0
Retained earnings (deficit),150570622.2865,48189842.8053,-17821310.2952
Total shareholders equity,319638205.4993,118980804.1112,49616126.7099
Investments,280858610.7091,408176541.717,44131173.5061
Net Debt,,,
Other Assets,,,
Other Liabilities,19380607.8147,45472339.7823,45235421.1663
