Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Cash and cash equivalents,26713000.0,21614000.0,3000000.0,54794000.0,4000000.0,36987000.0,9000000.0,33832000.0,14000000.0,48628000.0,7000000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Cash and short-term investments,26713000.0,21614000.0,,54794000.0,,36987000.0,,33832000.0,,48628000.0,
Receivables,13349000.0,12546000.0,0000000.0,11646000.0,0000000.0,11936000.0,0000000.0,10701000.0,0000000.0,5173000.0,0000000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,40062000.0,34160000.0,56000000.0,66440000.0,46000000.0,48923000.0,22000000.0,44533000.0,11000000.0,53801000.0,3000000.0
Property Plant & Equipment Net,0.0,0.0,56000000.0,0.0,46000000.0,0.0,22000000.0,0.0,11000000.0,0.0,3000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Tax assets,0.0,800000.0,,73432000.0,,97530000.0,,122365000.0,,165851000.0,
Total non-current assets,4059388000.0,4126369000.0,3000000.0,4075114000.0,45000000.0,4155883000.0,2000000.0,3969956000.0,11000000.0,2141165000.0,0000000.0
Total assets,4099450000.0,4160529000.0,59000000.0,4141554000.0,51000000.0,4204806000.0,31000000.0,4014489000.0,26000000.0,2194966000.0,10000000.0
Payables,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,1006000.0,1000000.0,1391000.0,1000000.0
Short-term debt,0.0,0.0,37000000.0,0.0,000000.0,0.0,18000000.0,0.0,000000.0,0.0,000000.0
Total current liabilities,0.0,0.0,48000000.0,0.0,1000000.0,0.0,19000000.0,1006000.0,1000000.0,1391000.0,1000000.0
Long-term debt,0.0,0.0,000000.0,73656000.0,33000000.0,75300000.0,000000.0,40000000.0,8000000.0,40000000.0,000000.0
Total debt,0.0,0.0,000000.0,73656000.0,33000000.0,75300000.0,000000.0,40000000.0,8000000.0,40000000.0,000000.0
Deferred revenue,0.0,0.0,2000000.0,0.0,2000000.0,0.0,2000000.0,0.0,2000000.0,0.0,000000.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,0.0,800000.0,3000000.0,147088000.0,45000000.0,172830000.0,2000000.0,162365000.0,11000000.0,205851000.0,0000000.0
Total liabilities,3825006000.0,3774212000.0,51000000.0,3758138000.0,46000000.0,3720775000.0,21000000.0,3372457000.0,11000000.0,1643138000.0,1000000.0
Other comprehensive income,274139000,386036000,-2000000.0,383180000,-2000000.0,459060000,-2000000.0,556217000,-0000000.0,445442000,-0000000.0
Retained earnings (deficit),0.0,0.0,-77000000.0,0.0,-74000000.0,12371000.0,-70000000.0,42793000.0,-57000000.0,53190000.0,-58000000.0
Total shareholders equity,274444000.0,386317000.0,8000000.0,383416000.0,5000000.0,484031000.0,10000000.0,642032000.0,14000000.0,551828000.0,10000000.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Debt,-26713000.0,-21614000.0,34000000,18862000.0,29000000,38313000.0,9000000,6168000.0,-6000000,-8628000.0,-7000000
Other Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Other Liabilities,3825006000.0,3773412000.0,11000000,3611050000.0,9000000,3547945000.0,0,3209086000.0,0,1435896000.0,0
