Date,2018-07-01,2017-07-02,2017-06,2016-07-03,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2013-06,2012-06-30
Cash and cash equivalents,1160000.0,988000.0,1000000.0,132000.0,0000000.0,14914000.0,15000000.0,8028000.0,8000000.0,6085000.0,6000000.0,46950000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,1160000.0,988000.0,,132000.0,,14914000.0,,8028000.0,,6085000.0,,46950000.0
Receivables,60454000.0,45347000.0,45000000.0,46759000.0,47000000.0,70974000.0,71000000.0,48697000.0,49000000.0,49768000.0,50000000.0,0.0
Inventories,72406000.0,60248000.0,60000000.0,77871000.0,78000000.0,79503000.0,80000000.0,53372000.0,53000000.0,46334000.0,46000000.0,0.0
Total current assets,142464000.0,110434000.0,107000000.0,130606000.0,115000000.0,175593000.0,162000000.0,116564000.0,82000000.0,107085000.0,59000000.0,46950000.0
Property Plant & Equipment Net,32790000.0,34455000.0,34000000.0,33320000.0,33000000.0,32608000.0,33000000.0,28523000.0,29000000.0,28904000.0,29000000.0,14260000.0
Goodwill and Intangible Assets,33771000.0,41108000.0,41000000,49596000.0,50000000,120000000.0,120000000,48230000.0,48000000,25380000.0,26000000,9090000.0
Long-term investments,0.0,0.0,000000.0,0.0,000000.0,0.0,1000000.0,0.0,000000.0,0.0,000000.0,0.0
Tax assets,17646000.0,24893000.0,25000000.0,25784000.0,26000000.0,2199000.0,000000.0,1192000.0,1000000.0,4041000.0,4000000.0,5136000.0
Total non-current assets,89538000.0,106709000.0,81000000.0,115392000.0,105000000.0,161958000.0,162000000.0,82416000.0,48000000.0,59115000.0,14000000.0,97605000.0
Total assets,232002000.0,217143000.0,217000000.0,245998000.0,246000000.0,337551000.0,338000000.0,198980000.0,199000000.0,166200000.0,166000000.0,144555000.0
Payables,28636000.0,27672000.0,28000000.0,38290000.0,38000000.0,29948000.0,30000000.0,16543000.0,17000000.0,19596000.0,20000000.0,0.0
Short-term debt,163000.0,269000.0,000000.0,217000.0,000000.0,0.0,000000.0,900000.0,1000000.0,136000.0,0000000.0,0.0
Total current liabilities,67122000.0,54252000.0,54000000.0,62439000.0,62000000.0,58631000.0,59000000.0,41121000.0,41000000.0,56091000.0,56000000.0,0.0
Long-term debt,84500000.0,167000.0,74000000.0,97206000.0,97000000.0,154500000.0,154000000.0,40100000.0,40000000.0,11403000.0,11000000.0,1538000.0
Total debt,84663000.0,436000.0,74000000.0,97423000.0,97000000.0,154500000.0,154000000.0,41000000.0,40000000.0,11539000.0,11000000.0,1538000.0
Deferred revenue,5949000.0,1749000.0,2000000.0,0.0,000000.0,1756000.0,000000.0,3196000.0,000000.0,21504000.0,000000.0,0.0
Tax Liabilities,442000.0,0.0,,0.0,,0.0,,0.0,,159000.0,,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,85858000.0,334000.0,81000000.0,97538000.0,105000000.0,159214000.0,162000000.0,43913000.0,48000000.0,14570000.0,14000000.0,6674000.0
Total liabilities,158398000.0,135275000.0,135000000.0,167370000.0,167000000.0,220672000.0,221000000.0,88865000.0,89000000.0,70452000.0,70000000.0,62067000.0
Other comprehensive income,17599000,17851000,-1000000.0,16407000,-2000000.0,16045000,-1000000.0,19478000,-1000000.0,18751000,-1000000.0,19579000
Retained earnings (deficit),44713000.0,52967000.0,53000000.0,51650000.0,52000000.0,89933000.0,90000000.0,78944000.0,79000000.0,65633000.0,66000000.0,51995000.0
Total shareholders equity,73604000.0,81868000.0,82000000.0,78628000.0,79000000.0,116879000.0,117000000.0,110115000.0,110000000.0,95748000.0,96000000.0,82488000.0
Investments,0.0,0.0,000000.0,0.0,000000.0,0.0,1000000.0,0.0,000000.0,0.0,000000.0,0.0
Net Debt,83503000.0,-552000.0,73000000,97291000.0,97000000,139586000.0,139000000,32972000.0,33000000,5454000.0,5000000,-45412000.0
Other Assets,0.0,0.0,6000000,0.0,7000000,0.0,9000000,0.0,4000000,0.0,1000000,0.0
Other Liabilities,5418000.0,80689000.0,5000000,7393000.0,6000000,2827000.0,9000000,3831000.0,11000000,0.0,25000000,55393000.0
