Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,25000000.0,3000000.0,2000000.0,000000.0,000000.0
Stock-based compensation,6000000.0,4000000.0,1000000.0,000000.0,000000.0
Operating Cash Flow,1113000000.0,1260000000.0,1352000000.0,1428000000.0,1622000000.0
Capital Expenditure,,,,,
Acquisitions and disposals,,,,,
Investment purchases and sales,-17395000000,-7899000000,9652000000,1184000000,16648000000
Investing Cash flow,-27936000000.0,-11328000000.0,4445000000.0,4093000000.0,12349000000.0
Issuance (repayment) of debt,-78000000.0,-3141000000.0,-2949000000.0,-9359000000.0,-158000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,26980000000.0,9906000000.0,-5699000000.0,-6131000000.0,-14394000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,157000000.0,-162000000.0,98000000.0,-610000000.0,-423000000.0
Free Cash Flow,1113000000.0,1260000000.0,1352000000.0,1428000000.0,1622000000.0
Net Cash/Marketcap,,,,,
